"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"a08d8d44-dbed-4cac-9eb6-4a0c7eb8adfa","Tite_entries_entry-681.0_otho-ex.txt","Henry  Montagu","char-offset:318","PERSON","","","","","","","","","","",""
"bd3b0c8b-403a-46ae-adb0-7228fa5f27b4","Tite_entries_entry-681.0_otho-ex.txt","Henry  Montagu,  1621 (2.25);","char-offset:318","","","","","","","","","Loan","","",""
"29680e6b-e189-4f98-acf2-2ba1ec5926e4","Tite_entries_entry-681.0_otho-ex.txt","1621","char-offset:335","","","","","","","","","Date","","",""
"a04fbc3f-4387-47a5-8bb7-7f1aa866a13b","Tite_entries_entry-681.0_otho-ex.txt","2.25","char-offset:341","","","","","","","","","List Reference","","",""
"6299b6eb-c53a-4563-87c6-4c18450590a2","Tite_entries_entry-681.0_otho-ex.txt","Montagu, by 1631        (113.6);","char-offset:348","","","","","","","","","Loan","","",""
"52be06af-d431-4dda-b6f5-0914f92a7575","Tite_entries_entry-681.0_otho-ex.txt","Montagu","char-offset:348","PERSON","","","","","","","","","Henry Montagu","",""
"eda87e9d-e4f4-4ccd-9695-709fa9af4aea","Tite_entries_entry-681.0_otho-ex.txt","by 1631","char-offset:357","","","","","","","","","Date","","",""
"b9e77e44-03ba-45d0-8fca-f61cddf6a729","Tite_entries_entry-681.0_otho-ex.txt","113.6","char-offset:373","","","","","","","","","List Reference","","",""
"cf81a69c-c839-411e-9e66-8e81a761387f","Tite_entries_entry-681.0_otho-ex.txt","? Montagu,  by  1631 (120.2: ? this);","char-offset:381","","","","","","","","","Loan|Uncertain Book","","",""
"3f0dab8d-a8a4-44c1-bde0-971e9c1272f4","Tite_entries_entry-681.0_otho-ex.txt","? Montagu","char-offset:381","PERSON","","","","","","","","","","",""
"5d5d401e-7784-4571-8737-9898339bf706","Tite_entries_entry-681.0_otho-ex.txt","by  1631","char-offset:393","","","","","","","","","Date","","",""
"bddf9b58-2966-4fba-9377-36fa48f16239","Tite_entries_entry-681.0_otho-ex.txt","120.2","char-offset:403","","","","","","","","","List Reference","","",""
"6a604ccc-258e-4dc6-a770-8264917735af","Tite_entries_entry-681.0_otho-ex.txt","John        Selden, ¢.1638 (163.17: ? this).","char-offset:419","","","","","","","","","Loan|Uncertain Book","","",""
"d94a031a-02b0-46d2-a62c-a0e600d44954","Tite_entries_entry-681.0_otho-ex.txt","John        Selden","char-offset:419","PERSON","","","","","","","","","","",""
"328a3fbf-db20-4239-a2c7-72de8dc30d82","Tite_entries_entry-681.0_otho-ex.txt","¢.1638","char-offset:439","","","","","","","","","Date","","",""
"233306ee-b6a6-42f4-9a43-c7ae24dabf0c","Tite_entries_entry-681.0_otho-ex.txt","163.17","char-offset:447","","","","","","","","","List Reference","","",""
"ec26530d-f69a-4ca1-9164-254901a50849","Tite_entries_entry-682.0_otho-exi.txt","John  Dodderidge, ? 1609  (Jul. C.III, fol. 150: ?              this)","char-offset:589","","","","","","","","","Loan","","",""
"a947cfa9-4d5f-45e9-b527-f2d4aa00a3bd","Tite_entries_entry-682.0_otho-exi.txt","John  Dodderidge","char-offset:589","PERSON","","","","","","","","","","",""
"5bbdf552-5c03-4671-9cc1-a9ff97cb079a","Tite_entries_entry-682.0_otho-exi.txt","? 1609","char-offset:607","","","","","","","","","Date","","",""
"a1927eba-05bc-4dab-8372-98a0d17eab7e","Tite_entries_entry-682.0_otho-exi.txt","Henry Montagu","char-offset:660","PERSON","","","","","","","","","","",""
"beec71ab-19e4-4908-8e89-9fdbf088dbdc","Tite_entries_entry-682.0_otho-exi.txt","Henry Montagu, by 1631 (113.12);","char-offset:660","","","","","","","","","Loan","","",""
"de2c5904-b506-4ae2-8e4f-998db1326bf3","Tite_entries_entry-682.0_otho-exi.txt","by 1631","char-offset:675","","","","","","","","","Date","","",""
"e614ee78-c522-4e1f-ab36-99b156c8e83f","Tite_entries_entry-682.0_otho-exi.txt","113.12","char-offset:684","","","","","","","","","List Reference","","",""
"d7abc7a2-f5e3-4314-81dd-df1efb5a0c3c","Tite_entries_entry-682.0_otho-exi.txt","? Montagu, by              1631 (120.7)","char-offset:693","","","","","","","","","Loan","","",""
"bfa866b4-027b-4653-86de-0e52f70240a8","Tite_entries_entry-682.0_otho-exi.txt","Montagu","char-offset:695","PERSON","","","","","","","","","","",""
