"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"60da2bd4-a4b7-41a0-9d1e-37f39351cc83","Tite_entries_entry-263.0_caligula-cix.txt","Henry  Howard,","char-offset:602","PERSON","","","","","","","","","","",""
"5a770e58-c2e8-4ef5-a4f7-92b913738f02","Tite_entries_entry-263.0_caligula-cix.txt","Henry  Howard,   after Christmas  1604 (129.16: ?                parts of this, Jul. F:VI, Calig. B.IV, and C.1-II1).","char-offset:602","","","","","","","","","Loan","","",""
"34789c97-ecf2-4c71-8ea3-22ddfeb2b6f5","Tite_entries_entry-263.0_caligula-cix.txt","after Christmas  1604","char-offset:619","","","","","","","","","Date","","",""
"357e5480-b5fe-4db5-9e40-b2ab7359493e","Tite_entries_entry-263.0_caligula-cix.txt","(129.16","char-offset:641","","","","","","","","","List Reference","","",""
"e952ade6-8333-4859-ae50-47e514b15087","Tite_entries_entry-263.0_caligula-cix.txt","parts of this, Jul. F:VI, Calig. B.IV, and C.1-II1","char-offset:667","","","","","","","","","Uncertain Book","","",""
"e5f0857c-4c17-46c2-8fa7-df5e7ab929f9","Tite_entries_entry-255.0_caligula-ci.txt","Henry  Howard,  after Christmas  1604 (129.16: ?                    parts of this, Jul. F.VI, Calig. B.IV, C.II-III, and IX).","char-offset:390","","","","","","","","","Loan","","",""
"305f3fff-d515-4535-99ce-8fdab2775230","Tite_entries_entry-255.0_caligula-ci.txt","Henry  Howard","char-offset:390","PERSON","","","","","","","","","","",""
"579fa928-d05e-4a01-8c53-12c9096b4e25","Tite_entries_entry-255.0_caligula-ci.txt","after Christmas  1604","char-offset:406","","","","","","","","","Date","","",""
"695b8edc-9ee6-435b-99cd-07de3b3c8237","Tite_entries_entry-255.0_caligula-ci.txt","129.16","char-offset:429","","","","","","","","","List Reference","","",""
"27873ed9-fecc-4639-86e8-c34d32200df4","Tite_entries_entry-255.0_caligula-ci.txt","parts of this, Jul. F.VI, Calig. B.IV, C.II-III, and IX","char-offset:458","","","","","","","","","Uncertain Book","","",""
"5a921e9f-27f9-43a4-a99d-5e7f626004dc","Tite_entries_entry-256.0_caligula-cii.txt","Henry   Howard","char-offset:491","PERSON","","","","","","","","","","",""
"c67bfe49-bdde-41ec-99db-2e2e05782ace","Tite_entries_entry-256.0_caligula-cii.txt","Henry   Howard,  after Christmas 1604  (129.16: ?                    parts of this, Jul. F-VI, Calig. B.IV, C.I, C.III, and IX).","char-offset:491","","","","","","","","","Loan","","",""
"b3f3a801-fcc9-4b73-a34c-024320904588","Tite_entries_entry-256.0_caligula-cii.txt","after Christmas 1604","char-offset:508","","","","","","","","","Date","","",""
"f2432c63-26d8-4aa3-9848-0c01d9ce3b63","Tite_entries_entry-256.0_caligula-cii.txt","129.16","char-offset:531","","","","","","","","","List Reference","","",""
"e815bb93-45c4-4bc5-b1e6-37e627f4ebc6","Tite_entries_entry-256.0_caligula-cii.txt","parts of this, Jul. F-VI, Calig. B.IV, C.I, C.III, and IX","char-offset:560","","","","","","","","","Uncertain Book","","",""
"63652439-51ce-4db0-9ce4-0b64f2d5691c","Tite_entries_entry-257.0_caligula-ciii.txt","(of fols 4-40v, art. 1) Oliver  St John,  after          Christmas 1604  (129.4: ? this)","char-offset:400","","","","","","","","","Loan","","",""
"b88bfe30-0ee7-4a54-84bb-b7900bccc939","Tite_entries_entry-257.0_caligula-ciii.txt","of fols 4-40v, art. 1","char-offset:401","","","","","","","","","Partial","","",""
"4279f83a-b12e-4a9b-8565-991c38302484","Tite_entries_entry-257.0_caligula-ciii.txt","Oliver  St John","char-offset:424","PERSON","","","","","","","","","","",""
"25b003b2-ffcd-473e-a309-e28fe723c6ce","Tite_entries_entry-257.0_caligula-ciii.txt","after          Christmas 1604","char-offset:442","","","","","","","","","Date","","",""
"9d159340-6595-4c3c-953f-d7a77ee77aa1","Tite_entries_entry-257.0_caligula-ciii.txt","129.4","char-offset:474","","","","","","","","","List Reference","","",""
"efffe7ea-32aa-455b-b42a-5dc009c19179","Tite_entries_entry-257.0_caligula-ciii.txt","? this","char-offset:481","","","","","","","","","Uncertain Book","","",""
"1721d5a0-4e40-4891-8972-8373afd40420","Tite_entries_entry-257.0_caligula-ciii.txt","Henry Howard,  after          Christmas 1604 (129.16: ? parts of this, Jul. F-VI, Calig.          B,IV, C.I-II, and IX)","char-offset:490","","","","","","","","","Loan","","",""
"72f8de3b-7ef2-49a3-a001-a03d958ca77a","Tite_entries_entry-257.0_caligula-ciii.txt","Henry Howard","char-offset:490","PERSON","","","","","","","","","","",""
"8ccb5d1b-7baa-48ed-a2e3-9f3380590922","Tite_entries_entry-257.0_caligula-ciii.txt","after          Christmas 1604","char-offset:505","","","","","","","","","Date","","",""
"1a915d12-438e-407e-81eb-adef4d0e8fb1","Tite_entries_entry-257.0_caligula-ciii.txt","? parts of this, Jul. F-VI, Calig.          B,IV, C.I-II, and IX","char-offset:544","","","","","","","","","Partial|Uncertain Book","","",""
"9d47a49b-4a28-46cb-ad2e-f4964ee76584","Tite_entries_entry-257.0_caligula-ciii.txt","‘Mr Beston’, unknown date (151:          fols 230-31y, 462-65y, artt. 88, 197 of this + Galba E.VI          + Vesp. F:VI).","char-offset:611","","","","","","","","","Loan","","",""
"b35274b5-00fb-4f0f-8b4e-628e40b2c7a3","Tite_entries_entry-257.0_caligula-ciii.txt","Mr Beston’","char-offset:612","PERSON","","","","","","","","","","",""
"f8d7957b-988a-4b13-a410-2865a516da3c","Tite_entries_entry-257.0_caligula-ciii.txt","unknown date","char-offset:624","","","","","","","","","Uncertain Date","","",""
"1ea1e20f-3f1a-4989-a9a3-279e000ea80f","Tite_entries_entry-257.0_caligula-ciii.txt","151","char-offset:638","","","","","","","","","List Reference","","",""
"23e287a4-a1b9-4534-b4e7-bdba93f1b676","Tite_entries_entry-257.0_caligula-ciii.txt","ols 230-31y, 462-65y, artt. 88, 197 of this + Galba E.VI          + Vesp. F:VI","char-offset:653","","","","","","","","","Partial","","",""
