"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"9845f025-befc-48ee-b0ea-26dec1521559","Tite_entries_entry-456.0_nero-dvi.txt","Daniel  Dunn","char-offset:988","PERSON","","","","","","","","","","",""
"f756b045-1c0e-4f1c-a137-0831d2fefb70","Tite_entries_entry-456.0_nero-dvi.txt","Daniel  Dunn,  by  1611 (55.3: ? this);","char-offset:988","","","","","","","","","Loan|Uncertain Book","","",""
"8fc62e62-2b88-4438-8256-ecdbeb1c0dc5","Tite_entries_entry-456.0_nero-dvi.txt","by  1611","char-offset:1003","","","","","","","","","Date","","",""
"9f7e960c-256d-4093-9cab-9e9db30a4c9c","Tite_entries_entry-456.0_nero-dvi.txt","55.3","char-offset:1013","","","","","","","","","List Reference","","",""
"6863eb4d-f309-40ec-8ff9-d7416d5f2921","Tite_entries_entry-456.0_nero-dvi.txt","George         Allington, by 1611 (58.3, 60.2);","char-offset:1028","","","","","","","","","Loan","","",""
"478479a4-e7e8-4dcd-90d5-a70694e89a02","Tite_entries_entry-456.0_nero-dvi.txt","George         Allington","char-offset:1028","PERSON","","","","","","","","","","",""
"5bd5bab0-1e0f-44af-bcdc-8c47f319e65a","Tite_entries_entry-456.0_nero-dvi.txt","by 1611","char-offset:1054","","","","","","","","","Date","","",""
"8904a888-1263-4fbd-8842-f90600b6600b","Tite_entries_entry-456.0_nero-dvi.txt","58.3, 60.2","char-offset:1063","","","","","","","","","List Reference","","",""
"b0135594-4ffa-4bbb-95d2-682930b318d8","Tite_entries_entry-456.0_nero-dvi.txt","Roger Owen,","char-offset:1076","PERSON","","","","","","","","","","",""
"cc5ab362-c5a9-4349-b9b5-d4e62e42c664","Tite_entries_entry-456.0_nero-dvi.txt","Roger Owen, 1611 +        (68.2);","char-offset:1076","","","","","","","","","Loan","","",""
