"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"837ebfdd-f410-437c-b943-ab0fdf13e1ef","Tite_entries_entry-483.0_galba-aviii.txt","Francis Tate, by 1612 (22.4).","char-offset:118","","","","","","","","","Loan","","",""
"89f9e24d-e396-41be-acd3-c0149dc9a503","Tite_entries_entry-483.0_galba-aviii.txt","Francis Tate","char-offset:118","PERSON","","","","","","","","","","",""
"13034e72-d062-4939-9755-1ca0ffaf748f","Tite_entries_entry-483.0_galba-aviii.txt","by 1612","char-offset:132","","","","","","","","","Date","","",""
"4d95585d-7e53-4c4b-90d0-d3590fac9489","Tite_entries_entry-483.0_galba-aviii.txt","22.4","char-offset:141","","","","","","","","","List Reference","","",""
"ee8fb185-b2e2-40f3-bd0e-18b6b4aa0e8b","Tite_entries_entry-474.0_galba-ai.txt","Richard  Bancroft","char-offset:116","PERSON","","","","","","","","","","",""
"8cc05561-8d31-458f-afce-c100b84b7df7","Tite_entries_entry-474.0_galba-ai.txt","Richard  Bancroft, 1608, by hand of John Pory         (29.3: (1) this or (2) Cleo, A-XVI).","char-offset:116","","","","","","","","","Loan","","",""
"2c54115c-eee5-406e-9884-6573267e59fe","Tite_entries_entry-474.0_galba-ai.txt","1608","char-offset:135","","","","","","","","","Date","","",""
"9a651e9d-ef61-4b51-b23a-5bb2ffcdf251","Tite_entries_entry-474.0_galba-ai.txt","John Pory","char-offset:152","PERSON","","","","","","","","Agent","","",""
"bb767040-9be4-4b9b-80b3-12ca12f854f9","Tite_entries_entry-474.0_galba-ai.txt","29.3","char-offset:171","","","","","","","","","List Reference","","",""
"37845559-85f3-4a74-8b8f-36cf7d03bef9","Tite_entries_entry-474.0_galba-ai.txt","(1) this or (2) Cleo, A-XVI","char-offset:177","","","","","","","","","Uncertain Book","","",""
"f1e88a86-9131-446a-9d07-c269e8adea0a","Tite_entries_entry-485.0_galba-aix.txt","John Selden","char-offset:99","PERSON","","","","","","","","","","",""
"7c7fcb10-2e65-4c79-a2c2-52d3575b47b6","Tite_entries_entry-485.0_galba-aix.txt","John Selden, c.1638 (163.2: ? this).","char-offset:99","","","","","","","","","Loan|Uncertain Book","","",""
"313e9445-4380-490c-9baa-ae276d2d274b","Tite_entries_entry-485.0_galba-aix.txt","c.1638","char-offset:112","","","","","","","","","Date","","",""
"b733e75c-17ef-4c0a-bea2-b94c4cde6ddf","Tite_entries_entry-485.0_galba-aix.txt","163.2","char-offset:120","","","","","","","","","List Reference","","",""
"14f7058c-881d-40b1-a498-66cbe0c2f1e7","Tite_entries_entry-495.0_galba-axviii.txt","James  Ussher","char-offset:468","PERSON","","","","","","","","","","",""
"6b0a7b10-c169-47e7-a07c-025a4ff8c854","Tite_entries_entry-495.0_galba-axviii.txt","James  Ussher, 1646 or 1647 (226.2).","char-offset:468","","","","","","","","","Loan","","",""
"2b6a4755-e698-4349-be27-0680b0948be2","Tite_entries_entry-495.0_galba-axviii.txt","1646 or 1647","char-offset:483","","","","","","","","","Date","","",""
"84a3e01a-2cf6-452a-8140-201a367bb83a","Tite_entries_entry-495.0_galba-axviii.txt","226.2","char-offset:497","","","","","","","","","List Reference","","",""
"ee03a94d-762a-4863-bf28-777a8c452e5b","Tite_entries_entry-486.0_galba-ax.txt","John Selden","char-offset:100","PERSON","","","","","","","","","","",""
"4ead483c-323d-428d-b204-3c6cc6176e2e","Tite_entries_entry-486.0_galba-ax.txt","John Selden, c.1638 (163.4: ? this).","char-offset:100","","","","","","","","","Loan|Uncertain Book","","",""
"a83f073a-deda-4f59-9f9c-4d7beeddf209","Tite_entries_entry-486.0_galba-ax.txt","c.1638","char-offset:113","","","","","","","","","Date","","",""
"240a9253-afae-42e3-9a90-d0a4cabe5b14","Tite_entries_entry-486.0_galba-ax.txt","163.4","char-offset:121","","","","","","","","","List Reference","","",""
