"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"502484c7-1a69-4ba3-b377-b925c6891d47","Tite_entries_entry-552.0_galba-dxii.txt","William Camden, 1612-16 (75.18: ? this)","char-offset:659","","","","","","","","","Loan|Uncertain Book","","",""
"70e07ece-02ef-4493-b1af-c3bd8070d1a3","Tite_entries_entry-552.0_galba-dxii.txt","William Camden,","char-offset:659","PERSON","","","","","","","","","","",""
"2feffd2d-1b36-4cfd-9879-bb0a2f8a7118","Tite_entries_entry-552.0_galba-dxii.txt","1612-16","char-offset:675","","","","","","","","","Date","","",""
"eb12c30b-beb7-4ab9-b812-691860087a39","Tite_entries_entry-552.0_galba-dxii.txt","75.18","char-offset:684","","","","","","","","","List Reference","","",""
"8b7d9dde-e3de-49c0-a493-b8bcb410766b","Tite_entries_entry-552.0_galba-dxii.txt","Bulstrode             Whitelocke","char-offset:700","PERSON","","","","","","","","","","",""
"cc12f06d-7daa-4316-8594-1ddb0390747d","Tite_entries_entry-552.0_galba-dxii.txt","Bulstrode             Whitelocke, 1652 (231.32).","char-offset:700","","","","","","","","","Loan","","",""
"739bbe28-48bc-4948-8bfa-4fc51fb1fa60","Tite_entries_entry-552.0_galba-dxii.txt","1652","char-offset:734","","","","","","","","","Date","","",""
"6239db07-c8ae-426a-bea4-4efb9f5c6360","Tite_entries_entry-552.0_galba-dxii.txt","231.32","char-offset:740","","","","","","","","","List Reference","","",""
"d3332d17-97ca-4c96-8195-44f5df1a9e33","Tite_entries_entry-535.0_galba-diii.txt","Bulstrode Whitelocke, 1652 (231.24).","char-offset:876","","","","","","","","","Loan","","",""
"2b2f9b5d-7b7c-437b-af8b-010ea2bf8f5a","Tite_entries_entry-535.0_galba-diii.txt","Bulstrode Whitelocke","char-offset:876","PERSON","","","","","","","","","","",""
"66809031-df78-4264-bba6-d157f8521ccc","Tite_entries_entry-535.0_galba-diii.txt","1652","char-offset:898","","","","","","","","","Date","","",""
"9fe54972-3fc1-4555-80ab-d31b20ce5ff4","Tite_entries_entry-535.0_galba-diii.txt","231.24","char-offset:904","","","","","","","","","List Reference","","",""
"8656d3ef-e6ea-4dab-bddd-a11012c16b1f","Tite_entries_entry-550.0_galba-dxi.txt","Bulstrode Whitelocke","char-offset:666","PERSON","","","","","","","","","","",""
"4afc4f19-95c7-4c21-b54f-cd90e21b577b","Tite_entries_entry-550.0_galba-dxi.txt","Bulstrode Whitelocke, 1652 (231.31).","char-offset:666","","","","","","","","","Loan","","",""
"7b5b65c5-2a94-4aac-968c-156d2d7dabea","Tite_entries_entry-550.0_galba-dxi.txt","1652","char-offset:688","","","","","","","","","Date","","",""
"b4f511b7-0d1d-4e61-853a-7cec564386a0","Tite_entries_entry-550.0_galba-dxi.txt","231.31","char-offset:694","","","","","","","","","List Reference","","",""
"cfd8568e-7fc6-4c05-aaeb-62ce53107431","Tite_entries_entry-534.0_galba-dii.txt","Bulstrode Whitelocke, 1652 (231.23).","char-offset:1075","","","","","","","","","Loan","","",""
"8d0b44bc-e137-49e2-9954-b7b9ed6ae507","Tite_entries_entry-534.0_galba-dii.txt","Bulstrode Whitelocke","char-offset:1075","PERSON","","","","","","","","","","",""
"6ab1f24a-64ee-428a-80a9-f1c79d098437","Tite_entries_entry-534.0_galba-dii.txt","1652","char-offset:1097","","","","","","","","","Date","","",""
"e38c6f4b-9ca2-4f66-895f-75463da5494e","Tite_entries_entry-534.0_galba-dii.txt","231.23","char-offset:1103","","","","","","","","","List Reference","","",""
"801f2db4-b661-4f6a-83f4-77d815845dfc","Tite_entries_entry-531.0_galba-di.txt","Bulstrode Whitelocke","char-offset:671","PERSON","","","","","","","","","","",""
"97e7c3a2-2f70-4788-9869-caff2f38b81c","Tite_entries_entry-531.0_galba-di.txt","Bulstrode Whitelocke, 1652 (231.22)","char-offset:671","","","","","","","","","Loan","","",""
"adf8b099-cd9c-4cf6-aa66-b33c734367c0","Tite_entries_entry-531.0_galba-di.txt","1652","char-offset:693","","","","","","","","","Date","","",""
"1e84c8e1-9b30-4d8f-9360-5877adc40b0b","Tite_entries_entry-531.0_galba-di.txt","231.22","char-offset:699","","","","","","","","","List Reference","","",""
"a018089e-373f-4fd7-8aa9-512786f6d56f","Tite_entries_entry-536.0_galba-div.txt","Bulstrode Whitelocke, 1652 (231.25, 26: (1) this or       Galba DN, or (2) D.V1; 231.33: (2) this or Galba DN, or       (1) DVD.","char-offset:462","","","","","","","","","Loan","","",""
"d2835e9b-6367-419a-b7b9-252092cc7940","Tite_entries_entry-536.0_galba-div.txt","Bulstrode Whitelocke,","char-offset:462","PERSON","","","","","","","","","","",""
"3d77ca7f-da5c-412f-bd82-76a0c3d3e01f","Tite_entries_entry-536.0_galba-div.txt","1652","char-offset:484","","","","","","","","","Date","","",""
"79d0ed25-e583-423b-9e03-00fc3b4ca9fa","Tite_entries_entry-536.0_galba-div.txt","231.25, 26","char-offset:490","","","","","","","","","List Reference","","",""
"54b5a259-9a4b-4c86-94ad-bb9991eb1bf2","Tite_entries_entry-536.0_galba-div.txt","(1) this or       Galba DN, or (2) D.V1; 231.33: (2) this or Galba DN, or       (1) DVD","char-offset:502","","","","","","","","","Uncertain Book","","",""
"5e741ba7-28fc-4ac9-8984-49f29646bc1c","Tite_entries_entry-538.0_galba-dvi.txt","Bulstrode Whitelocke","char-offset:381","PERSON","","","","","","","","","","",""
"19d241df-e2e1-4ae8-91dd-fcf3be946d59","Tite_entries_entry-538.0_galba-dvi.txt","Bulstrode Whitelocke, 1652 (231.25, 26: (2) this, or                   (1) Galba D.IV or V; 231.33: (1) this, or (2) Galba D.IV or V.).","char-offset:381","","","","","","","","","Loan","","",""
"f8a01830-34f6-4603-95ff-cb942925104f","Tite_entries_entry-538.0_galba-dvi.txt","1652","char-offset:403","","","","","","","","","Date","","",""
"eedab255-9172-43bb-ac18-15f180356631","Tite_entries_entry-538.0_galba-dvi.txt","231.25, 26","char-offset:409","","","","","","","","","List Reference","","",""
"a5ce631e-9a47-4db0-b84c-f39654a242e2","Tite_entries_entry-538.0_galba-dvi.txt","2) this, or                   (1) Galba D.IV or V","char-offset:422","","","","","","","","","Uncertain Book","","",""
"651a628b-3c9a-4904-b695-be3c07c4ca80","Tite_entries_entry-538.0_galba-dvi.txt","231.33","char-offset:473","","","","","","","","","List Reference","","",""
"9613bff1-baf7-43ad-9e62-4db4ef00d34c","Tite_entries_entry-538.0_galba-dvi.txt","(1) this, or (2) Galba D.IV or V.)","char-offset:481","","","","","","","","","Uncertain Book","","",""
"9ce9e1f5-ba2b-4640-ae9d-9652d9339f67","Tite_entries_entry-537.0_galba-dv.txt","Bulstrode Whitelocke","char-offset:178","PERSON","","","","","","","","","","",""
