"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"4bcb6fa3-1dbc-4051-abc9-f587bf40714e","Tite_entries_entry-628.0_otho-ci.txt","Robert  Bowyer","char-offset:477","PERSON","","","","","","","","","","",""
"cf2fb284-085e-436f-956b-7fae9804872f","Tite_entries_entry-628.0_otho-ci.txt","Robert  Bowyer, c.1613 (36.16: ? this);","char-offset:477","","","","","","","","","Loan|Uncertain Book","","",""
"9f3824c5-25ac-4454-9784-5b45ee3432d5","Tite_entries_entry-628.0_otho-ci.txt","c.1613","char-offset:493","","","","","","","","","Date","","",""
"ffd98534-f1a8-4996-acdf-011cb9d34567","Tite_entries_entry-628.0_otho-ci.txt","36.16","char-offset:501","","","","","","","","","List Reference","","",""
"b3d456d1-9597-4db3-a841-f94be41f8100","Tite_entries_entry-628.0_otho-ci.txt","Bowyer,","char-offset:517","PERSON","","","","","","","","","Robert Bowyer

","",""
"173a51c5-b199-459f-af7d-32fbcd237526","Tite_entries_entry-628.0_otho-ci.txt","Bowyer,                   1616 (14.4)","char-offset:517","","","","","","","","","Loan","","",""
"ca602859-749a-447e-9f71-3c3f31c417de","Tite_entries_entry-628.0_otho-ci.txt","1616","char-offset:543","","","","","","","","","Date","","",""
"de6a1ca3-c5f9-43c6-bacb-dec2dcbe3d37","Tite_entries_entry-628.0_otho-ci.txt","14.4","char-offset:549","","","","","","","","","List Reference","","",""
"e7e8ef22-f0f8-4567-b5b9-f150985be917","Tite_entries_entry-628.0_otho-ci.txt","Bowyer","char-offset:556","PERSON","","","","","","","","","Robert Bowyer
","",""
"eff73f0d-ad09-4f78-90c2-21ff0dd9822c","Tite_entries_entry-628.0_otho-ci.txt","Bowyer, 1621 (2.49)","char-offset:556","","","","","","","","","Loan","","",""
"fcc2109a-801c-429f-a681-b660aed8c1a8","Tite_entries_entry-628.0_otho-ci.txt","1621","char-offset:564","","","","","","","","","Date","","",""
"ebb0f8f0-5691-4f3a-85b8-8ff230c588a6","Tite_entries_entry-628.0_otho-ci.txt","2.49","char-offset:570","","","","","","","","","List Reference","","",""
"eb2dabb4-6c31-409d-8bea-c9cfff935dd5","Tite_entries_entry-628.0_otho-ci.txt","William Le Neve","char-offset:577","PERSON","","","","","","","","","","",""
"8e1bcba4-18e6-491d-a79f-c7d1d7bf8dde","Tite_entries_entry-628.0_otho-ci.txt","William Le Neve, 1641                   (220.1).","char-offset:577","","","","","","","","","Loan","","",""
"44004c89-67be-4ef3-94e8-faeaf03187fa","Tite_entries_entry-628.0_otho-ci.txt","1641","char-offset:594","","","","","","","","","Date","","",""
"e386e3c0-6ee8-4b7e-b846-9ba5b0c65ba8","Tite_entries_entry-628.0_otho-ci.txt","220.1","char-offset:618","","","","","","","","","List Reference","","",""
"d379e313-85cb-4aa1-a6d3-7de99f2af1b8","Tite_entries_entry-636.0_otho-cviii.txt","Arthur Agarde, 1612-15 (71.35);","char-offset:150","","","","","","","","","Loan","","",""
"0a9f5742-397c-4cdd-88ea-8b5fb0198d4b","Tite_entries_entry-636.0_otho-cviii.txt","Arthur Agarde","char-offset:150","PERSON","","","","","","","","","","",""
"f4b06bd3-0b5b-4df2-ad38-b68fc08e532e","Tite_entries_entry-636.0_otho-cviii.txt","1612-15","char-offset:165","","","","","","","","","Date","","",""
"18cc1d9c-7628-462d-baa7-113d78f22b97","Tite_entries_entry-636.0_otho-cviii.txt","71.35","char-offset:174","","","","","","","","","List Reference","","",""
"56248fc7-3e1d-4600-a4da-00aea87e77e9","Tite_entries_entry-636.0_otho-cviii.txt","St Lo Kniveton,         1621 (2.29).","char-offset:182","","","","","","","","","Loan","","",""
"cf3f93e4-7f91-4402-9220-319107bf3a39","Tite_entries_entry-636.0_otho-cviii.txt","St Lo Kniveton","char-offset:182","PERSON","","","","","","","","","","",""
"18c23869-eab2-47e4-a83f-2ca6ac84af8d","Tite_entries_entry-636.0_otho-cviii.txt","1621","char-offset:206","","","","","","","","","Date","","",""
"838cc04b-258f-4237-a005-c14c40f64641","Tite_entries_entry-636.0_otho-cviii.txt","(2.29","char-offset:211","","","","","","","","","List Reference","","",""
"a1dfce31-9ad4-4b9e-a0f8-6b2f208de199","Tite_entries_entry-644.0_otho-cxiv.txt","?  Richard Bancroft, 1609 (33)","char-offset:128","","","","","","","","","Loan","","",""
"f6d1728d-7291-42e7-9a01-e4f47f485cf7","Tite_entries_entry-644.0_otho-cxiv.txt","?  Richard Bancroft","char-offset:128","PERSON","","","","","","","","Uncertain Person","","",""
"a5851d21-ec47-4179-bf9b-10d247cf2dd0","Tite_entries_entry-644.0_otho-cxiv.txt","1609","char-offset:149","","","","","","","","","Date","","",""
"d43193ec-aa8a-4e0c-8384-48cf2b99f353","Tite_entries_entry-644.0_otho-cxiv.txt","33","char-offset:155","","","","","","","","","List Reference","","",""
"421e647d-5253-4f45-970b-ece2db66322d","Tite_entries_entry-644.0_otho-cxiv.txt","Patrick Young","char-offset:160","PERSON","","","","","","","","","","",""
