"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"b5757f1c-9dd0-4e30-9e30-58afe7b1d55e","Tite_entries_entry-469.0_nero-ev.txt","Augustine Lindsell","char-offset:662","PERSON","","","","","","","","","","",""
"f9ec8420-48bf-4e69-b89d-4fbb126239e0","Tite_entries_entry-469.0_nero-ev.txt","Augustine Lindsell, 1621-23 (4.13);","char-offset:662","","","","","","","","","Loan","","",""
"690046f3-066a-4ad5-a2b0-7b0498fffbf0","Tite_entries_entry-469.0_nero-ev.txt","1621-23","char-offset:682","","","","","","","","","Date","","",""
"c6bc3ee2-096e-4627-83e1-a073d6c7bfc7","Tite_entries_entry-469.0_nero-ev.txt","4.13","char-offset:691","","","","","","","","","List Reference","","",""
"038cc05e-a838-40da-9fba-cc1b18d4835a","Tite_entries_entry-469.0_nero-ev.txt","Richard James","char-offset:698","PERSON","","","","","","","","","","",""
"72d752f4-fdf8-441c-a741-94e715a6983b","Tite_entries_entry-469.0_nero-ev.txt","Richard James,                    after 1621 and probably not earlier than 1625 (80.2).","char-offset:698","","","","","","","","","Loan","","",""
"f4093d46-ef5d-453a-858e-20d342bb36d6","Tite_entries_entry-469.0_nero-ev.txt","after 1621 and probably not earlier than 1625","char-offset:732","","","","","","","","","Date","","",""
"e8f5a517-c7f0-4817-8074-e42a817e1b01","Tite_entries_entry-469.0_nero-ev.txt","80.2","char-offset:779","","","","","","","","","List Reference","","",""
"2982dd38-e5ea-43c5-9817-959e13df621c","Tite_entries_entry-465.0_nero-ei.txt","John  Williams","char-offset:358","PERSON","","","","","","","","","","",""
"cd72f02a-3cbf-4c8b-a142-4117c9b7f3c6","Tite_entries_entry-465.0_nero-ei.txt","John  Williams, c.1610-12  (39.3: (2) this or (1)       Cleo. B.XIII);","char-offset:358","","","","","","","","","Loan","","",""
"6eebf187-221f-474f-83aa-8220fc522a5c","Tite_entries_entry-465.0_nero-ei.txt","c.1610-12","char-offset:374","","","","","","","","","Date","","",""
"efe61f24-5f76-40b2-af12-01ca4e8318ee","Tite_entries_entry-465.0_nero-ei.txt","39.3","char-offset:386","","","","","","","","","List Reference","","",""
"7db0aa41-167b-45ca-ac09-ebe981de031d","Tite_entries_entry-465.0_nero-ei.txt","(2) this or (1)       Cleo. B.XIII","char-offset:392","","","","","","","","","Uncertain Book","","",""
"f85f5595-d1f0-48a8-8ff0-a7815cc4f0f3","Tite_entries_entry-465.0_nero-ei.txt","James Ussher","char-offset:429","PERSON","","","","","","","","","","",""
"6e72ae3c-bd33-4704-8e49-5a62e08ae97c","Tite_entries_entry-465.0_nero-ei.txt","James Ussher, ¢.1610-12 (41.2);","char-offset:429","","","","","","","","","Loan","","",""
"b84314aa-6179-47e1-bdeb-87807eaa287b","Tite_entries_entry-465.0_nero-ei.txt","¢.1610-12","char-offset:443","","","","","","","","","Date","","",""
"b8caba7a-c549-474e-a70f-2ddf47cf4a63","Tite_entries_entry-465.0_nero-ei.txt","41.2","char-offset:454","","","","","","","","","List Reference","","",""
"1e350bf3-f34d-4313-8feb-531c9ce619ee","Tite_entries_entry-465.0_nero-ei.txt","Arthur       Agarde","char-offset:461","PERSON","","","","","","","","","","",""
"73bf7fb4-2db9-4e3a-ab11-bba4c6dad92a","Tite_entries_entry-465.0_nero-ei.txt","Arthur       Agarde, 1612-15 (18.5: vol. 2, fols 181-84, art. 129);","char-offset:461","","","","","","","","","Loan","","",""
"fc2b4453-1de2-4a21-80ef-7daa4416d5c4","Tite_entries_entry-465.0_nero-ei.txt","1612-15","char-offset:482","","","","","","","","","Date","","",""
"932da22d-885d-44f2-83fd-50f427698604","Tite_entries_entry-465.0_nero-ei.txt","18.5","char-offset:491","","","","","","","","","List Reference","","",""
"209775e9-4d89-4e57-ab40-cf0ecee2fb0a","Tite_entries_entry-465.0_nero-ei.txt","? Ussher","char-offset:529","PERSON","","","","","","","","Uncertain Person","","",""
"9fd0b684-1ca9-4acc-9f48-4ff076a606c5","Tite_entries_entry-465.0_nero-ei.txt","? Ussher, 1641 (218.1)","char-offset:529","","","","","","","","","Loan|Uncertain Loan","","",""
"bd385aba-89ac-43df-8f57-caab9cc10ef0","Tite_entries_entry-465.0_nero-ei.txt","1641","char-offset:540","","","","","","","","","Date","","",""
"4a0702c1-c30e-4cc6-8576-4d7d779299be","Tite_entries_entry-465.0_nero-ei.txt","218.1","char-offset:546","","","","","","","","","List Reference","","",""
"23b429ad-6345-47d5-a4cf-20141d511248","Tite_entries_entry-470.0_nero-evi.txt","John Selden, c.1638 (162: this, Claud. E.VI or Nero                  C.IX);","char-offset:427","","","","","","","","","Loan","","",""
"dcffb4c9-cc07-4ba9-9a28-8798f0d1ed6b","Tite_entries_entry-470.0_nero-evi.txt","John Selden,","char-offset:427","PERSON","","","","","","","","","","",""
"cfd3a41d-7bcf-4948-bd02-0048d67201b9","Tite_entries_entry-470.0_nero-evi.txt","c.1638","char-offset:440","","","","","","","","","Date","","",""
"d39a8994-c9b4-424b-8017-fb962a923849","Tite_entries_entry-470.0_nero-evi.txt","162","char-offset:448","","","","","","","","","List Reference","","",""
"dcef7b3c-6c10-4f74-8188-a254c56843f9","Tite_entries_entry-470.0_nero-evi.txt","his, Claud. E.VI or Nero                  C.IX","char-offset:454","","","","","","","","","Uncertain Book","","",""
"820369a2-12ec-44d3-baf6-462b38cbd95b","Tite_entries_entry-470.0_nero-evi.txt","Selden, c.1638 (163.22: this, Claud. E.VI or Nero                  C.IX).","char-offset:503","","","","","","","","","Loan","","",""
"dbb12c45-9ad6-411e-9902-9956e0c8f0da","Tite_entries_entry-470.0_nero-evi.txt","Selden","char-offset:503","PERSON","","","","","","","","","","",""
"1f01505e-f5ab-4145-9c89-2488474e94d2","Tite_entries_entry-470.0_nero-evi.txt","c.1638","char-offset:511","","","","","","","","","Date","","",""
"c9984f84-e155-472f-b5d5-ee166d6572a3","Tite_entries_entry-470.0_nero-evi.txt","163.22","char-offset:519","","","","","","","","","List Reference","","",""
"44f6f63b-6b17-4ac9-93ce-8b63f3c3a146","Tite_entries_entry-470.0_nero-evi.txt","this, Claud. E.VI or Nero                  C.IX","char-offset:527","","","","","","","","","Uncertain Book","","",""
