"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"93ef8093-1abe-4b04-9700-fcd0f0f97402","Tite_entries_entry-335.0_claudius-cii.txt","William Le Neve","char-offset:597","PERSON","","","","","","","","","","",""
"32b152ac-b24c-4afd-96d7-28054272ff10","Tite_entries_entry-335.0_claudius-cii.txt","William Le Neve, 1640  (197.1).","char-offset:597","","","","","","","","","Loan","","",""
"17804144-7b9c-4e8f-8b30-4e821f4e5722","Tite_entries_entry-335.0_claudius-cii.txt","1640","char-offset:614","","","","","","","","","Date","","",""
"2d8b3ea1-715a-463f-9693-66cbd110194d","Tite_entries_entry-335.0_claudius-cii.txt","197.1","char-offset:621","","","","","","","","","List Reference","","",""
"14aa6a9e-32e8-4f0c-b4be-7e0b2670b68e","Tite_entries_entry-343.0_claudius-cix.txt","Arthur  Agarde","char-offset:397","PERSON","","","","","","","","","","",""
"87ce850a-8b6a-449e-818e-0752c5cd3f15","Tite_entries_entry-343.0_claudius-cix.txt","Arthur  Agarde,  1612-15 (71.12, 77.6);","char-offset:397","","","","","","","","","Loan","","",""
"daaf1246-7dbd-4e91-90f2-51b3ef436055","Tite_entries_entry-343.0_claudius-cix.txt","1612-15","char-offset:414","","","","","","","","","Date","","",""
"7cba3432-6930-44c9-98c0-060e484f30c5","Tite_entries_entry-343.0_claudius-cix.txt","71.12, 77.6","char-offset:423","","","","","","","","","List Reference","","",""
"48b93c78-b152-404e-8cb2-bad9ce52fdad","Tite_entries_entry-343.0_claudius-cix.txt","Richard         Montague,","char-offset:437","PERSON","","","","","","","","","","",""
"fbb9b7a9-2767-430b-856e-8ba3a393aa73","Tite_entries_entry-343.0_claudius-cix.txt","Richard         Montague,  ¢.1620 (Jul. C.III, fols 274, 276: this or         Claud. B.VI. For the dating to c.1620, see my ‘Lost or         stolen or strayed’, p. 296 n. 39.).","char-offset:437","","","","","","","","","Loan","","",""
"2fbc3e63-481b-4262-bd23-64e4e7030dbb","Tite_entries_entry-343.0_claudius-cix.txt","¢.1620","char-offset:464","","","","","","","","","Date","","",""
"32364a7c-d1a6-4eb6-b551-21297655dfc0","Tite_entries_entry-343.0_claudius-cix.txt","Jul. C.III, fols 274, 276","char-offset:472","","","","","","","","","List Reference","","",""
"5bfbf3f1-2a8b-4c78-a24e-d8bc115470e1","Tite_entries_entry-343.0_claudius-cix.txt","this or         Claud. B.VI","char-offset:499","","","","","","","","","Uncertain Book","","",""
"7d052f5d-be85-49c9-b4a3-53e185ccf16b","Tite_entries_entry-347.0_claudius-cxi.txt","Peter Balle, 1651 (127: this, Tib. A:VI, Nero A.XV,              XVI, Vesp. A.XIX, Tit. A.I or Dom. XV);","char-offset:108","","","","","","","","","Loan","","",""
"15283694-ee8d-4020-975f-76015374ff2d","Tite_entries_entry-347.0_claudius-cxi.txt","Peter Balle","char-offset:108","PERSON","","","","","","","","","","",""
"add099c2-2c0c-45e0-b0be-159a91cb4f61","Tite_entries_entry-347.0_claudius-cxi.txt","1651","char-offset:121","","","","","","","","","Date","","",""
"b6e2e056-e768-4623-a249-29888d4108a5","Tite_entries_entry-347.0_claudius-cxi.txt","127","char-offset:127","","","","","","","","","List Reference","","",""
"f6ff5580-3874-4f69-89b2-3a42b43fbc7f","Tite_entries_entry-347.0_claudius-cxi.txt","this, Tib. A:VI, Nero A.XV,              XVI, Vesp. A.XIX, Tit. A.I or Dom. XV","char-offset:132","","","","","","","","","Uncertain Book","","",""
"ee4f4ccf-839c-4c08-98d5-51c27fcd4856","Tite_entries_entry-347.0_claudius-cxi.txt","unread signa-              ture of borrower [? addle]","char-offset:213","PERSON","","","","","","","","Uncertain Person","","",""
"067da729-4371-4d5f-8de4-9fff8046015e","Tite_entries_entry-347.0_claudius-cxi.txt","unread signa-              ture of borrower [? addle], ? 1655 (257.1).","char-offset:213","","","","","","","","","Loan","","",""
"5a2d6ceb-b626-4a26-9d5a-6a0ad29f2dd8","Tite_entries_entry-347.0_claudius-cxi.txt","1655","char-offset:270","","","","","","","","","Uncertain Date|Date","","",""
"77bf349d-2fcb-4f3c-b734-85911282503c","Tite_entries_entry-347.0_claudius-cxi.txt","257.1","char-offset:276","","","","","","","","","List Reference","","",""
"caef4496-8c2e-4280-a35c-2c502e26196c","Tite_entries_entry-342.0_claudius-cviii.txt","Christopher Hatton, 1638, via William Dugdale        (176.1).","char-offset:348","","","","","","","","","Loan","","",""
"8f9e2f2e-e605-497d-a310-82989d518c2d","Tite_entries_entry-342.0_claudius-cviii.txt","Christopher Hatton,","char-offset:348","PERSON","","","","","","","","","","",""
"dbc36a40-5e7f-441f-8d8d-7c93de839afc","Tite_entries_entry-342.0_claudius-cviii.txt","1638","char-offset:368","","","","","","","","","Date","","",""
"949e454f-3e54-4c12-a986-5de6f5453040","Tite_entries_entry-342.0_claudius-cviii.txt","William Dugdale","char-offset:378","PERSON","","","","","","","","Agent","","",""
"3c604713-99e0-4d79-8b87-8ebf8f93afbd","Tite_entries_entry-342.0_claudius-cviii.txt","176.1","char-offset:402","","","","","","","","","List Reference","","",""
"e0e33af9-b75f-4567-bbf4-41571e99c610","Tite_entries_entry-337.0_claudius-civ.txt","Bowyer, ¢.1612 (13.5, 36.7),","char-offset:579","","","","","","","","","Loan","","",""
"9020cce4-c9fd-42c6-85db-ac6ea5a00f01","Tite_entries_entry-337.0_claudius-civ.txt","Bowyer","char-offset:579","PERSON","","","","","","","","","Robert Bowyer
","",""
"d935b6d1-7be0-4a5b-bf69-9b63886f08c4","Tite_entries_entry-337.0_claudius-civ.txt","¢.1612","char-offset:587","","","","","","","","","Date","","",""
"6156b71f-df73-4035-9d35-34ede822bca3","Tite_entries_entry-337.0_claudius-civ.txt","13.5, 36.7","char-offset:595","","","","","","","","","List Reference","","",""
"8d0f9ee8-a307-47da-ba22-f70960d221fd","Tite_entries_entry-337.0_claudius-civ.txt","1621 (2.43)","char-offset:608","","","","","","","","","Loan","Bowyer","",""
"5e8b9182-7526-46ef-b0b0-e9186d4df874","Tite_entries_entry-337.0_claudius-civ.txt","1621","char-offset:608","","","","","","","","","Date","","",""
"78fde042-f173-44b0-95b0-e7f1e2fd73ec","Tite_entries_entry-337.0_claudius-civ.txt","2.43","char-offset:614","","","","","","","","","List Reference","","",""
"c002d0ad-15c9-46f8-bf5c-9f7e463a96cd","Tite_entries_entry-337.0_claudius-civ.txt","Guillim","char-offset:621","PERSON","","","","","","","","","John Guillim","",""
"b8c1d7e6-09a8-4b91-a91c-c625c2b67c82","Tite_entries_entry-337.0_claudius-civ.txt","Guillim,                  1612-15 (19.1: ? this).","char-offset:621","","","","","","","","","Loan","","",""
"2b26b890-bbfa-4aa6-a49c-9bbc6a4659f3","Tite_entries_entry-337.0_claudius-civ.txt","1612-15","char-offset:647","","","","","","","","","Date","","",""
