"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"76ca29e9-3738-45f9-90dc-36137c3bd66f","Tite_entries_entry-1213.0_domitian-xviii.txt","(of at least fols 38-125, artt. 8-14) Francis Tate, by               1612 (22.7).","char-offset:824","","","","","","","","","Loan","","",""
"0da382fc-72a4-4427-9e9e-f20a2860887a","Tite_entries_entry-1213.0_domitian-xviii.txt","of at least fols 38-125, artt. 8-14)","char-offset:825","","","","","","","","","Partial","","",""
"0dcae987-8663-466b-922a-8ea5d9da494c","Tite_entries_entry-1213.0_domitian-xviii.txt","Francis Tate","char-offset:862","PERSON","","","","","","","","","","",""
"46e8be2a-64a7-405b-863f-535e697bbfda","Tite_entries_entry-1213.0_domitian-xviii.txt","by               1612","char-offset:876","","","","","","","","","Date","","",""
"da500057-d71a-4518-83b6-dea3eeb2892d","Tite_entries_entry-1213.0_domitian-xviii.txt","22.7","char-offset:899","","","","","","","","","List Reference","","",""
"4017e926-6c87-4351-a704-641669293762","Tite_entries_entry-1196.0_domitian-viii.txt","Francis Tate, by 1616, and John Dodderidge, 1621        (2.59: ? this; see below)","char-offset:745","","","","","","","","","Loan","","",""
"e738bf4d-be29-4c81-8b21-e0ac6fb7c516","Tite_entries_entry-1196.0_domitian-viii.txt","Francis Tate","char-offset:745","PERSON","","","","","","","","","","",""
"46bbd44d-de14-49d3-b1df-0d6684d6c55a","Tite_entries_entry-1196.0_domitian-viii.txt","by 1616","char-offset:759","","","","","","","","","Date","","",""
"4d153213-82e7-4c1c-badb-988383912ad9","Tite_entries_entry-1196.0_domitian-viii.txt","John Dodderidge","char-offset:772","PERSON","","","","","","","","","","",""
"c076da36-cfd6-4b27-b0a3-19989f86cce8","Tite_entries_entry-1196.0_domitian-viii.txt","2.59","char-offset:802","","","","","","","","","List Reference","","",""
