"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"50b3ce17-6b6f-4f8c-9e3c-ef1453b3f0c9","Tite_entries_entry-365.0_claudius-dx.txt","Augustine Vincent, before or in 1621 (Vesp. F.XIII,              no. 316: this, Jul. D.II, Vit. A.II or D.X);","char-offset:719","","","","","","","","","Loan","","",""
"ed5d5744-288d-4ce1-a65a-25d4fc003342","Tite_entries_entry-365.0_claudius-dx.txt","Augustine Vincent","char-offset:719","PERSON","","","","","","","","","","",""
"0946b30f-9cd3-43e0-8350-09ce92878bdc","Tite_entries_entry-365.0_claudius-dx.txt","before or in 1621","char-offset:738","","","","","","","","","Date","","",""
"4a236125-b77b-4e61-aeb2-ac4abcd466eb","Tite_entries_entry-365.0_claudius-dx.txt","Vesp. F.XIII,              no. 316","char-offset:757","","","","","","","","","List Reference","","",""
"662d2941-1607-4ca7-b105-4dc39ad204af","Tite_entries_entry-365.0_claudius-dx.txt","this, Jul. D.II, Vit. A.II or D.X","char-offset:793","","","","","","","","","Uncertain Book","","",""
"88988acf-c228-433f-adf3-da4f8b78e83d","Tite_entries_entry-365.0_claudius-dx.txt","John Borough,              1621 (2.77; cf. Jul. C.IH, fols 79, 80).","char-offset:829","","","","","","","","","Loan","","",""
"c8429d3c-34e0-4bc9-8df6-8b111034a9fc","Tite_entries_entry-365.0_claudius-dx.txt","John Borough","char-offset:829","PERSON","","","","","","","","","","",""
"c45ec727-f13d-4199-8a77-924d4cf2222d","Tite_entries_entry-365.0_claudius-dx.txt","1621","char-offset:856","","","","","","","","","Date","","",""
"998da820-26e4-4e21-b386-1d222b7a622a","Tite_entries_entry-365.0_claudius-dx.txt","2.77","char-offset:862","","","","","","","","","List Reference","","",""
"ae369b7b-033f-4edd-9698-f6600eac0048","Tite_entries_entry-353.0_claudius-diii.txt","William Le Neve, 1641 (217.2).","char-offset:146","","","","","","","","","Loan","","",""
"84ec732d-ffda-48b1-b460-a9f5c461e538","Tite_entries_entry-353.0_claudius-diii.txt","William Le Neve","char-offset:146","PERSON","","","","","","","","","","",""
