"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"18858b22-7d0c-468c-851f-45aee9b0cf5f","Tite_entries_entry-918.0_vespasian-bxxii.txt","Daniel Dunn,  by 1611 (55.2: (2) this or (1) Bodl.,       MS  Tanner 212. The Tanner manuscript  is folio and is       bound  in white vellum; Vesp. B.XXII is large quarto)","char-offset:154","","","","","","","","","Loan","","",""
"da9d3811-4595-4387-98dc-1669fc40e41e","Tite_entries_entry-918.0_vespasian-bxxii.txt","Daniel Dunn","char-offset:154","PERSON","","","","","","","","","","",""
"d5ac0dd2-0448-4358-b551-a817a2c57e81","Tite_entries_entry-918.0_vespasian-bxxii.txt","by 1611","char-offset:168","","","","","","","","","Date","","",""
"2c9417ca-cf4a-400e-ab4f-50c40cc3a0a7","Tite_entries_entry-918.0_vespasian-bxxii.txt","55.2","char-offset:177","","","","","","","","","List Reference","","",""
"bc870f4a-4634-42fc-957f-b923a438a781","Tite_entries_entry-918.0_vespasian-bxxii.txt","(2) this or (1) Bodl.,       MS  Tanner 212","char-offset:183","","","","","","","","","Uncertain Book","","",""
"8555cff2-898f-42ab-aebc-b2e9b7b6ca69","Tite_entries_entry-918.0_vespasian-bxxii.txt","John Egerton, c.1626 (Jul. C.III, fol. 165: ? this)","char-offset:334","","","","","","","","","Loan|Uncertain Book","","",""
"eafd5763-05d8-4527-9c08-08c049318efd","Tite_entries_entry-918.0_vespasian-bxxii.txt","John Egerton","char-offset:334","PERSON","","","","","","","","","","",""
"52e314ab-5b6b-4530-a163-d61820fa7579","Tite_entries_entry-918.0_vespasian-bxxii.txt","c.1626","char-offset:348","","","","","","","","","Date","","",""
"31fd57fb-dc56-4d1b-960d-ee3c6ac4bb69","Tite_entries_entry-918.0_vespasian-bxxii.txt","John       Selden,  1639  (177.1)","char-offset:387","","","","","","","","","Loan","","",""
"7af65234-58f1-4836-9ec7-d9bf6a63aa96","Tite_entries_entry-918.0_vespasian-bxxii.txt","John       Selden","char-offset:387","PERSON","","","","","","","","","","",""
