"GROUP_ID"	"Book"	"QUOTE_TRANSCRIPTION"	"start"	"end"	"Date (earliest)"	"Date (display)"	"Date (latest)"	"LIST"	"PERSON"	"Uncertain Book"	"Uncertain date"	"Agent (by hand of)"	"Uncertain Person"	"Partial"
"00612d0f-c87c-4b99-b539-bc6f137b58cf"	"Vespasian CXIII"	"John Selden"	"1212"	"1222"	"1637"	"1638"	"1639"	"163.7"	"John Selden"	""	""	""	""	""
"006a5d8c-d633-4dc0-9da6-3462d3367eae"	"Nero DXI"	"Sir William Howard, 1638 (123.1, 125.1, 175.1)."	"235"	"281"	"1638"	"1638"	"1638"	"123.1, 125.1, 175.1"	"Lord William Howard"	""	""	""	""	""
"00841811-36e0-4dcd-9527-0a3704ba33c2"	"Otho DIX"	"Lord William Howard and Nicholas Roscarrock, 1607 or later to 1612-16 (20.1, 74.4: this or Tib. E.I)"	"420"	"532"	"1607"	"1611"	"1616"	"20.1, 74.4"	"Lord William Howard|Nicholas Roscarrock"	"Otho D.IX | Tiberius E.I"	""	""	""	""
"00ad88aa-332d-4bda-a8c4-52aca009aea5"	"Nero DI"	"William Watts, by 1640 (see the preface to his edition of Matthew Paris, Historia major (London, 1640), for which the manu- script was used)."	"618"	"792"	""	"1640"	"1640"	""	"William Watts"	""	""	""	""	""
"00fe2356-6e9b-4932-8c88-0c78163198ca"	"Titus EIII"	"John Selden"	"171"	"181"	"1637"	"1638"	"1639"	"163.24"	"John Selden"	""	""	""	""	""
"012679e5-c2f1-4c20-b036-0f5725c020e3"	"Cleopatra AVII"	"Augustine Vincent, 1621-22 (2.107: ? this)."	"239"	"281"	"1621"	"1621"	"1622"	"2.107"	"Augustine Vincent"	""	""	""	""	""
"014db5c3-3825-4b06-8303-bbd5e16dc243"	"Cleopatra DIII"	"Richard St George, by 1614 (15.3: this or Vit. E.XVI)."	"381"	"444"	""	"1614"	"1614"	"15.3"	"Richard St George"	"Cleopatra DIII | Vitellius E.XVI"	""	""	""	""
"0153ee78-df9a-4b15-a5a9-726f2b6ec5ed"	"Galba EIV"	"‘Mr Herbert of the Temple’ (ie. Edward Herbert), b in or after 1623 because no, 326 in 6018 was given to Cotton in that year (6018, no. 403)"	"334"	"511"	"1623"	"1623"	""	"6018, no. 403"	"Edward Herbert"	""	""	""	""	""
"01595b33-05e9-4dfe-bca5-b1d3e0712389"	"Claudius BVIII"	"John Selden"	"918"	"928"	"1641"	"1641"	"1641"	"212.1"	"John Selden"	""	""	""	""	""
"0195db24-ac58-473e-90b7-75ac4b3f9de3"	"Domitian XII"	"William Camden, date unknown but before 1623 (143: fols 141-58y, art. 3, of this, Claud. A:VI, Otho A.XIV, C-VIIL, Vit. A.III, D.XII, E.VIII or Vesp. A-XIII)."	"455"	"635"	""	"1623"	"1623"	"(143"	"William Camden"	"Domitian XII, Claud. A:VI, Otho A.XIV, C-VIIL, Vitellius A.III, D.XII, E.VIII | Vespasian A-XIII"	""	""	""	"fols 141-58y, art. 3"
"02780d69-3cc0-4615-ac17-78b48b317ba7"	"Titus AI"	"Hart"	"1034"	"1037"	""	"1617"	"1617"	"111.2"	"Hart"	"Titus AI |  Dom. XV"	""	""	""	""
"0299909d-d17b-4272-bb87-9d02589fff5e"	"Caligula DXI"	"of part of this) Edward Herbert, 1636 (117.1 and 119.8)"	"519"	"588"	"1636"	"1636"	"1636"	"117.1 and 119.8"	"Edward Herbert"	""	""	""	""	""
"02c0c9b2-d518-4f22-a11f-ae6637647443"	"Vitellius EXIV"	"unknown, 1617 (7.1)"	"446"	"486"	"1621"	"1621"	"1621"	"2.7"	"unidentified borrower|James Ussher"	""	""	""	"?"	""
"02e36bf8-f29e-40bc-a072-466c48a9e0f0"	"Julius FVI"	"John Strype, 1697 (BL, Lansdowne MS 814, fol. 25"	"834"	"1026"	"1697"	"1697"	"1697"	"BL, Lansdowne MS 814, fol. 25"	"John Strype"	""	""	""	""	""
"031d460c-c7c1-49df-88f8-892664c2bd2b"	"Otho AXVII"	"Arthur Agarde, 1612 (77.13: this or Faust. B.II1)"	"266"	"328"	"1612"	"1612"	"1612"	"77.13"	"Arthur Agarde"	"Otho AXVII | Faust. B.II1"	""	""	""	""
"03536704-86ab-47d5-b7a6-0c268578c088"	"Titus CI"	"Henry Howard, c.1612 (21.8, 52.3: ? this. According to loan 52.3 the original, from which the manuscript there being lent was copied, had been given to Howard)"	"844"	"1038"	"1611"	"1612"	"1613"	"21.8, 52.3"	"Henry Howard"	""	""	""	""	""
"03a0693c-b05f-4a14-8931-e590142557c8"	"Caligula BX"	"William Camden"	"337"	"350"	"1612"	"1614"	"1616"	"75.2"	"William Camden"	""	""	""	""	""
"03a0fcd4-9b0d-454f-a883-6910c7dad7db"	"Nero AI"	"? Francis Bacon, ? by 1613 (23.4: (2) this or (1) Jul. C.1D"	"1411"	"1498"	""	"1613"	"1613"	"23.4:"	"Francis Bacon"	"Nero AI |  Julius C.1D; Tate, 1612-16 (73.3);"	"?"	""	"?"	""
"03b01bd4-fbbd-46af-9237-e3bca5da8ba0"	"Titus AVIII"	"Bradshaw, c.1617 (8.1: this or Faust. A.IID"	"1005"	"1048"	"1616"	"1617"	"1618"	"8.1"	"John Bradshaw"	"Titus AVIII |  Faust. A.IID"	""	""	""	""
"03d7103c-b71e-4b19-8e49-8b7df3fc3009"	"Tiberius AXIV"	"Samuel Ward"	"172"	"182"	"1615"	"1616"	"1617"	"49.18"	""	"Tiberius AXIV | Tiberius C.ID"	""	""	""	""
"85af10e0-1f45-4289-ac15-ee06b7e34efb"	"Tiberius AXIV"	"Patrick Young"	"145"	"157"	"1615"	"1616"	"1617"	"49.18"	""	"Tiberius AXIV | Tiberius C.ID"	""	""	""	""
"0409ec76-459c-44f3-a044-b750041ebb5c"	"Julius BVIII"	"John Selden"	"122"	"133"	""	"unknown date"	""	"6018, no. 301"	"John Selden"	""	""	""	""	""
"043ab574-f24b-4ec9-ade5-547c8456e701"	"Faustina BIX"	"John Selden"	"2008"	"2018"	"1637"	"1638"	"1639"	"163.10"	"John Selden"	""	""	""	""	""
"044f058c-1dfb-4f19-a032-06ca145dcd30"	"Galba CVIII"	"Bulstrode Whitelocke"	"917"	"936"	"1652"	"1652"	"1652"	"231.18"	"Bulstrode Whitelocke"	""	""	""	""	""
"0474cc6e-c91e-445f-9079-e206a4d327ad"	"Titus AXV"	"William Camden, 1612-16 (75.10)"	"236"	"270"	"1612"	"1614"	"1616"	"75.10"	"William Camden"	""	""	""	""	""
"0541be1b-5e6f-412c-8e79-1fccc6e42cc0"	"Galba BXII"	"John Selden, 1621 (2.87: ? distributed in Galba B.I-XI1)"	"284"	"354"	"1621"	"1621"	"1621"	"2.87"	"John Selden"	""	""	""	""	""
"05898d05-a659-4abb-9a5b-c89ccb6c6af9"	"Nero CIV"	"Lord William Howard"	"180"	"200"	"1621"	"1621"	"1621"	"2.58"	"Lord William Howard"	"Nero CIV | Tiberius C.V1"	""	""	""	""
"0596f72d-c965-49b2-818b-0f887221b906"	"Vespasian EXI"	"Peter Balle"	"707"	"717"	"1650"	"1650"	"1650"	"227.1"	"Peter Balle"	""	""	""	""	""
"05d5239e-bdad-4222-a577-ca7ac0bad854"	"Otho DVIII"	"Richard Bancroft"	"888"	"903"	"1607"	"1608"	"1610"	"30.3"	"Richard Bancroft"	""	""	"Zachariah Pasfeild"	""	""
"06723033-c8dc-495b-94f8-9b13479b833b"	"Cleopatra AXVI"	"Arthur Agarde"	"943"	"955"	""	"1615"	"1615"	""	"Arthur Agarde"	""	""	""	""	""
"067da729-4371-4d5f-8de4-9fff8046015e"	"Claudius CXI"	"unread signa- ture of borrower [? addle]"	"213"	"265"	"1655"	"1655"	"1655"	"257.1"	"unidentified borrower"	""	"?"	""	"?"	""
"06e5e32b-84b0-4617-a372-cd72009287fe"	"Otho DIII"	"Arthur Agarde,"	"452"	"465"	"1612"	"1613"	"1615"	"18.9, 71.5"	"Arthur Agarde"	"Otho DIII | Tiberius E.VI"	""	""	""	""
"071beccb-860a-4d98-a2fa-673dad21e410"	"Cleopatra CIII"	"Augustine Vincent, 1611 + (66.1: ? this)"	"675"	"715"	"1611"	"1611"	""	"66.1"	"Augustine Vincent"	""	""	""	""	""
"074ddc9d-31d7-431e-96a7-5252a5f93c3b"	"Vitellius EXIV"	"James Ussher"	"345"	"357"	"1610"	"1611"	"1612"	"41.3"	"James Ussher"	""	""	""	""	""
"075dcc49-66a5-4830-b458-c130c469f287"	"Julius DVII"	"Arthur Agarde"	"617"	"629"	"1612"	"1613"	"1615"	"18.11, 71.27, 77.18"	"Arthur Agarde"	""	""	""	""	""
"076430c7-01ad-4d62-8ac5-d410888ee586"	"Tiberius CXI"	"Tate, before 1617 (111.6)"	"471"	"497"	""	"1617"	"1617"	"111.6"	"Francis Tate"	""	""	""	""	""
"07a295fb-caac-4d45-9512-9c2c6406292f"	"Claudius AV"	"James Ussher, 1625, via ‘Mr Burnett’ (Jul. C.III, fol. 383)."	"375"	"442"	"1625"	"1625"	"1625"	"Jul. C.III, fol. 383"	"James Ussher"	""	""	"Mr Burnett"	""	""
"0815d285-e54f-4ada-9029-1f343ad35fb6"	"Nero CVII"	"Ussher (or Laud or Abbot), ? ¢.1634 (135.2: (2) this or Claud. E.IV, or (1) Jul. D.III or Faust, B.IV)"	"1434"	"1549"	"1633"	"1634"	"1635"	"135.2"	"James Ussher|William Laud|George Abbot"	"Julius DIII | Faust. B.IV, |  Claud. E.IV | Nero C.VII"	"?"	""	"?"	""
"08299b73-fa58-4a59-8f19-f5f84abb0d32"	"Tiberius AXIII"	"Tate, before 1617 (111.10)"	"446"	"480"	""	"unknown date"	""	""	""	""	""	""	""	""
"0864ab0b-6a7d-41f7-9a88-8b0e1a3e7ced"	"Tiberius BV"	"John Selden, 1639 (186.2)."	"555"	"580"	"1639"	"1639"	"1639"	"186.2"	"John Selden"	""	""	""	""	""
"08f59b61-9124-4226-b693-f73273c8d291"	"Titus DXIX"	"Francis Tate, by 1612, John Harington’s tutor, and William Crashaw (22.8 and, for Harington’s tutor and Crashaw, 42.1: (1) this, Tit. D.I or Dublin, Trinity College, MS 244 (C.3.12), or (2) Norwich, Castle Museum, MS 158.926/4g3)."	"640"	"922"	""	"1612"	"1612"	"42.1"	"Francis Tate|John Harington’s tutor|William Crashaw"	"Titus DI, Titus D-XIX | Dublin, Trinity College, MS 244 (C.3.12), |  N|wich, Castle Museum, MS 158.926/4g3"	""	""	""	""
"09a28683-c304-45d3-97e4-01ef217af7fa"	"Claudius AVIII"	"Sir William Howard, 1640 (196.1)."	"542"	"586"	"1640"	"1640"	"1640"	"196.1"	"Lord William Howard"	""	""	""	""	""
"09a9befc-7850-4df9-9922-1490e8ba3284"	"Vitellius EXV"	"John Doyly"	"579"	"588"	"1637"	"1637"	"1638"	"170.1"	"John Doyly"	""	""	""	""	""
"09eb9028-a260-4a8d-a10d-b6ad4c56bf97"	"Titus DIX"	"Edward Herbert, 1636 (119.10: this or Calig. A.III, Tit. D.II, Cleo. A-XTV or Cleo. B.V.)"	"315"	"419"	"1636"	"1636"	"1636"	"119.10"	"Edward Herbert"	"Titus DIX | Calig. A.III, Titus D.II, Cleopatra A-XTV | Cleopatra B.V."	""	""	""	""
"0a1a62fd-5bb2-4fe5-ab27-3c8cc264b493"	"Nero BV"	"Bulstrode Whitelocke, 1653 (128"	"310"	"357"	"1653"	"1653"	"1653"	"128"	"Bulstrode Whitelocke"	""	""	""	""	""
"0a5828bc-ebad-4da0-b78f-11f87d00de7a"	"Galba EVI"	"‘Mr Beston’, unknown date (151: fol. 68, art. 27, fols 86-877, art. 31, fols 100-3y, art. 38, fols 105-6y, art. 40, fols 111-12y, 114, 115, artt. 44-45, fols 118-19y, art. 47, of this + Calig. C.III + Vesp. FVD."	"737"	"1005"	"unknown date"	"unknown date"	"unknown date"	"151"	"Mr Beston"	""	"?"	""	""	"fol. 68, art. 27, fols 86-877, art. 31, fols 100-3y, art. 38, fols 105-6y, art. 40, fols 111-12y, 114, 115, artt. 44-45, fols 118-19y, art. 47, of this + Calig. C.III + Vesp. FVD."
"0a748e09-7f32-4170-bf2d-142761d8edb2"	"Vitellius DXIII"	"Augustine Lindsell, 1621 (2.36)"	"190"	"221"	"1621"	"1621"	"1621"	"2.36"	"Augustine Lindsell"	""	""	""	""	""
"0ab0f4ad-9b53-4cc4-bf50-c9c17b07a886"	"Faustina EV"	"Henry Montagu"	"178"	"190"	"1604"	"1604"	""	"129.8"	"Henry Montagu"	"Faustina EV and / | Titus C.1"	""	""	""	""
"0b20cba2-9a9e-4f36-b036-36c36ea1f613"	"Titus EIII"	"Thomas Coventry, 1621, and John Borough, 1621 (2.63)"	"108"	"168"	"1621"	"1621"	"1621"	"2.63"	"Thomas Coventry|John Borough"	""	""	""	""	""
"0b53401e-abeb-42e9-9114-e6d5280b9c48"	"Otho DVII"	"George Buc, 1616 (102.1: this, Claud. E.ITI or Vesp. A.XXID"	"275"	"340"	"1616"	"1616"	"1616"	"102.1"	"George Buc"	"Otho DVII, Claud. E.ITI | Vespasian A.XXID"	""	""	""	""
"0b5bcdb9-e3a8-4d6a-bf11-2af042af8594"	"Caligula AXV"	"William Le Neve, 1641 (222.2)."	"335"	"364"	"1641"	"1641"	"1641"	"222.2"	"William Le Neve"	""	""	""	""	""
"0bba2914-1881-4fcd-8e68-bf780a1f168b"	"Titus EIII"	"Selden"	"201"	"206"	"1639"	"1640"	"1641"	"209.11"	"John Selden"	""	""	""	""	""
"0bd5b717-d14e-4a3a-92e5-a67378bcbf96"	"Titus EIV"	"Selden, 1640 (209.16)."	"194"	"223"	"1640"	"1640"	"1640"	"209.16"	"John Selden"	""	""	""	""	""
