ID,Label,Type
Vespasian CXIII,Vespasian CXIII,Book
Nero DXI,Nero DXI,Book
Otho DIX,Otho DIX,Book
Nero DI,Nero DI,Book
Titus EIII,Titus EIII,Book
Cleopatra AVII,Cleopatra AVII,Book
Cleopatra DIII,Cleopatra DIII,Book
Galba EIV,Galba EIV,Book
Claudius BVIII,Claudius BVIII,Book
Domitian XII,Domitian XII,Book
Titus AI,Titus AI,Book
Caligula DXI,Caligula DXI,Book
Vitellius EXIV,Vitellius EXIV,Book
Julius FVI,Julius FVI,Book
Otho AXVII,Otho AXVII,Book
Titus CI,Titus CI,Book
Caligula BX,Caligula BX,Book
Nero AI,Nero AI,Book
Titus AVIII,Titus AVIII,Book
Tiberius AXIV,Tiberius AXIV,Book
Julius BVIII,Julius BVIII,Book
Faustina BIX,Faustina BIX,Book
Galba CVIII,Galba CVIII,Book
Titus AXV,Titus AXV,Book
Galba BXII,Galba BXII,Book
Nero CIV,Nero CIV,Book
Vespasian EXI,Vespasian EXI,Book
Otho DVIII,Otho DVIII,Book
Cleopatra AXVI,Cleopatra AXVI,Book
Claudius CXI,Claudius CXI,Book
Otho DIII,Otho DIII,Book
Cleopatra CIII,Cleopatra CIII,Book
Julius DVII,Julius DVII,Book
Tiberius CXI,Tiberius CXI,Book
Claudius AV,Claudius AV,Book
Nero CVII,Nero CVII,Book
Tiberius AXIII,Tiberius AXIII,Book
Tiberius BV,Tiberius BV,Book
Titus DXIX,Titus DXIX,Book
Claudius AVIII,Claudius AVIII,Book
Vitellius EXV,Vitellius EXV,Book
Titus DIX,Titus DIX,Book
Nero BV,Nero BV,Book
Galba EVI,Galba EVI,Book
Vitellius DXIII,Vitellius DXIII,Book
Faustina EV,Faustina EV,Book
Otho DVII,Otho DVII,Book
Caligula AXV,Caligula AXV,Book
Titus EIV,Titus EIV,Book
Claudius DII,Claudius DII,Book
Vitellius DXV,Vitellius DXV,Book
Vitellius AIII,Vitellius AIII,Book
Titus AII,Titus AII,Book
Vespasian FVI,Vespasian FVI,Book
Cleopatra BIX,Cleopatra BIX,Book
Vitellius FIX,Vitellius FIX,Book
Otho AI,Otho AI,Book
Faustina AIII,Faustina AIII,Book
Titus BV,Titus BV,Book
Caligula AXIII,Caligula AXIII,Book
Titus FIII,Titus FIII,Book
Claudius DIX,Claudius DIX,Book
Claudius AVI,Claudius AVI,Book
Caligula EVI,Caligula EVI,Book
Vitellius CXVI,Vitellius CXVI,Book
Tiberius CXIII,Tiberius CXIII,Book
Vespasian AXVIII,Vespasian AXVIII,Book
Vespasian BXXV,Vespasian BXXV,Book
Claudius DI,Claudius DI,Book
Vitellius AXIII,Vitellius AXIII,Book
Tiberius CV,Tiberius CV,Book
Cleopatra EI,Cleopatra EI,Book
Julius CIX,Julius CIX,Book
Galba BVI,Galba BVI,Book
Cleopatra EII,Cleopatra EII,Book
Julius FIII,Julius FIII,Book
Caligula CIII,Caligula CIII,Book
Otho CI,Otho CI,Book
Titus BXI,Titus BXI,Book
Vespasian AXXIV,Vespasian AXXIV,Book
Tiberius EVI,Tiberius EVI,Book
Vespasian EXVII,Vespasian EXVII,Book
Otho EIX,Otho EIX,Book
Vespasian BXX,Vespasian BXX,Book
Vespasian BXXII,Vespasian BXXII,Book
Caligula DXII,Caligula DXII,Book
Caligula DIX,Caligula DIX,Book
Galba DVI,Galba DVI,Book
Julius BIV,Julius BIV,Book
Titus EXII,Titus EXII,Book
Vitellius DVII,Vitellius DVII,Book
Vespasian CXIV,Vespasian CXIV,Book
Vespasian AIX,Vespasian AIX,Book
Cleopatra FVII,Cleopatra FVII,Book
Vitellius CX,Vitellius CX,Book
Nero AVII,Nero AVII,Book
Tiberius AVI,Tiberius AVI,Book
Cleopatra AII,Cleopatra AII,Book
Claudius BIV,Claudius BIV,Book
Cleopatra FII,Cleopatra FII,Book
