ID,Label,Type
John Selden,John Selden,Person
Lord William Howard,Lord William Howard,Person
Lord William Howard|Nicholas Roscarrock,Lord William Howard|Nicholas Roscarrock,Person
William Watts,William Watts,Person
Augustine Vincent,Augustine Vincent,Person
Richard St George,Richard St George,Person
Edward Herbert,Edward Herbert,Person
William Camden,William Camden,Person
Hart,Hart,Person
unidentified borrower|James Ussher,unidentified borrower|James Ussher,Person
John Strype,John Strype,Person
Arthur Agarde,Arthur Agarde,Person
Henry Howard,Henry Howard,Person
Francis Bacon,Francis Bacon,Person
John Bradshaw,John Bradshaw,Person
,,Person
Bulstrode Whitelocke,Bulstrode Whitelocke,Person
Peter Balle,Peter Balle,Person
Richard Bancroft,Richard Bancroft,Person
unidentified borrower,unidentified borrower,Person
James Ussher,James Ussher,Person
Francis Tate,Francis Tate,Person
James Ussher|William Laud|George Abbot,James Ussher|William Laud|George Abbot,Person
Francis Tate|John Harington’s tutor|William Crashaw,Francis Tate|John Harington’s tutor|William Crashaw,Person
John Doyly,John Doyly,Person
Mr Beston,Mr Beston,Person
Augustine Lindsell,Augustine Lindsell,Person
Henry Montagu,Henry Montagu,Person
Thomas Coventry|John Borough,Thomas Coventry|John Borough,Person
George Buc,George Buc,Person
William Le Neve,William Le Neve,Person
Henry Spelman,Henry Spelman,Person
"Samuel Roper, senior","Samuel Roper, senior",Person
Henry Bourchier,Henry Bourchier,Person
Patrick Young,Patrick Young,Person
St Lo Kniveton,St Lo Kniveton,Person
Robert Cecil,Robert Cecil,Person
Thomas Howard,Thomas Howard,Person
Nicolas-Claude Fabri de Peirese,Nicolas-Claude Fabri de Peirese,Person
John Everard,John Everard,Person
Thomas Wilson,Thomas Wilson,Person
Elias Ashmole,Elias Ashmole,Person
Basil Brooke,Basil Brooke,Person
Edward Coke,Edward Coke,Person
Robert Bowyer,Robert Bowyer,Person
John Lambe,John Lambe,Person
Francis Crane,Francis Crane,Person
Thomas Wilson|Robert Cecil,Thomas Wilson|Robert Cecil,Person
Daniel Dunn,Daniel Dunn,Person
George Carew,George Carew,Person
Richard Bancroft|John Pory,Richard Bancroft|John Pory,Person
Richard Montague,Richard Montague,Person
William Dugdale,William Dugdale,Person
John Donne,John Donne,Person
James Ware,James Ware,Person
William Lisle,William Lisle,Person
Humphrey Henchman,Humphrey Henchman,Person
John Williams|John Selden,John Williams|John Selden,Person
Richard Bancroft|George Abbot,Richard Bancroft|George Abbot,Person
Benjamin Jonson,Benjamin Jonson,Person
Godfrey Goodman,Godfrey Goodman,Person
John Speed,John Speed,Person
Augustine Baker,Augustine Baker,Person
Robert Drury,Robert Drury,Person
Thomas or Samuel Roper,Thomas or Samuel Roper,Person
Simonds D’Ewes,Simonds D’Ewes,Person
William Crashaw,William Crashaw,Person
John Williams,John Williams,Person
John Barkham,John Barkham,Person
Ralph Brooke,Ralph Brooke,Person
Fulke Greville,Fulke Greville,Person
Samuel Ward,Samuel Ward,Person
Spencer Compton,Spencer Compton,Person
Henry Savile,Henry Savile,Person
John Speed|John Barkham,John Speed|John Barkham,Person
Francis Tate|John Dodderidge,Francis Tate|John Dodderidge,Person
John Dodderidge,John Dodderidge,Person
Mr Walters,Mr Walters,Person
Thomas Coventry,Thomas Coventry,Person
Richard Cecil,Richard Cecil,Person
Scipio Le Squyer,Scipio Le Squyer,Person
Mr Morgan,Mr Morgan,Person
James I,James I,Person
Thomas Shirley,Thomas Shirley,Person
Nicholas Gilborne,Nicholas Gilborne,Person
Abraham Wheloc,Abraham Wheloc,Person
Thomas Smith,Thomas Smith,Person
Henry (or John) Hobart,Henry (or John) Hobart,Person
Brian Twyne,Brian Twyne,Person
William Noy,William Noy,Person
Oliver St John,Oliver St John,Person
Augustine Vincent|John Selden,Augustine Vincent|John Selden,Person
"‘Mr Hall’, Henry Fanshaw’s servant","‘Mr Hall’, Henry Fanshaw’s servant",Person
Inigo Jones,Inigo Jones,Person
Humfrey Wanley,Humfrey Wanley,Person
Samuel Pepys,Samuel Pepys,Person
Christopher Hatton,Christopher Hatton,Person
Arthur Capell,Arthur Capell,Person
Richard Bancroft|Robert Cecil,Richard Bancroft|Robert Cecil,Person
Bulstrode Whitelocke|Robert Cecil,Bulstrode Whitelocke|Robert Cecil,Person
Richard Perrincheif,Richard Perrincheif,Person
Povey,Povey,Person
John Harington,John Harington,Person
John Hayward,John Hayward,Person
John Selden|Augustine Vincent,John Selden|Augustine Vincent,Person
James Ley,James Ley,Person
Francis Fowler,Francis Fowler,Person
George Allington,George Allington,Person
Lawrence Tanfield,Lawrence Tanfield,Person
John Bernard,John Bernard,Person
Mr Lassells of Notinghamshir by Newwark|St Lo Kniveton,Mr Lassells of Notinghamshir by Newwark|St Lo Kniveton,Person
William Greene,William Greene,Person
Godfrey Wildbore,Godfrey Wildbore,Person
Dudley Carleton,Dudley Carleton,Person
Patrick Young|Samuel Ward,Patrick Young|Samuel Ward,Person
George Calvert,George Calvert,Person
Roger Owen,Roger Owen,Person
Richard James,Richard James,Person
Mr Colwell,Mr Colwell,Person
Ralph Starkey,Ralph Starkey,Person
John Borough,John Borough,Person
Rob Scauen,Rob Scauen,Person
John Egerton,John Egerton,Person
Thomas Brudenell,Thomas Brudenell,Person
John Hough,John Hough,Person
John Laughton,John Laughton,Person
Paul Thomson,Paul Thomson,Person
George Abbot,George Abbot,Person
Henry Spelman|Henry Spelman,Henry Spelman|Henry Spelman,Person
"John Speed, Arthur Agarde, or St Lo Kniveton","John Speed, Arthur Agarde, or St Lo Kniveton",Person
William Burton,William Burton,Person
Percy Herbert,Percy Herbert,Person
Sidney Montague,Sidney Montague,Person
Mr Gyze,Mr Gyze,Person
William Cecil,William Cecil,Person
Mr Taylor,Mr Taylor,Person
Thomas Cannon,Thomas Cannon,Person
John Pory,John Pory,Person
Robert Cecil|William Cecil,Robert Cecil|William Cecil,Person
Henry Williamson,Henry Williamson,Person
Ralph Winwood|Mr Waight,Ralph Winwood|Mr Waight,Person
King Charles II,King Charles II,Person
John Lambe|Fronton du Duc,John Lambe|Fronton du Duc,Person
John Selden|Ralph Starkey,John Selden|Ralph Starkey,Person
Guillim,Guillim,Person
Francis Junius,Francis Junius,Person
Jaspar Gryffyth,Jaspar Gryffyth,Person
Francis Tate|William Camden,Francis Tate|William Camden,Person
James Ussher|Robert Cecil,James Ussher|Robert Cecil,Person
Augustine Vincent|St Lo Kniveton,Augustine Vincent|St Lo Kniveton,Person
Richard Gascoigne,Richard Gascoigne,Person
Mr [ Bartholomew] Cotton of the Exchequer,Mr [ Bartholomew] Cotton of the Exchequer,Person
Robert Bertie,Robert Bertie,Person
Thomas Allen,Thomas Allen,Person
‘Mr Randall’|‘Mr Attorney’ Hobart,‘Mr Randall’|‘Mr Attorney’ Hobart,Person
Lord William Howard|Basil Brooke,Lord William Howard|Basil Brooke,Person
Jarvis Bradgate,Jarvis Bradgate,Person
Mr Jonston,Mr Jonston,Person
John Lambe|Henry Hickman,John Lambe|Henry Hickman,Person
Clement Edmunds,Clement Edmunds,Person
Sir Thomas Cotton's ‘cosen’,Sir Thomas Cotton's ‘cosen’,Person
Henry Elsyng,Henry Elsyng,Person
Edward Dering,Edward Dering,Person
unidentified borrower|Mr Husser|Mr Sargent Barker|James Ussher,unidentified borrower|Mr Husser|Mr Sargent Barker|James Ussher,Person
Ralph Winwood,Ralph Winwood,Person
Thomas Ham[p]son,Thomas Ham[p]son,Person
Gerard Langbaine,Gerard Langbaine,Person
Fitton,Fitton,Person
Henry Hyde,Henry Hyde,Person
unidentified borrower|George Allington|Patrick Young,unidentified borrower|George Allington|Patrick Young,Person
Arthur Agarde|Walter Raleigh,Arthur Agarde|Walter Raleigh,Person
Hugh Holland,Hugh Holland,Person
William Segar,William Segar,Person
Roger Dodsworth,Roger Dodsworth,Person
