"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"a83f56c0-0ef2-4271-a94c-9b211eb8be5e","Tite_entries_entry-1165.0_titus-exv.txt","Arthur  Capell","char-offset:29","PERSON","","","","","","","","","","",""
"56d760b9-1620-44d6-bdcf-aff1dd4cd8ba","Tite_entries_entry-1165.0_titus-exv.txt","Arthur  Capell, via Philip Briggs, 1666/7 (269.1).","char-offset:29","","","","","","","","","Loan","","",""
"2b4bb813-a875-4135-89b0-c976e4de6d15","Tite_entries_entry-1165.0_titus-exv.txt","Philip Briggs","char-offset:49","PERSON","","","","","","","","Agent","","",""
"b62f9486-e506-4f4f-a1f0-4fecc5a32d25","Tite_entries_entry-1165.0_titus-exv.txt","1666/7","char-offset:64","","","","","","","","","Date","","",""
"8493fc4f-229c-4b7c-aec4-f4168a17b6a8","Tite_entries_entry-1165.0_titus-exv.txt","269.1","char-offset:72","","","","","","","","","List Reference","","",""
"0b20cba2-9a9e-4f36-b036-36c36ea1f613","Tite_entries_entry-1152.0_titus-eiii.txt","Thomas  Coventry, 1621, and John Borough, 1621         (2.63)","char-offset:108","","","","","","","","","Loan","","",""
"b52e8664-ee4c-444e-a2ec-32a74cace1b2","Tite_entries_entry-1152.0_titus-eiii.txt","Thomas  Coventry","char-offset:108","PERSON","","","","","","","","","","",""
"f39350cf-5ce8-47db-9591-cbc10fda7992","Tite_entries_entry-1152.0_titus-eiii.txt","John Borough","char-offset:136","PERSON","","","","","","","","","","",""
"8bba0aa5-2642-4ae7-ba4a-e1e4c30e6660","Tite_entries_entry-1152.0_titus-eiii.txt","1621","char-offset:150","","","","","","","","","Date","","",""
"2d58a128-0a91-4898-bbfc-f26e0d8cb647","Tite_entries_entry-1152.0_titus-eiii.txt","2.63","char-offset:164","","","","","","","","","List Reference","","",""
"1652e3a6-34d9-4ad8-9711-fe52c338246e","Tite_entries_entry-1152.0_titus-eiii.txt","John Selden","char-offset:171","PERSON","","","","","","","","","","",""
"00fe2356-6e9b-4932-8c88-0c78163198ca","Tite_entries_entry-1152.0_titus-eiii.txt","John Selden, c.1638 (163.24)","char-offset:171","","","","","","","","","Loan","","",""
"3835288e-dc5b-4917-bee4-504a2c2c8191","Tite_entries_entry-1152.0_titus-eiii.txt","c.1638","char-offset:184","","","","","","","","","Date","","",""
"1b20ca8a-1b7c-4108-875e-6834e3dfca84","Tite_entries_entry-1152.0_titus-eiii.txt","163.24","char-offset:192","","","","","","","","","List Reference","","",""
"45f4530c-6610-40cd-bce9-120e120153a5","Tite_entries_entry-1152.0_titus-eiii.txt","Selden","char-offset:201","PERSON","","","","","","","","","John Selden
","",""
"0bba2914-1881-4fcd-8e68-bf780a1f168b","Tite_entries_entry-1152.0_titus-eiii.txt","Selden, ¢.1640         (209.11, where the loan is of a ‘Greate bundle’).","char-offset:201","","","","","","","","","Loan","","",""
"c3575101-8211-40f0-950e-7eafda3e90c5","Tite_entries_entry-1152.0_titus-eiii.txt","¢.1640","char-offset:209","","","","","","","","","Date","","",""
