"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"1ba114a1-8a37-48c9-92fb-d40dec731342","Tite_entries_entry-878.0_vespasian-axviii.txt","Arthur Agarde","char-offset:418","PERSON","","","","","","","","","","",""
"d73a6e5c-300c-4c1d-a7ad-edac82f272b1","Tite_entries_entry-878.0_vespasian-axviii.txt","Arthur Agarde, 1612-15 (18.17: this, Otho B.XIV                or Vesp. E.II);","char-offset:418","","","","","","","","","Loan","","",""
"692a2c32-4e0e-440e-843c-3e3af0b891ea","Tite_entries_entry-878.0_vespasian-axviii.txt","1612-15","char-offset:433","","","","","","","","","Date","","",""
"4504e743-08dc-4feb-8cb4-98be16b431f6","Tite_entries_entry-878.0_vespasian-axviii.txt","(18.17","char-offset:441","","","","","","","","","List Reference","","",""
"0bc4b03b-7708-4794-85ee-10caf8b00555","Tite_entries_entry-878.0_vespasian-axviii.txt","this, Otho B.XIV                or Vesp. E.II","char-offset:449","","","","","","","","","Uncertain Book","","",""
"d9342846-f736-4ea6-b80d-102203086779","Tite_entries_entry-878.0_vespasian-axviii.txt","Agarde, 1612-15 (71.29, not necessarily                the same  manuscript as in 18.17);","char-offset:497","","","","","","","","","Loan","","",""
"edd84a82-96ae-4c9f-8ea3-713c626bf5e8","Tite_entries_entry-878.0_vespasian-axviii.txt","Agarde","char-offset:497","PERSON","","","","","","","","","","",""
"2c6ddfec-4324-4391-a2c9-2ae30b0c6eb9","Tite_entries_entry-878.0_vespasian-axviii.txt","1612-15","char-offset:505","","","","","","","","","Date","","",""
"0d232013-8763-455b-b5ed-f826db96cd9c","Tite_entries_entry-878.0_vespasian-axviii.txt","71.29","char-offset:514","","","","","","","","","List Reference","","",""
"d37073d9-1bf6-4429-bd35-d48cc75a8830","Tite_entries_entry-878.0_vespasian-axviii.txt","John Selden, 1621                (2.72)","char-offset:587","","","","","","","","","Loan","","",""
"15a8c36c-4575-40dd-96d9-eb80af52ede1","Tite_entries_entry-878.0_vespasian-axviii.txt","John Selden","char-offset:587","PERSON","","","","","","","","","","",""
"49c13ef6-762c-4ca5-8f61-4dffd322fbed","Tite_entries_entry-878.0_vespasian-axviii.txt","1621","char-offset:600","","","","","","","","","Date","","",""
"d414bdc5-2956-40ca-96b1-ea3bda9280b0","Tite_entries_entry-878.0_vespasian-axviii.txt","2.72","char-offset:621","","","","","","","","","List Reference","","",""
"ca0787d7-9cfe-433e-868d-e3e3ef7719ae","Tite_entries_entry-878.0_vespasian-axviii.txt","John Everard","char-offset:628","PERSON","","","","","","","","","","",""
"12b525b9-a259-4506-b30d-eb66589c06af","Tite_entries_entry-878.0_vespasian-axviii.txt","John Everard, 1626 (Jul. CII, fol. 172).","char-offset:628","","","","","","","","","Loan","","",""
"4b881c35-8e5c-408a-934f-cdc63711de2e","Tite_entries_entry-878.0_vespasian-axviii.txt","1626","char-offset:642","","","","","","","","","Date","","",""
"66dde815-01ac-43b3-abce-b1c6ac606eae","Tite_entries_entry-878.0_vespasian-axviii.txt","Jul. CII, fol. 172","char-offset:648","","","","","","","","","List Reference","","",""
"501d17ab-2cc2-4c4a-9000-0f26d36e3775","Tite_entries_entry-887.0_vespasian-axxii.txt","George  Buc, 1616 (102.1: this or Claud. E.III or              Otho  D.VID;","char-offset:929","","","","","","","","","Loan","","",""
"a8a3e738-a907-454a-926c-339a4e62e836","Tite_entries_entry-887.0_vespasian-axxii.txt","George  Buc","char-offset:929","PERSON","","","","","","","","","","",""
"d885dafb-97ef-4196-8f4b-9b4968e49757","Tite_entries_entry-887.0_vespasian-axxii.txt","1616","char-offset:942","","","","","","","","","Date","","",""
"42ab24f0-d80c-4878-a1d5-626cefda760b","Tite_entries_entry-887.0_vespasian-axxii.txt","102.1","char-offset:948","","","","","","","","","List Reference","","",""
"80bd612a-f0d4-48ba-98ac-b3ae4848dd2f","Tite_entries_entry-887.0_vespasian-axxii.txt","this or Claud. E.III or              Otho  D.VID","char-offset:955","","","","","","","","","Uncertain Book","","",""
"adad84ae-4c1a-4169-9613-a9769ca12bd9","Tite_entries_entry-887.0_vespasian-axxii.txt","John Selden","char-offset:1005","PERSON","","","","","","","","","","",""
"54571707-f7b7-49e5-8c08-c149a52f003f","Tite_entries_entry-887.0_vespasian-axxii.txt","John Selden, ? c.1623 or later (6018, no.              314; no. 326 (Nero D.VII) was given to Cotton in 1623).","char-offset:1005","","","","","","","","","Loan","","",""
"0f1e6642-8062-4f30-997c-ec064eb52078","Tite_entries_entry-887.0_vespasian-axxii.txt","? c.1623 or later","char-offset:1018","","","","","","","","","Date","","",""
"c68db6d1-a649-4620-9090-abf5458b5614","Tite_entries_entry-887.0_vespasian-axxii.txt","6018, no.              314","char-offset:1037","","","","","","","","","List Reference","","",""
"17bdcf58-851e-4a85-94f2-3a22fac9ccb9","Tite_entries_entry-889.0_vespasian-axxiv.txt","John Lambe,  ? by 1612 (26.2: this, Otho A-XVII,              Cleo. C.1, Il or Faust. B.IIT)","char-offset:317","","","","","","","","","Loan","","",""
