"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"001af613-8d75-4666-9292-f57636ef893a","Tite_entries_entry-1097.0_titus-cv.txt","John Selden","char-offset:191","PERSON","","","","","","","","","","",""
"58855667-3fb9-421e-87c4-3bd53ae3ea6c","Tite_entries_entry-1097.0_titus-cv.txt","John Selden, 1641 (223.1)","char-offset:191","","","","","","","","","Loan","","",""
"0a828e03-48eb-4933-a786-cee6f7ac2e1d","Tite_entries_entry-1097.0_titus-cv.txt","1641","char-offset:204","","","","","","","","","Date","","",""
"1e08b66e-f518-49d3-863e-df7da432fae4","Tite_entries_entry-1097.0_titus-cv.txt","223.1","char-offset:210","","","","","","","","","List Reference","","",""
"3cd52719-abdf-4975-9453-5fa3d75b1ef9","Tite_entries_entry-1097.0_titus-cv.txt","William Dugdale, 1661       (266.2).","char-offset:218","","","","","","","","","Loan","","",""
"591d8a45-3d2e-479e-a95f-b95e64edabb0","Tite_entries_entry-1097.0_titus-cv.txt","William Dugdale","char-offset:218","PERSON","","","","","","","","","","",""
"2afcd3e1-e1f5-4a6d-941b-e8ce2439c7af","Tite_entries_entry-1097.0_titus-cv.txt","1661","char-offset:235","","","","","","","","","Date","","",""
"91e49462-f421-45f9-ba84-4ce1b104030e","Tite_entries_entry-1097.0_titus-cv.txt","266.2","char-offset:247","","","","","","","","","List Reference","","",""
"b763827e-0d1a-4e2b-be66-2f356eb56dd2","Tite_entries_entry-1098.0_titus-cvi.txt","(of fols 429,  433, artt. 13, 14) George   Buc,       ¢.1615-17 (91.1)","char-offset:196","","","","","","","","","Loan","","",""
"b676e9bc-b1b2-4a19-b8bd-083bab07eb4e","Tite_entries_entry-1098.0_titus-cvi.txt","of fols 429,  433, artt. 13, 14","char-offset:197","","","","","","","","","Partial","","",""
"97f2833d-0b09-4bf5-9d00-29cf5a895fe9","Tite_entries_entry-1098.0_titus-cvi.txt","George   Buc","char-offset:230","PERSON","","","","","","","","","","",""
"8e06855a-5fbe-4d8e-b6f0-a4e427d765c8","Tite_entries_entry-1098.0_titus-cvi.txt","¢.1615-17","char-offset:250","","","","","","","","","Date","","",""
"e61a13b4-995b-4ef8-8124-cfb535f138f1","Tite_entries_entry-1098.0_titus-cvi.txt","91.1","char-offset:261","","","","","","","","","List Reference","","",""
"9ca14fc3-ee71-4252-a0ac-00c8b19742b4","Tite_entries_entry-1098.0_titus-cvi.txt","(of fols 4-171, artt. 1-7) William Cecil,       earl of Salisbury, ? 1614 (Jul. C.IH, fol. 82)","char-offset:268","","","","","","","","","Loan","","",""
"d0afda35-e290-48f6-adbe-3d8760df7a01","Tite_entries_entry-1098.0_titus-cvi.txt","of fols 4-171, artt. 1-7","char-offset:269","","","","","","","","","Partial","","",""
"c9c5394e-ec8e-4663-8e3e-df477bd7df0c","Tite_entries_entry-1098.0_titus-cvi.txt","William Cecil,       earl of Salisbury","char-offset:295","PERSON","","","","","","","","","","",""
"ae4343b8-5dce-4b2f-bc4d-5f6d3dc1cf3c","Tite_entries_entry-1098.0_titus-cvi.txt","? 1614","char-offset:335","","","","","","","","","Date","","",""
"dd3c3199-e698-4049-9554-2ca9bae6005e","Tite_entries_entry-1098.0_titus-cvi.txt","Jul. C.IH, fol. 82","char-offset:343","","","","","","","","","List Reference","","",""
"57b3a3d8-529e-45e3-b6b4-bce211fd2169","Tite_entries_entry-1102.0_titus-cx.txt","John  Speed","char-offset:203","PERSON","","","","","","","","","","",""
"6beddd7a-82d9-4f0e-8ea5-6a61187c2768","Tite_entries_entry-1102.0_titus-cx.txt","John  Speed, ¢.1615-17 (87.1: ? fols 73-73y, art. 19,                    of this)","char-offset:203","","","","","","","","","Loan","","",""
"7bb7fd3f-7a82-467c-a6e6-c63a43b73679","Tite_entries_entry-1102.0_titus-cx.txt","¢.1615-17","char-offset:216","","","","","","","","","Date","","",""
"bacf0566-90a0-479f-b72e-41b4aae2d705","Tite_entries_entry-1102.0_titus-cx.txt","87.1","char-offset:227","","","","","","","","","List Reference","","",""
"b04e3027-4e1a-4900-9b21-43aa6a1ba58e","Tite_entries_entry-1102.0_titus-cx.txt","? fols 73-73y, art. 19,                    of this","char-offset:233","","","","","","","","","Partial","","",""
"f97caf8d-dfc9-4d21-b039-b056b9ac58a3","Tite_entries_entry-1102.0_titus-cx.txt","? James I , c.1615-17 (93.7: ? fols 73-73v, art.                    19, of this)","char-offset:286","","","","","","","","","Loan","","",""
"28f3c933-e044-4910-bc89-e08fff1d0f5b","Tite_entries_entry-1102.0_titus-cx.txt","James I","char-offset:288","PERSON","","","","","","","","Uncertain Person","","",""
