"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"b5c63f07-2bdf-4489-941c-885fb775d979","Tite_entries_entry-1234.0_cleopatra-axiv.txt","Edward  Herbert","char-offset:372","PERSON","","","","","","","","","","",""
"36efdcdc-5f91-4af7-b2aa-f2b1a6077571","Tite_entries_entry-1234.0_cleopatra-axiv.txt","Edward  Herbert, 1636 (119.10: this or Calig. A.ITI,          Tit. D.II, EX or Cleo. B.V.)","char-offset:372","","","","","","","","","Loan","","",""
"55ec6920-837d-4e07-99fd-d6f574b935ce","Tite_entries_entry-1234.0_cleopatra-axiv.txt","1636","char-offset:389","","","","","","","","","Date","","",""
"0ab188a8-4ec0-40ba-a6a8-dadaa2f743e7","Tite_entries_entry-1234.0_cleopatra-axiv.txt","119.10","char-offset:395","","","","","","","","","List Reference","","",""
"be32168c-5947-4989-9714-4d11e98c60ff","Tite_entries_entry-1234.0_cleopatra-axiv.txt","his or Calig. A.ITI,          Tit. D.II, EX or Cleo. B.V.","char-offset:404","","","","","","","","","Uncertain Book","","",""
"4bd9e1a5-7fd0-4c6f-b3f6-cff6c8912f54","Tite_entries_entry-1236.0_cleopatra-axvi.txt","Richard  Bancroft","char-offset:818","PERSON","","","","","","","","","","",""
"1970b051-2732-4229-b7ae-73c2f61a5ae1","Tite_entries_entry-1236.0_cleopatra-axvi.txt","Richard  Bancroft, 1608, by hand  of John Pory          (29.3: (2) fols 68v-195, art 11, of this or (1) Galba A.I);","char-offset:818","","","","","","","","","Loan","","",""
"e76cfc09-0ec4-42f4-9319-0b735959b683","Tite_entries_entry-1236.0_cleopatra-axvi.txt","1608","char-offset:837","","","","","","","","","Date","","",""
"83c8d8c9-88dc-4708-a429-30c3150df156","Tite_entries_entry-1236.0_cleopatra-axvi.txt","John Pory","char-offset:855","PERSON","","","","","","","","","","",""
"327d5af8-5544-4924-85ea-d3e71811de38","Tite_entries_entry-1236.0_cleopatra-axvi.txt","29.3","char-offset:875","","","","","","","","","List Reference","","",""
"2470b817-0e10-4cbc-8760-4d151fc4275b","Tite_entries_entry-1236.0_cleopatra-axvi.txt","(2) fols 68v-195, art 11, of this or (1) Galba A.I","char-offset:881","","","","","","","","","Uncertain Book|Partial","","",""
"a0b86765-4fc3-4c80-8602-ef8b5c393cd9","Tite_entries_entry-1236.0_cleopatra-axvi.txt","Arthur Agarde","char-offset:943","PERSON","","","","","","","","","","",""
"06723033-c8dc-495b-94f8-9b13479b833b","Tite_entries_entry-1236.0_cleopatra-axvi.txt","Arthur Agarde,  by 1615","char-offset:943","","","","","","","","","Loan","","",""
"13c27021-cbf1-4981-93fe-fdab25c7cd2e","Tite_entries_entry-1236.0_cleopatra-axvi.txt",",","char-offset:956","","","","","","","","","Uncertain Book","111.1: this or 6018, no. 287 — see below","",""
"72569a4b-2769-4501-a437-2b721de19588","Tite_entries_entry-1236.0_cleopatra-axvi.txt","by 1615","char-offset:959","","","","","","","","","Date","","",""
"346c05db-087f-43a7-90fb-c8f5a31b086a","Tite_entries_entry-1236.0_cleopatra-axvi.txt","Fulke Greville, by 1617          (111.1: this or 6018, no. 287 — see below)","char-offset:972","","","","","","","","","Loan","","",""
"71bb3b33-65ea-4ef1-a241-e44844252661","Tite_entries_entry-1236.0_cleopatra-axvi.txt","Fulke Greville","char-offset:972","PERSON","","","","","","","","","","",""
"9fc9472e-ddf5-4ab0-94db-55f424e7b184","Tite_entries_entry-1236.0_cleopatra-axvi.txt","by 1617","char-offset:988","","","","","","","","","Date","","",""
"a326524f-8c0f-4310-a4ca-4b153d2b9b02","Tite_entries_entry-1236.0_cleopatra-axvi.txt","111.1","char-offset:1006","","","","","","","","","List Reference","","",""
