"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"03d7103c-b71e-4b19-8e49-8b7df3fc3009","Tite_entries_entry-150.0_tiberius-axiv.txt","Patrick Young, c.1616, and Samuel Ward (49.18:          this or Tib. C.ID)","char-offset:145","","","","","","","","","Loan","","",""
"7583582c-103c-4062-aaf5-d3d7e6ed4e28","Tite_entries_entry-150.0_tiberius-axiv.txt","Patrick Young","char-offset:145","PERSON","","","","","","","","","","",""
"0b79b89d-a36f-41ed-a3bc-a9fdd4c2d1f3","Tite_entries_entry-150.0_tiberius-axiv.txt","c.1616","char-offset:160","","","","","","","","","Date","","",""
"85af10e0-1f45-4289-ac15-ee06b7e34efb","Tite_entries_entry-150.0_tiberius-axiv.txt","Samuel Ward","char-offset:172","PERSON","","","","","","","","","","",""
"ea7eb79f-4c70-45c3-92a2-ea769100ebdc","Tite_entries_entry-150.0_tiberius-axiv.txt","49.18","char-offset:185","","","","","","","","","List Reference","","",""
"d2eb510a-6a91-4152-99fa-e05ecc2a0219","Tite_entries_entry-150.0_tiberius-axiv.txt","this or Tib. C.ID","char-offset:201","","","","","","","","","Uncertain Book","","",""
"c68ebb86-f330-43b3-ac7e-24780adc290a","Tite_entries_entry-150.0_tiberius-axiv.txt","Ward","char-offset:221","PERSON","","","","","","","","","Samuel Ward
","",""
"57d1ac79-6137-4b22-ad65-b6d480c9ed4c","Tite_entries_entry-150.0_tiberius-axiv.txt","Ward, 1621 (2.41: this or Tib. C.II).","char-offset:221","","","","","","","","","Loan","","",""
"da6e3b0f-bb9f-4cf1-af0b-1759397183d1","Tite_entries_entry-150.0_tiberius-axiv.txt","1621","char-offset:227","","","","","","","","","Date","","",""
"3118e0a3-2c6e-441a-956d-9c96b5b1344d","Tite_entries_entry-150.0_tiberius-axiv.txt","2.41","char-offset:233","","","","","","","","","List Reference","","",""
