"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"9fa1dc01-d746-4368-9f9c-7f637c876ace","Tite_entries_entry-55.0_julius-ei.txt","William Greene, 1639 (189.2)","char-offset:604","","","","","","","","","Loan","","",""
"fa7e4100-7f57-4b13-9ef9-7976b58888dc","Tite_entries_entry-55.0_julius-ei.txt","William Greene","char-offset:604","PERSON","","","","","","","","","","",""
"48336d0c-3d21-49c5-acf4-52fc6394d3da","Tite_entries_entry-55.0_julius-ei.txt","1639","char-offset:620","","","","","","","","","Date","
","",""
"7b6872c8-9bf1-407f-8bd5-93f1d949a9ab","Tite_entries_entry-55.0_julius-ei.txt","189.2","char-offset:626","","","","","","","","","List Reference","","",""
"3005cde4-1f32-4abc-ade8-424b2c02fa42","Tite_entries_entry-55.0_julius-ei.txt","Godfrey Goodman, 1655 (256)","char-offset:634","","","","","","","","","Loan","","",""
"4dbb06a6-bb68-471d-83f0-00462d0742f7","Tite_entries_entry-55.0_julius-ei.txt","Godfrey Goodman","char-offset:634","PERSON","","","","","","","","","","",""
"929e4e76-99c4-4c45-8ecf-c7ae02fe4241","Tite_entries_entry-55.0_julius-ei.txt","1655","char-offset:651","","","","","","","","","Date","","",""
"426211b0-0f61-4045-abcd-e29eec76677c","Tite_entries_entry-55.0_julius-ei.txt","256","char-offset:657","","","","","","","","","List Reference","","",""
"c5253039-7779-454b-a63f-58d6c84b34ce","Tite_entries_entry-56.0_julius-eii.txt","? Francis Bacon, ? by 1613 (23.3: ? this or ? Vesp. A.XIII).","char-offset:178","","","","","","","","","Loan","","",""
"0a8691bb-e3a4-44b0-b0e3-67f5aa0226ca","Tite_entries_entry-56.0_julius-eii.txt","Francis Bacon","char-offset:180","PERSON","","","","","","","","Uncertain Person","","",""
"73b9d5ba-e3ee-46f2-bf9a-93859d88fe6d","Tite_entries_entry-56.0_julius-eii.txt","? by 1613","char-offset:195","","","","","","","","","Date|Uncertain Date","","",""
"502f1f85-8502-482b-969c-7055710c5fd5","Tite_entries_entry-56.0_julius-eii.txt","23.3","char-offset:206","","","","","","","","","List Reference","","",""
"f82cb2c1-35d0-4712-9eba-cffd8cd9c8f7","Tite_entries_entry-56.0_julius-eii.txt","? this or ? Vesp. A.XIII","char-offset:212","","","","","","","","","List Reference","","",""
"633e33eb-99af-49f1-bede-904fbf0c7a8a","Tite_entries_entry-58.0_julius-eiii.txt","(? of fols 177-210, in art. 1) James Ley, 1611 (61.1);","char-offset:506","","","","","","","","","Loan","","",""
"3b4930d9-4021-4cef-a6a8-856d0a7a0c55","Tite_entries_entry-58.0_julius-eiii.txt","? of fols 177-210, in art. 1","char-offset:507","","","","","","","","","Partial","","",""
"ecd09eb1-ebdd-4a1b-bbaf-079f949e4a24","Tite_entries_entry-58.0_julius-eiii.txt","James Ley","char-offset:537","PERSON","","","","","","","","","","",""
"a9f10949-092f-43fa-a3f9-0e78e2c53512","Tite_entries_entry-58.0_julius-eiii.txt","1611","char-offset:548","","","","","","","","","Date","","",""
"85b93f6b-f53d-4781-ab22-e271176484e2","Tite_entries_entry-58.0_julius-eiii.txt","61.1","char-offset:554","","","","","","","","","List Reference","","",""
"d4fcc61a-e109-457b-b6d6-887331cabe86","Tite_entries_entry-58.0_julius-eiii.txt","? Francis Bacon, ? by 1613 (23.5)","char-offset:563","","","","","","","","","Loan","","",""
"05e1add9-907d-4258-b18b-764816c30b74","Tite_entries_entry-58.0_julius-eiii.txt","Francis Bacon","char-offset:565","PERSON","","","","","","","","Uncertain Person","","",""
