"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"c09504c3-e458-4d26-ae32-7f2704388429","Tite_entries_entry-1372.0_faustina-eix.txt","Augustine Vincent, St Lo Kniveton, 1611 + (66.2:       ? fols 56-96v of this).","char-offset:380","","","","","","","","","Loan","","",""
"c41e1213-f15e-4377-80a4-3c9e7248b898","Tite_entries_entry-1372.0_faustina-eix.txt","Augustine Vincent","char-offset:380","PERSON","","","","","","","","","","",""
"99d1d811-b696-4af3-b9fe-a3cc16d69a37","Tite_entries_entry-1372.0_faustina-eix.txt","St Lo Kniveton","char-offset:399","PERSON","","","","","","","","","","",""
"0de6239d-c14d-425d-a075-78e70439e8b7","Tite_entries_entry-1372.0_faustina-eix.txt","1611 +","char-offset:415","","","","","","","","","Date","","",""
"718bcc7d-14bb-4027-9e02-fe9b619669e1","Tite_entries_entry-1372.0_faustina-eix.txt","66.2","char-offset:423","","","","","","","","","List Reference","","",""
"e7fa2e1a-dc11-45f6-b4ae-6e05cd6ddb1b","Tite_entries_entry-1372.0_faustina-eix.txt","? fols 56-96v of this","char-offset:435","","","","","","","","","Partial","","",""
"83bf863e-0bb0-4baa-aeae-a356779ca9f8","Tite_entries_entry-1359.0_faustina-ei.txt","George  Carew","char-offset:205","PERSON","","","","","","","","","","",""
"d5e05d93-2b83-4840-99e4-6b36c6ff1a0b","Tite_entries_entry-1359.0_faustina-ei.txt","George  Carew, d. 1629 (106.2: ? fols 104—9y, part of        art. 12 of this or ? Tit. C.1).","char-offset:205","","","","","","","","","Loan","","",""
"618ae4f1-5f98-471c-a003-f6cc9c69d424","Tite_entries_entry-1359.0_faustina-ei.txt","106.2","char-offset:229","","","","","","","","","List Reference","","",""
"28a815f2-c2c7-4c63-b7ea-dccf07fd3e3f","Tite_entries_entry-1359.0_faustina-ei.txt","? fols 104—9y, part of        art. 12 of this or ? Tit. C.1","char-offset:236","","","","","","","","","Uncertain Book|Partial","","",""
"3625d6b3-7783-4edc-8a58-46be00b27a6b","Tite_entries_entry-1365.0_faustina-ev.txt","Henry Montagu","char-offset:178","PERSON","","","","","","","","","","",""
"0ab0f4ad-9b53-4cc4-bf50-c9c17b07a886","Tite_entries_entry-1365.0_faustina-ev.txt","Henry Montagu,  after Christmas 1604 (129.8: this             and / or Tit. C.1).","char-offset:178","","","","","","","","","Loan","","",""
"736a4b0f-23a6-49b8-8ff5-944958f96063","Tite_entries_entry-1365.0_faustina-ev.txt","after Christmas 1604","char-offset:194","","","","","","","","","Date","","",""
"cc3602d8-7592-4d8c-9d88-e7fee8dabc1c","Tite_entries_entry-1365.0_faustina-ev.txt","129.8","char-offset:216","","","","","","","","","List Reference","","",""
"bc6e9840-9e3e-4b15-86b1-2498765a7818","Tite_entries_entry-1365.0_faustina-ev.txt","this             and / or Tit. C.1","char-offset:223","","","","","","","","","Uncertain Book","","",""
"5a0963d1-3b87-4fdd-af12-8c91f3c3403e","Tite_entries_entry-1369.0_faustina-evii.txt","(of at least fols 1-15v, art. 1) Edward Herbert, 1636       (117.5 and 119.5).","char-offset:170","","","","","","","","","Loan","","",""
"a2aa72bd-550f-4379-8a0f-46bf6f7459cf","Tite_entries_entry-1369.0_faustina-evii.txt","of at least fols 1-15v, art. 1","char-offset:171","","","","","","","","","Partial","","",""
"c93c97d0-e6fe-4ad9-9bbd-fc8cb04e41d0","Tite_entries_entry-1369.0_faustina-evii.txt","Edward Herbert","char-offset:203","PERSON","","","","","","","","","","",""
"07645b19-8884-4e8b-833b-5c2be08268b0","Tite_entries_entry-1369.0_faustina-evii.txt","1636","char-offset:219","","","","","","","","","Date","","",""
"a655bf9b-7f97-4e27-87fc-d20643fbec3b","Tite_entries_entry-1369.0_faustina-evii.txt","117.5 and 119.5","char-offset:231","","","","","","","","","List Reference","","",""
