"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"9a4e346d-01a0-4624-8750-1324dd115456","Tite_entries_entry-380.0_claudius-ev.txt","Patrick Young,  ¢.1616 (49.26, 134.6, the latter        either this or Claud. D.IX);","char-offset:152","","","","","","","","","Loan","","",""
"a186285e-831e-4216-bf9f-0ad530ed5a67","Tite_entries_entry-380.0_claudius-ev.txt","Patrick Young","char-offset:152","PERSON","","","","","","","","","","",""
"67658e5e-fe0a-4f5b-842a-13af9e1cd9a2","Tite_entries_entry-380.0_claudius-ev.txt","¢.1616","char-offset:168","","","","","","","","","Date","","",""
"26ddbca3-215b-4de3-b944-5dbad980eb9e","Tite_entries_entry-380.0_claudius-ev.txt","(49.26, 134.6,","char-offset:175","","","","","","","","","List Reference","","",""
"85a8c4bd-12cc-4cbb-9557-6a4f58dbc6da","Tite_entries_entry-380.0_claudius-ev.txt","he latter        either this or Claud. D.IX","char-offset:191","","","","","","","","","Uncertain Book","","",""
"9ac38f60-e723-48f1-aead-ca2a2561c595","Tite_entries_entry-380.0_claudius-ev.txt","George Calvert, 1616 (107.3:        this or Claud. D.IX).","char-offset:237","","","","","","","","","Loan","","",""
"1641ef3c-0b9c-40a1-a42a-22f4efd7c003","Tite_entries_entry-380.0_claudius-ev.txt","George Calvert","char-offset:237","PERSON","","","","","","","","","","",""
"607e1f4b-ae01-4095-81b6-7e6ec67d2754","Tite_entries_entry-380.0_claudius-ev.txt","1616","char-offset:253","","","","","","","","","Date","","",""
"84be4f2f-cc5e-41b2-a9ae-0819af00dc42","Tite_entries_entry-380.0_claudius-ev.txt","107.3","char-offset:259","","","","","","","","","List Reference","","",""
"671d8615-c5cb-4881-8177-6f7a15290e02","Tite_entries_entry-380.0_claudius-ev.txt","this or Claud. D.IX","char-offset:273","","","","","","","","","Uncertain Book","","",""
"723d902a-54f8-4722-ac8f-f513a39b7eb5","Tite_entries_entry-381.0_claudius-ei.txt","John Selden, c.1638 (162: this, Nero C.IX or E.V1);","char-offset:115","","","","","","","","","Loan","","",""
"0d499cb6-1380-4e21-8ee8-9266f33013af","Tite_entries_entry-381.0_claudius-ei.txt","John Selden","char-offset:115","PERSON","","","","","","","","","","",""
