"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"da1b7959-d0bb-49dc-b09c-2432c47b4a25","Tite_entries_entry-851.0_vitellius-fxvii.txt","St Lo Kniveton","char-offset:90","PERSON","","","","","","","","","","",""
"31ff6458-60a9-4bcd-a295-caf16ca868dc","Tite_entries_entry-851.0_vitellius-fxvii.txt","St Lo Kniveton, 1615-16, by 1617 (45.19, 111.35).","char-offset:90","","","","","","","","","Loan","","",""
"bd0f5d4b-7de9-48e0-bcf7-61ea2861c276","Tite_entries_entry-851.0_vitellius-fxvii.txt","1615-16, by 1617","char-offset:106","","","","","","","","","Date","","",""
"e32dbc38-8587-4bd9-b2e0-49f9d3490b1f","Tite_entries_entry-851.0_vitellius-fxvii.txt","45.19, 111.35","char-offset:124","","","","","","","","","List Reference","","",""
"c98933a3-fd15-4345-bdbb-c6e50a2bf1b4","Tite_entries_entry-834.0_vitellius-fv.txt","John Strype","char-offset:123","PERSON","","","","","","","","","","",""
"a6c150bf-8855-486f-8dc6-a766cb44bb4e","Tite_entries_entry-834.0_vitellius-fv.txt","John Strype, 1697 (BL, Lansdowne MS 814, fol. 25;                   the loan, with Jul. F-VI, was for 2 months and a bond                   of £200, to cover both manuscripts, was required as                   security).","char-offset:123","","","","","","","","","Loan","","",""
"5a595bdc-080c-4e23-9d2e-5e15ede39bec","Tite_entries_entry-834.0_vitellius-fv.txt","1697","char-offset:136","","","","","","","","","Date","","",""
"33465175-b367-460c-8162-f42b9a60216b","Tite_entries_entry-834.0_vitellius-fv.txt","BL, Lansdowne MS 814, fol. 25","char-offset:142","","","","","","","","","List Reference","","",""
"79938103-5dd2-4b38-b331-a913bb3e4efb","Tite_entries_entry-834.0_vitellius-fv.txt","for 2 months","char-offset:221","","","","","","","","","Date","","",""
"22a13dde-c26e-45ea-af81-a6800f6c0465","Tite_entries_entry-854.0_vitellius-fxix.txt","John  Selden","char-offset:207","PERSON","","","","","","","","","","",""
"4d9a646b-b09a-4baa-b690-807763a3eb3f","Tite_entries_entry-854.0_vitellius-fxix.txt","John  Selden,  c.1638 (163.3: (1) this, Tib. B.X,       Calig. A.IV or Vit. F.XVIII, or (2) Tib. A.I or Vit. A.TV);","char-offset:207","","","","","","","","","Loan","","",""
"11d98620-2595-4443-b0f6-8c8931f3af2b","Tite_entries_entry-854.0_vitellius-fxix.txt","c.1638","char-offset:222","","","","","","","","","Date","","",""
"59adab8f-4957-4a33-9561-ab6943e1b16c","Tite_entries_entry-854.0_vitellius-fxix.txt","163.3","char-offset:230","","","","","","","","","List Reference","","",""
"781eebfc-c877-4ece-8f5d-e88454ccad9d","Tite_entries_entry-854.0_vitellius-fxix.txt","(1) this, Tib. B.X,       Calig. A.IV or Vit. F.XVIII, or (2) Tib. A.I or Vit. A.TV","char-offset:237","","","","","","","","","Uncertain Book","","",""
"823b66ea-558a-4321-b9a8-d0e959170ebb","Tite_entries_entry-854.0_vitellius-fxix.txt","Selden","char-offset:329","PERSON","","","","","","","","","","",""
"2e48e185-3420-4eea-b417-37360bf611b1","Tite_entries_entry-854.0_vitellius-fxix.txt","Selden, 1641 (225.3).","char-offset:329","","","","","","","","","Loan","","",""
"4a8b3f25-1ddb-4926-960d-538ffecc06c6","Tite_entries_entry-854.0_vitellius-fxix.txt","1641","char-offset:337","","","","","","","","","Date","","",""
"f64a11fd-927f-4bd2-9444-c2423f1afdbf","Tite_entries_entry-854.0_vitellius-fxix.txt","225.3","char-offset:343","","","","","","","","","List Reference","","",""
"0ec1dc24-8fe2-42e4-ba28-44a6ec06cf1f","Tite_entries_entry-839.0_vitellius-fix.txt","William Camden, 1606 (10.19);","char-offset:979","","","","","","","","","Loan","","",""
"4745a270-f986-496e-88a1-6470c878334a","Tite_entries_entry-839.0_vitellius-fix.txt","William Camden","char-offset:979","PERSON","","","","","","","","","","",""
"8f9e61ca-4fd7-40d0-9329-88f7941d95c3","Tite_entries_entry-839.0_vitellius-fix.txt","1606","char-offset:995","","","","","","","","","Date","","",""
"8e7b99ca-05d7-4403-99e0-081460d6c848","Tite_entries_entry-839.0_vitellius-fix.txt","10.19","char-offset:1001","","","","","","","","","List Reference","","",""
"30710990-acce-4c4f-b54d-90cdf390d0b0","Tite_entries_entry-839.0_vitellius-fix.txt","Richard Bancroft","char-offset:1009","PERSON","","","","","","","","","","",""
"5ac06291-a736-4d04-b9e8-3ef35835d603","Tite_entries_entry-839.0_vitellius-fix.txt","Richard Bancroft,   1608, by hand of Zachariah Pasfeild (29.17)","char-offset:1009","","","","","","","","","Loan","","",""
"39e1506b-de40-422f-b02e-95ab7e317650","Tite_entries_entry-839.0_vitellius-fix.txt","1608","char-offset:1029","","","","","","","","","Date","","",""
"e3366e65-ffb2-426f-8dd9-bf09f0d458ec","Tite_entries_entry-839.0_vitellius-fix.txt","Zachariah Pasfeild","char-offset:1046","PERSON","","","","","","","","Agent","","",""
"bf7a2f2d-fb94-4f7f-93cd-0754e1087f6d","Tite_entries_entry-839.0_vitellius-fix.txt","29.17","char-offset:1066","","","","","","","","","List Reference","","",""
"2c8b7b67-2eb8-40df-8895-a0b3417e2ff6","Tite_entries_entry-839.0_vitellius-fix.txt","James Ussher","char-offset:1074","PERSON","","","","","","","","","","",""
"17daf42a-24b3-420c-8dc6-74279d3a507b","Tite_entries_entry-839.0_vitellius-fix.txt","James Ussher, c.1610-12 (41.6)","char-offset:1074","","","","","","","","","Loan","","",""
"c56b320f-14d0-4d92-b54c-ef0e3ed81212","Tite_entries_entry-839.0_vitellius-fix.txt","c.1610-12","char-offset:1089","","","","","","","","","Date","","",""
"e29d0287-4aa1-4a47-9bb6-03d6dc17064f","Tite_entries_entry-839.0_vitellius-fix.txt","41.6","char-offset:1100","","","","","","","","","List Reference","","",""
"62ec0f33-aace-44e0-9606-65f40b9e56f1","Tite_entries_entry-839.0_vitellius-fix.txt","John Selden","char-offset:1107","PERSON","","","","","","","","","","",""
"137389be-34c0-4431-996a-b74466588940","Tite_entries_entry-839.0_vitellius-fix.txt","John Selden, 1641 (223.2: ?   this or ? Vit. FXII).","char-offset:1107","","","","","","","","","Loan","","",""
"53f73b69-50d6-471c-8fac-d5ceca3320e4","Tite_entries_entry-839.0_vitellius-fix.txt","1641","char-offset:1120","","","","","","","","","Date","","",""
