"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"68db474d-0f1e-47c7-ae6f-5ddd9ea154af","Tite_entries_entry-1258.0_cleopatra-cii.txt","John  Lambe, ? by 1612 (26.2: this, Otho A.XVII,             Vesp. A.XXIV,   Cleo. C.I or  Faust. B.III)","char-offset:225","","","","","","","","","Loan","","",""
"02866d2c-961b-46e5-a4a3-497fc590ccde","Tite_entries_entry-1258.0_cleopatra-cii.txt","John  Lambe","char-offset:225","PERSON","","","","","","","","","","",""
"9c14e899-9ad0-4f9e-ba78-150ea350d70d","Tite_entries_entry-1258.0_cleopatra-cii.txt","? by 1612 (","char-offset:238","","","","","","","","","Date","","",""
"27de4623-de67-411c-bfdf-24bbebaa9cc4","Tite_entries_entry-1258.0_cleopatra-cii.txt","26.2","char-offset:249","","","","","","","","","List Reference","","",""
"7e4719ef-f204-4e54-9fb7-e1e02a6c8096","Tite_entries_entry-1258.0_cleopatra-cii.txt","this, Otho A.XVII,             Vesp. A.XXIV,   Cleo. C.I or  Faust. B.III","char-offset:255","","","","","","","","","Uncertain Book","","",""
"721d2c3d-eab2-4853-949d-056370f69b55","Tite_entries_entry-1258.0_cleopatra-cii.txt","Godfrey             Wildbore,  1638 (172.1: this or Cleo. C.I)","char-offset:331","","","","","","","","","Loan","","",""
"9e525d24-61b4-47ad-ab11-3b4f1b006f78","Tite_entries_entry-1258.0_cleopatra-cii.txt","Godfrey             Wildbore","char-offset:331","PERSON","","","","","","","","","","",""
"ed17fe33-dc00-42ba-a16d-4e7194251a88","Tite_entries_entry-1258.0_cleopatra-cii.txt","1638","char-offset:362","","","","","","","","","Date","","",""
"ea47bb03-461a-403c-9df5-5d501acf6b3a","Tite_entries_entry-1258.0_cleopatra-cii.txt","172.1","char-offset:368","","","","","","","","","List Reference","","",""
"ab678f47-27a1-4239-ab20-ee83fdac6f96","Tite_entries_entry-1258.0_cleopatra-cii.txt","this or Cleo. C.I","char-offset:375","","","","","","","","","Uncertain Book","","",""
"e247ae06-cd5e-4f5f-976c-c4d79a4640ab","Tite_entries_entry-1258.0_cleopatra-cii.txt","Wildbore","char-offset:395","","","","","","","","","","Godfrey Wildbore","",""
"ecbbdc9c-4eec-4d5b-bb71-73d466cea662","Tite_entries_entry-1258.0_cleopatra-cii.txt","Wildbore,             1656 or 1657 (232.2).","char-offset:395","","","","","","","","","Loan","","",""
"6510f4be-2428-4146-8c0c-10a97f191fec","Tite_entries_entry-1258.0_cleopatra-cii.txt","1656 or 1657","char-offset:417","","","","","","","","","Date","","",""
"0ba5220f-8d8a-4afd-ad66-3dbb841cb569","Tite_entries_entry-1258.0_cleopatra-cii.txt","232.2","char-offset:431","","","","","","","","","List Reference","","",""
"071beccb-860a-4d98-a2fa-673dad21e410","Tite_entries_entry-1259.0_cleopatra-ciii.txt","Augustine  Vincent, 1611 + (66.1: ? this)","char-offset:675","","","","","","","","","Loan|Uncertain Book","","",""
"e6623d2a-619f-4733-a7b0-7c7f871d75cb","Tite_entries_entry-1259.0_cleopatra-ciii.txt","Augustine  Vincent","char-offset:675","PERSON","","","","","","","","","","",""
"9b67d940-5892-4dc0-9a3e-251a41cc3495","Tite_entries_entry-1259.0_cleopatra-ciii.txt","1611 +","char-offset:695","","","","","","","","","Date","","",""
"7f970d7d-2db9-4b13-b2dc-c62660f6aadb","Tite_entries_entry-1259.0_cleopatra-ciii.txt","66.1","char-offset:703","","","","","","","","","List Reference","","",""
"3d72bd15-4922-4a5b-9dc3-ebf56af13b8f","Tite_entries_entry-1259.0_cleopatra-ciii.txt","(? of at              least fols 341-75v, 384-85y, parts of art. 6) Vincent (Jul.              C.III, fol. 379; see also Jul. C.III, fol. 227).","char-offset:718","","","","","","","","","Loan","","",""
"4e5c065c-7e63-4834-bbfb-2b61355ae720","Tite_entries_entry-1259.0_cleopatra-ciii.txt","? of at              least fols 341-75v, 384-85y, parts of art. 6","char-offset:719","","","","","","","","","Partial","","",""
"822778a0-2754-4719-959e-ce28112c7e6d","Tite_entries_entry-1259.0_cleopatra-ciii.txt","Vincent","char-offset:786","PERSON","","","","","","","","","Augustine Vincent","",""
"b86b0024-d7cc-4c34-80f1-519d634f96ac","Tite_entries_entry-1259.0_cleopatra-ciii.txt","Jul.              C.III, fol. 379; see also Jul. C.III, fol. 227)","char-offset:795","","","","","","","","","List Reference","","",""
"6ce189a1-aa93-4780-b07f-d96f34c3211c","Tite_entries_entry-1255.0_cleopatra-ci.txt","John  Lambe","char-offset:368","PERSON","","","","","","","","","","",""
"6b0cb1f3-fa89-427b-9cfa-6f10fea34d08","Tite_entries_entry-1255.0_cleopatra-ci.txt","John  Lambe, ? by 1612 (26.2: this, Otho A-XVII,        Vesp.  A.XXIV,  Cleo. C.Il or Faust. B.III)","char-offset:368","","","","","","","","","Loan","","",""
"aa4164ec-89a4-4085-9f95-4bbd258fb30b","Tite_entries_entry-1255.0_cleopatra-ci.txt","? by 1612","char-offset:381","","","","","","","","","Date","","",""
"c110ae16-9bf0-480b-b321-180dcb0dbac6","Tite_entries_entry-1255.0_cleopatra-ci.txt","26.2","char-offset:392","","","","","","","","","List Reference","","",""
"7cbc7a42-c207-4bda-a60c-4ee7be4963ed","Tite_entries_entry-1255.0_cleopatra-ci.txt","this, Otho A-XVII,        Vesp.  A.XXIV,  Cleo. C.Il or Faust. B.III","char-offset:398","","","","","","","","","Uncertain Book","","",""
"daff8011-7293-4bf9-b43d-d461558a1e4b","Tite_entries_entry-1255.0_cleopatra-ci.txt","Godfrey        Wildbore","char-offset:469","PERSON","","","","","","","","","","",""
"6c5087c2-09e7-409a-89ad-d7bd8ac0a72a","Tite_entries_entry-1255.0_cleopatra-ci.txt","Godfrey        Wildbore,  1638 (172.1: this or Cleo. C.I1)","char-offset:469","","","","","","","","","Loan","","",""
"11895ca9-4f5c-4bea-b5e9-5cab7ac5b40e","Tite_entries_entry-1255.0_cleopatra-ci.txt","1638","char-offset:495","","","","","","","","","Date","","",""
"977ce9bd-901f-4285-ae72-8b4f4395cf68","Tite_entries_entry-1255.0_cleopatra-ci.txt","172.1","char-offset:501","","","","","","","","","List Reference","","",""
"a37183d6-def7-433d-8b51-d673a962f037","Tite_entries_entry-1255.0_cleopatra-ci.txt","this or Cleo. C.I1","char-offset:508","","","","","","","","","Uncertain Book","","",""
"5886fa9c-d6cf-41f7-b273-5e7eeb914806","Tite_entries_entry-1255.0_cleopatra-ci.txt","Wildbore","char-offset:529","PERSON","","","","","","","","","Godfrey Wildbore","",""
"6f4c1a3c-3f66-4d17-bb27-32cae4663a90","Tite_entries_entry-1255.0_cleopatra-ci.txt","Wildbore,         1656 or 1657 (232.1).","char-offset:529","","","","","","","","","Loan","","",""
"b7550c55-fae4-4324-bb9d-d3792e851898","Tite_entries_entry-1255.0_cleopatra-ci.txt","1656 or 1657","char-offset:547","","","","","","","","","Date","","",""
"590c1da6-e17c-47df-b04e-f0ae9ec3350a","Tite_entries_entry-1255.0_cleopatra-ci.txt","232.1","char-offset:561","","","","","","","","","List Reference","","",""
"d699c530-8d73-4b32-ace1-c3e359ab7a7a","Tite_entries_entry-1270.0_cleopatra-cx.txt","(of fols 71-100, art. 4, of this or Tib. A.V) Thomas        Brudenell, 1627 (Vesp. F.XTII, no. 329)","char-offset:943","","","","","","","","","Loan","","",""
"af7ce595-fe88-4704-ac38-00b299b77051","Tite_entries_entry-1270.0_cleopatra-cx.txt","of fols 71-100, art. 4, of this or Tib. A.V","char-offset:944","","","","","","","","","Partial|Uncertain Book","","",""
"8786db01-4100-4680-8fd7-6f50bb831a2f","Tite_entries_entry-1270.0_cleopatra-cx.txt","Thomas        Brudenell","char-offset:989","PERSON","","","","","","","","","","",""
"3f3cc982-d7d3-4e30-bf16-55e900494e11","Tite_entries_entry-1270.0_cleopatra-cx.txt","1627","char-offset:1014","","","","","","","","","Date","","",""
"43f569e3-8bcb-40b3-8e27-af7c078a9e9d","Tite_entries_entry-1270.0_cleopatra-cx.txt","Vesp. F.XTII, no. 329","char-offset:1020","","","","","","","","","List Reference","","",""
"320fe773-7d2a-4683-a1db-ca5719868668","Tite_entries_entry-1270.0_cleopatra-cx.txt","John Selden,        1640  (208.3: this or Vesp. D.X).","char-offset:1044","","","","","","","","","Loan","","",""
"3be0d759-b909-4292-834e-55f9745b4213","Tite_entries_entry-1270.0_cleopatra-cx.txt","John Selden","char-offset:1044","PERSON","","","","","","","","","","",""
"ade3847c-05a4-4c50-a18c-8e69639aa4de","Tite_entries_entry-1270.0_cleopatra-cx.txt","1640","char-offset:1064","","","","","","","","","Date","","",""
"64213e41-532a-4f1c-85a0-3b10d5e638c3","Tite_entries_entry-1270.0_cleopatra-cx.txt","208.3","char-offset:1071","","","","","","","","","List Reference","","",""
"efd10ba1-e944-496d-83a1-d210bf56ed59","Tite_entries_entry-1270.0_cleopatra-cx.txt","this or Vesp. D.X","char-offset:1078","","","","","","","","","Uncertain Book","","",""
"4ae1c489-f7ed-4d27-a11e-5fe2e35fe326","Tite_entries_entry-1265.0_cleopatra-cvii.txt","Arthur Agarde","char-offset:175","PERSON","","","","","","","","","","",""
"90c0edac-7f2f-4c7c-98d1-d15ebb23b22d","Tite_entries_entry-1265.0_cleopatra-cvii.txt","Arthur Agarde,  1612-15  (18.14, 71.26);","char-offset:175","","","","","","","","","Loan","","",""
"caef0559-8f9f-446d-b256-282f4272785c","Tite_entries_entry-1265.0_cleopatra-cvii.txt","1612-15","char-offset:191","","","","","","","","","Date","","",""
"ae7f549d-33bc-40a1-bd3d-73681da1bfe4","Tite_entries_entry-1265.0_cleopatra-cvii.txt","18.14, 71.26","char-offset:201","","","","","","","","","List Reference","","",""
"e5f127ad-18f4-4f07-9434-a2652ba04c3c","Tite_entries_entry-1265.0_cleopatra-cvii.txt","St Lo                  Kniveton","char-offset:216","PERSON","","","","","","","","","","",""
"f429f625-e1e2-45e7-942b-32f5c33695d8","Tite_entries_entry-1265.0_cleopatra-cvii.txt","St Lo                  Kniveton,  1615-16, by 1617 (45.15, 111.37)","char-offset:216","","","","","","","","","Loan","","",""
"ca41ce99-67ec-4445-8bf1-ef339d19f974","Tite_entries_entry-1265.0_cleopatra-cvii.txt","1615-16, by 1617","char-offset:250","","","","","","","","","Date","","",""
"0dec9366-9031-4d69-859c-ffbe20341f8f","Tite_entries_entry-1265.0_cleopatra-cvii.txt","45.15, 111.37","char-offset:268","","","","","","","","","List Reference","","",""
"07263d85-2b54-4577-b5b3-78d19b2a4745","Tite_entries_entry-1265.0_cleopatra-cvii.txt","Edward                  Co<  >","char-offset:284","PERSON","","","","","","","","","","",""
"d4dbe62a-1a7d-4761-9029-cdc8a4a39c41","Tite_entries_entry-1265.0_cleopatra-cvii.txt","Edward                  Co<  >, 1638  (174.1)","char-offset:284","","","","","","","","","Loan","","",""
"20bf1eca-7afd-4a19-a21e-50ebe12fd8c2","Tite_entries_entry-1265.0_cleopatra-cvii.txt","1638","char-offset:316","","","","","","","","","Date","","",""
"0bd91e84-a575-4217-8471-5f85f3e623ea","Tite_entries_entry-1265.0_cleopatra-cvii.txt","174.1","char-offset:323","","","","","","","","","List Reference","","",""
