"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"6c0cc3f1-2818-4e81-a2fc-32886bdb16f8","Tite_entries_entry-964.0_vespasian-dx.txt","Arthur Agarde, 1612-15 (71.24): annotations on                fols 1, 5v, 8v, 35, 49 may be by him","char-offset:189","","","","","","","","","Loan","","",""
"9662d932-58e8-4a1d-8175-126f9c574ee1","Tite_entries_entry-964.0_vespasian-dx.txt","Arthur Agarde","char-offset:189","PERSON","","","","","","","","","","",""
"1c6c7bbd-9420-4446-b84d-1cb2146f17f3","Tite_entries_entry-964.0_vespasian-dx.txt","1612-15","char-offset:204","","","","","","","","","Date","","",""
"8f71a44f-216f-44a1-88d9-04153e6f8394","Tite_entries_entry-964.0_vespasian-dx.txt","71.24","char-offset:213","","","","","","","","","List Reference","","",""
"7ad2eeff-1e8c-4cae-8ebe-fc863de0ea2e","Tite_entries_entry-964.0_vespasian-dx.txt","John Selden, 1640                (208.3: this or Cleo. C.X).","char-offset:289","","","","","","","","","Loan","","",""
"29a034fb-4235-41b5-b5a9-5e47ce78bc47","Tite_entries_entry-964.0_vespasian-dx.txt","John Selden","char-offset:289","PERSON","","","","","","","","","","",""
"f84ca35b-4a0f-47e3-a625-00914f48fa5c","Tite_entries_entry-964.0_vespasian-dx.txt","1640","char-offset:302","","","","","","","","","Date","","",""
"bfb22d89-a0e0-4958-9f6d-ec330b94465a","Tite_entries_entry-964.0_vespasian-dx.txt","208.3","char-offset:323","","","","","","","","","List Reference","","",""
"98fc833e-3e53-460c-a468-c3bb38a3ed1b","Tite_entries_entry-964.0_vespasian-dx.txt","this or Cleo. C.X","char-offset:330","","","","","","","","","Uncertain Book","","",""
"a3583e8f-1d93-4ec1-8738-697932104335","Tite_entries_entry-974.0_vespasian-dxviii.txt","of at least fols 2-81, art. 1, of this, or of Tit. B.I1)        Sir William Howard, 1638 (123.2, 125.2, 175.2).","char-offset:317","","","","","","","","","Loan","","",""
"53f9c6fc-9af4-4f97-9a41-5851fe2547d1","Tite_entries_entry-974.0_vespasian-dxviii.txt","of at least fols 2-81, art. 1, of this, or of Tit. B.I1","char-offset:317","","","","","","","","","Partial|Uncertain Book","","",""
"9c97fdc2-854e-4a3f-bbea-9c0dea769e1a","Tite_entries_entry-974.0_vespasian-dxviii.txt","Sir William Howard","char-offset:381","PERSON","","","","","","","","","","",""
"5c4f8e0c-4e6d-4d68-8a1a-4b97f3a1a58a","Tite_entries_entry-974.0_vespasian-dxviii.txt","1638","char-offset:401","","","","","","","","","Date","","",""
