ID|Name|Location|Repository
AbeSeis2|Aberdeen City Archives: Minute Book of Seisins ii|Aberdeen|Aberdeen City Archives
AbeSeis3|Aberdeen City Archives: Minute Book of Seisins iii|Aberdeen|Aberdeen City Archives
AbeSas1|Aberdeen Town House: City Charter Room Sasine Register, 1.774|Aberdeen|Aberdeen Town House
AbeUL21|Aberdeen University Library: 21|Aberdeen|Aberdeen University Library
AbeUL123|Aberdeen University Library: 123|Aberdeen|Aberdeen University Library
AbeUL154|Aberdeen University Library: 154|Aberdeen|Aberdeen University Library
AbeUL223|Aberdeen University Library: 223|Aberdeen|Aberdeen University Library
AbeUL258|Aberdeen University Library: 258|Aberdeen|Aberdeen University Library
BristolAS2|All Saints Church, Bristol: MS 2|Bristol|All Saints Church, Bristol
OxfAllS17|All Souls College: 17|Oxford|All Souls College
OxfAllS33|All Souls College: 33|Oxford|All Souls College
OxfAllS39|All Souls College: 39|Oxford|All Souls College
OxfAllS103|All Souls College: 103|Oxford|All Souls College
OxfAllS121|All Souls College: 121|Oxford|All Souls College
ArmaghReg|Armagh Diocesan Registry: Bishop John Swayne’s Register|Armagh|Armagh Diocesan Registry
BristolAvon|Avon County Library: MS 10|Bristol|Avon County Library
OxfBal8|Balliol College: 8|Oxford|Balliol College
OxfBal149|Balliol College: 149|Oxford|Balliol College
OxfBal189|Balliol College: 189|Oxford|Balliol College
OxfBal219|Balliol College: 219|Oxford|Balliol College
OxfBal220|Balliol College: 220|Oxford|Balliol College
OxfBal227|Balliol College: 227|Oxford|Balliol College
OxfBal228|Balliol College: 228|Oxford|Balliol College
OxfBal230|Balliol College: 230|Oxford|Balliol College
OxfBal238|Balliol College: 238|Oxford|Balliol College
OxfBal239|Balliol College: 239|Oxford|Balliol College
OxfBal316A|Balliol College: 316A|Oxford|Balliol College
OxfBal316B|Balliol College: 316B|Oxford|Balliol College
OxfBal329|Balliol College: 329|Oxford|Balliol College
OxfBal353|Balliol College: 353|Oxford|Balliol College
OxfBal354|Balliol College: 354|Oxford|Balliol College
OxBal695h6|Balliol College: 695 h 6 (printed) [formerly 575.g.6]|Oxford|Balliol College
Basel|Basel University Library: B.VIII.4|Basel|Basel University Library
Beaumont9|Beaumont College: 9|Windsor|Beaumont College
NapXIIIB29|Bibl. Nazionale, Naples: XIII.B.29|Naples|Bibl. Nazionale, Naples
Grenoble873|Bibl. municipale, Grenoble: 873|Grenoble|Bibl. municipale, Grenoble
