Id	Label	Location	Repository	Type
AbeSeis2	Aberdeen City Archives: Minute Book of Seisins ii	Aberdeen	Aberdeen City Archives	MS
AbeSeis3	Aberdeen City Archives: Minute Book of Seisins iii	Aberdeen	Aberdeen City Archives	MS
AbeSas1	Aberdeen Town House: City Charter Room Sasine Register, 1.774	Aberdeen	Aberdeen Town House	MS
AbeUL21	Aberdeen University Library: 21	Aberdeen	Aberdeen University Library	MS
AbeUL123	Aberdeen University Library: 123	Aberdeen	Aberdeen University Library	MS
AbeUL154	Aberdeen University Library: 154	Aberdeen	Aberdeen University Library	MS
AbeUL223	Aberdeen University Library: 223	Aberdeen	Aberdeen University Library	MS
AbeUL258	Aberdeen University Library: 258	Aberdeen	Aberdeen University Library	MS
BristolAS2	All Saints Church, Bristol: MS 2	Bristol	All Saints Church, Bristol	MS
OxfAllS17	All Souls College: 17	Oxford	All Souls College	MS
OxfAllS33	All Souls College: 33	Oxford	All Souls College	MS
OxfAllS39	All Souls College: 39	Oxford	All Souls College	MS
OxfAllS103	All Souls College: 103	Oxford	All Souls College	MS
OxfAllS121	All Souls College: 121	Oxford	All Souls College	MS
ArmaghReg	Armagh Diocesan Registry: Bishop John Swayne’s Register	Armagh	Armagh Diocesan Registry	MS
BristolAvon	Avon County Library: MS 10	Bristol	Avon County Library	MS
OxfBal8	Balliol College: 8	Oxford	Balliol College	MS
OxfBal149	Balliol College: 149	Oxford	Balliol College	MS
OxfBal189	Balliol College: 189	Oxford	Balliol College	MS
OxfBal219	Balliol College: 219	Oxford	Balliol College	MS
OxfBal220	Balliol College: 220	Oxford	Balliol College	MS
OxfBal227	Balliol College: 227	Oxford	Balliol College	MS
OxfBal228	Balliol College: 228	Oxford	Balliol College	MS
OxfBal230	Balliol College: 230	Oxford	Balliol College	MS
OxfBal238	Balliol College: 238	Oxford	Balliol College	MS
OxfBal239	Balliol College: 239	Oxford	Balliol College	MS
OxfBal316A	Balliol College: 316A	Oxford	Balliol College	MS
OxfBal316B	Balliol College: 316B	Oxford	Balliol College	MS
OxfBal329	Balliol College: 329	Oxford	Balliol College	MS
OxfBal353	Balliol College: 353	Oxford	Balliol College	MS
OxfBal354	Balliol College: 354	Oxford	Balliol College	MS
OxBal695h6	Balliol College: 695 h 6 (printed) [formerly 575.g.6]	Oxford	Balliol College	MS
Basel	Basel University Library: B.VIII.4	Basel	Basel University Library	MS
Beaumont9	Beaumont College: 9	Windsor	Beaumont College	MS
NapXIIIB29	Bibl. Nazionale, Naples: XIII.B.29	Naples	Bibl. Nazionale, Naples	MS
Grenoble873	Bibl. municipale, Grenoble: 873	Grenoble	Bibl. municipale, Grenoble	MS
Vercelli	Biblioteca Capitolare: MS CCXXV	Vercelli	Biblioteca Capitolare	MS
Mazar469	Bibliothèque Mazarine: 469	Paris	Bibliothèque Mazarine	MS
Mazar514	Bibliothèque Mazarine: 514	Paris	Bibliothèque Mazarine	MS
Mazar1716	Bibliothèque Mazarine: 1716	Paris	Bibliothèque Mazarine	MS
BNangl39	Bibliothèque Nationale: angl. 39	Paris	Bibliothèque Nationale	MS
BNangl41	Bibliothèque Nationale: angl. 41	Paris	Bibliothèque Nationale	MS
BNfr1830	Bibliothèque Nationale: fr. 1830	Paris	Bibliothèque Nationale	MS
BNfr7011	Bibliothèque Nationale: fr. 7011	Paris	Bibliothèque Nationale	MS
BNfr12154	Bibliothèque Nationale: fr. 12154	Paris	Bibliothèque Nationale	MS
BNfr13342	Bibliothèque Nationale: fr. 13342	Paris	Bibliothèque Nationale	MS
BNfr25458	Bibliothèque Nationale: fr. 25458	Paris	Bibliothèque Nationale	MS
BNlat3638	Bibliothèque Nationale: lat. 3638	Paris	Bibliothèque Nationale	MS
BNnalat693	Bibliothèque Nationale: n.a. lat. 693	Paris	Bibliothèque Nationale	MS
BrusselsIV231	Bibliothèque Royale, Belgium: IV.231 [Horae Sarum]	Brussels	Bibliothèque Royale, Belgium	MS
Brussels2054	Bibliothèque Royale, Belgium: 2054	Brussels	Bibliothèque Royale, Belgium	MS
Brussels4628	Bibliothèque Royale, Belgium: 7396 (Van den Gheyn Cat. 4628)	Brussels	Bibliothèque Royale, Belgium	MS
SteGene3390	Bibliothèque Ste Geneviève: 3390	Paris	Bibliothèque Ste Geneviève	MS
ArrBM184	Bibliothèque municipale, Arras: 184 (254)	Arras	Bibliothèque municipale, Arras	MS
Blackburn	Blackburn, Museum and Art Gallery: MS 091.21040 [olim Petworth 3]	Blackburn	Blackburn, Museum and Art Gallery	MS
Bod80G40Med	Bodleian Library: 80.G.40.Med [now with Eng. poet. e.94]	Oxford	Bodleian Library	MS
BodAddA11	Bodleian Library: Addit. A.11 (SC 28746)	Oxford	Bodleian Library	MS
BodAddA60	Bodleian Library: Addit. A.60 (SC 30161)	Oxford	Bodleian Library	MS
BodAddA106	Bodleian Library: Addit. A.106 (SC 29003)	Oxford	Bodleian Library	MS
BodAddA268	Bodleian Library: Addit. A.268 (SC 29387)	Oxford	Bodleian Library	MS
BodAddA369	Bodleian Library: Addit. A.369 (SC 29620) [olim Colchester]	Oxford	Bodleian Library	MS
BodAddB60	Bodleian Library: Addit. B.60 (SC 29179)	Oxford	Bodleian Library	MS
BodAddB66	Bodleian Library: Addit. B.66 (SC 29273)	Oxford	Bodleian Library	MS
BodAddB107	Bodleian Library: Addit. B.107 (SC 29560)	Oxford	Bodleian Library	MS
BodAddC38	Bodleian Library: Addit. C.38 (SC 30236)	Oxford	Bodleian Library	MS
BodAddC220	Bodleian Library: Addit. C.220 (SC 29430)	Oxford	Bodleian Library	MS
BodAddC280	Bodleian Library: Addit. C.280 (SC 29572)	Oxford	Bodleian Library	MS
BodAddC287	Bodleian Library: Addit. C.287 (SC 29640)	Oxford	Bodleian Library	MS
BodAddE4	Bodleian Library: Addit. E.4 (SC 29110)	Oxford	Bodleian Library	MS
BodAddE6	Bodleian Library: Addit. E.6 (SC 30314)	Oxford	Bodleian Library	MS
BodAddE7	Bodleian Library: Addit. E.7 (SC 29284)	Oxford	Bodleian Library	MS
BodArchDd1	Bodleian Library: Arch. Dd.1 (SC 31502) [photographic facsimile (1893) of ]	Oxford	Bodleian Library	MS
BodArchGe35	Bodleian Library: Arch. G.e 35	Oxford	Bodleian Library	MS
BodArchGg39	Bodleian Library: Arch. Gg.39 [Gough Missale 173]	Oxford	Bodleian Library	MS
BodArcSelB8	Bodleian Library: Arch. Selden B. 8 (SC 3338)	Oxford	Bodleian Library	MS
BodArcSelB10	Bodleian Library: Arch. Selden B. 10 (SC 3356)	Oxford	Bodleian Library	MS
BodArcSelB11	Bodleian Library: Arch. Selden B. 11 (SC 3357)	Oxford	Bodleian Library	MS
BodArcSelB14	Bodleian Library: Arch. Selden B. 14 (SC 3360)	Oxford	Bodleian Library	MS
BodArcSelB24	Bodleian Library: Arch. Selden B. 24 (SC 3354)	Oxford	Bodleian Library	MS
BodArcSelB26	Bodleian Library: Arch. Selden B. 26 (SC 3340)	Oxford	Bodleian Library	MS
BodArcSelC813	Bodleian Library: Arch. Selden C. 813	Oxford	Bodleian Library	MS
BodSelSup23	Bodleian Library: Selden Supra 23 (SC 3411)	Oxford	Bodleian Library	MS
BodSelSup52	Bodleian Library: Selden Supra 52 (SC 3440)	Oxford	Bodleian Library	MS
BodSelSup53	Bodleian Library: Selden Supra 53 (SC 3441)	Oxford	Bodleian Library	MS
BodSelSup56	Bodleian Library: Selden Supra 56 (SC 3444)	Oxford	Bodleian Library	MS
BodSelSup73	Bodleian Library: Selden Supra 73 (SC 3461)	Oxford	Bodleian Library	MS
BodSelSup74	Bodleian Library: Selden Supra 74 (SC 3462)	Oxford	Bodleian Library	MS
BodArcSelSup90	Bodleian Library: Selden Supra 90 (SC 3478)	Oxford	Bodleian Library	MS
BodSelSup102	Bodleian Library: Selden Supra 102 (SC 3490b) [Ker Pastedowns 1744, Lewis & McIntosh MV84]	Oxford	Bodleian Library	MS
BodAsh8	Bodleian Library: Ashmole 8 (SC 8465A)	Oxford	Bodleian Library	MS
BodAsh33	Bodleian Library: Ashmole 33 (SC 25166)	Oxford	Bodleian Library	MS
BodAsh34	Bodleian Library: Ashmole 34 (SC 6915)	Oxford	Bodleian Library	MS
BodAsh35	Bodleian Library: Ashmole 35 (SC 6916)	Oxford	Bodleian Library	MS
BodAsh39	Bodleian Library: Ashmole 39 (SC 6919)	Oxford	Bodleian Library	MS
BodAsh40	Bodleian Library: Ashmole 40 (SC 6920)	Oxford	Bodleian Library	MS
BodAsh41	Bodleian Library: Ashmole 41 (SC 6921)	Oxford	Bodleian Library	MS
BodAsh42	Bodleian Library: Ashmole 42 (SC 6923)	Oxford	Bodleian Library	MS
BodAsh43	Bodleian Library: Ashmole 43 (SC 6924)	Oxford	Bodleian Library	MS
BodAsh44	Bodleian Library: Ashmole 44 (SC 6925)	Oxford	Bodleian Library	MS
BodAsh45I	Bodleian Library: Ashmole 45, Part I (SC 6926)	Oxford	Bodleian Library	MS
BodAsh45II	Bodleian Library: Ashmole 45, Part II (SC 6927)	Oxford	Bodleian Library	MS
BodAsh45III	Bodleian Library: Ashmole 45, Part III (SC 6928)	Oxford	Bodleian Library	MS
BodAsh46	Bodleian Library: Ashmole 46 (SC 6930)	Oxford	Bodleian Library	MS
BodAsh48	Bodleian Library: Ashmole 48 (SC 6933)	Oxford	Bodleian Library	MS
BodAsh50	Bodleian Library: Ashmole 50 (SC 6935)	Oxford	Bodleian Library	MS
BodAsh52	Bodleian Library: Ashmole 52 (SC 6936)	Oxford	Bodleian Library	MS
BodAsh53	Bodleian Library: Ashmole 53 (SC 6937)	Oxford	Bodleian Library	MS
BodAsh57	Bodleian Library: Ashmole 57 (SC 6938)	Oxford	Bodleian Library	MS
BodAsh59	Bodleian Library: Ashmole 59 (SC 6943)	Oxford	Bodleian Library	MS
BodAsh60	Bodleian Library: Ashmole 60 (SC 6922)	Oxford	Bodleian Library	MS
BodAsh61	Bodleian Library: Ashmole 61 (SC 6922*)	Oxford	Bodleian Library	MS
BodAsh176	Bodleian Library: Ashmole 176 (SC 6659)	Oxford	Bodleian Library	MS
BodAsh189	Bodleian Library: Ashmole 189 (SC 6777)	Oxford	Bodleian Library	MS
BodAsh191	Bodleian Library: Ashmole 191 (SC 6667)	Oxford	Bodleian Library	MS
BodAsh191IV	Bodleian Library: Ashmole 191, Part IV (SC 6668)	Oxford	Bodleian Library	MS
BodAsh210	Bodleian Library: Ashmole 210 (SC 6795)	Oxford	Bodleian Library	MS
BodAsh241	Bodleian Library: Ashmole 241	Oxford	Bodleian Library	MS
BodAsh337	Bodleian Library: Ashmole 337 (SC 6683)	Oxford	Bodleian Library	MS
BodAsh343IX	Bodleian Library: Ashmole 343, Part IX (SC 6795)	Oxford	Bodleian Library	MS
BodAsh349I	Bodleian Library: Ashmole 349, Part I (SC 6704)	Oxford	Bodleian Library	MS
