Id	Label	Note	Subjects	Versification	_description	Macaronic	Author(s)	Author confidence	Title(s)	Bibliographic Ghosts	Type
DIMEV 1	A a my heart I know you well	"Cf. 123; Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 78."	penance; songs, spiritual	— eight-line	A song of penitence — one 8-line stanza						Text
DIMEV 2	A a petipas / Yet I am / There I was	"Cf. Opie and Opie (1951)
XIona Archibald Opie, and Peter Opie. The Oxford Dictionary of Nursery Rhymes. Oxford: Clarendon, 1951, no. 26; also Langbaine (1691)
XLangbaine, Gerald. “Adversaria” An Account of the English Dramatick Poets. London, 1691. re: Bodl. 8617 (apparently in Wood) [0.3]; may have something to do with children’s rhymes, 384."	games; children’s rhymes; sermons, verse in	— three-line — aba	Children’s rhyme used in game: How many miles to Beverley — three short lines						Text
DIMEV 3	A babe is born all of a may / In the salvation of us	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 1628; for a variant, see 5565."	Epiphany, carols for; carols	— four-line — abab	An Epiphany carol — five quatrains with Latin caudae	Latin					Text
DIMEV 4	A babe is born of high nature / The Prince of peace	"Cf. Copley (1959)
XCopley, J. “A Popular Fifteenth-century Carol.” Notes and Queries n.s. 6 [204] (1959): 387-9, 387-89."	carols; dialogues; New Year, carols	— seven-line — ababccd	A New Year carol — four 7-line stanzas (ababccd) including 3-line refrain, plus 2-line burden (cd): ‘Qwat tydynges bryngyst þu massager / Of cristys berthe þis ȝolys day’		John Audelay	uncertain			Text
DIMEV 5	A babe is born our bliss to bring	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 1."	dialogues, Virgin and Christ; Virgin Mary	— four-line — aaab	A dialogue between the Virgin Mary and her Child — eleven quatrains (aaab) plus burden (cc): ‘Now synge we with angelis / Gloria in excelsis’	Latin					Text
DIMEV 6	A barge to bearen fro deep grounds		cross	— two-line — aa	‘Crux est’ — four lines						Text
DIMEV 7	A bastard shall come out of the west	"An extract from 620, Thomas of Erceldoune’s Prophecy. See Murray (1875)
XMurray, J. A. H. The Romance and Prophecies of Thomas of Erceldoune
EETS 61 o.s. 61 (1875); repr. 1987."	prophecies, political	— four-line — abab	‘When England shall be Britain’, a political prophecy — one cross-rhymed quatrain						Text
DIMEV 8	A beater beat me of price		nonsense verse	— two-line — aa	Nonsense rhymes — two couplets						Text
DIMEV 9	A bird in cage fast locked with gold		prison/prisoners	— four-line — abab	On desire for liberty — two cross-rhymed quatrains						Text
DIMEV 10	A bishop woned beyond the sea / In Sicily the rich city		legends; Theophilus, saint, legend of; Virgin Mary, miracles of	— two-line — aa	The Legend of Theophilus in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 11	A black monk in an abbey / As fermerer as I heard say		Virgin Mary, miracles of; miracles	— two-line — aa	The monk who returned from death, in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 12	A black monk was Segrestin		miracles; Virgin Mary, miracles of	— two-line — aa	Segrestin, a miracle of the Virgin Mary in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 13	A blessed Jesu how fortuned this	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 79"	Christ; death, approach of	— seven-line — aabbccc	A song of the approach of death — four 7-line stanzas with refrain, ‘Sicut domino placuit ita factum est’						Text
DIMEV 14	A blissful life a peaceable and a sweet	"Cf. Pace (1961)
XPace, George B. “The True Text of ‘The Former Age.’” Mediaeval Studies 23 (1961): 363-7."	Boethius, influence on; Golden Age	— eight-line — ababbcbc	Chaucer, The Former Age [Aetas Prima] — eight 8-line stanzas		Geoffrey Chaucer		The Former Age; Aetas Prima		Text
DIMEV 15	A bobbid a bobbid a biliried		games; children’s rhymes; sermons, verse in		A tag used in game: Blindman’s Buff or Hot Cockles						Text
DIMEV 16	A body tender of complexion		sermons, verse in; crucifixion	— six-line — ababcc	Verses in the Latin sermon ‘Quare rubrum est iudumentum tuum’ — six lines						Text
DIMEV 17	A brief conclusion declare I shall		legends	— four-line — abab	‘Count Ugolino of Pisa’ — 254 lines in quatrains				‘Count Ugolino of Pisa’		Text
DIMEV 18	A broken contrite heart O Lord shalt Thou not dispise		prayers; scripture texts, paraphrases; fragments; repentance	— two-line — ab	Fragmentary beginning of a prayer, paraphrasing scripture						Text
DIMEV 19	A celuy que pluys eyme en mounde	Formerly two separate entries, 16 and 19.	lovers, addresses to beloved; dialogues, lovers’	— six-line — aabccb	De amico ad amicam and Responcio — twenty-one 6-line stanzas, in alternate French, English, and Latin lines	Latin, French					Text
DIMEV 20	A child is born amongst man		carols, Nativity	— four-line, six-line — aaaa, aabaab	A Christmas carol — three stanzas with a 4-line burden: ‘Honnd by honnd we schulle ous take / & joye & blisse schulle we make / For the deuel of ele man haght forsake / & godes sone ys maked our make’						Text
DIMEV 21	A child is born I-wis / That all this world shall bless	For an alternate version, see 4260.	carols, Nativity; Virgin Mary, lullay songs of	— four-line, three-line — aaab, aab	A Christmas carol — six quatrains (aaab) including refrain, ‘for Ihesu ys hys name’, plus burden: ‘Lollay lay lay lay / my dere modyr lullay / Lullay my chyld’						Text
DIMEV 22	A child is born of a maid	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 3."	carols, Nativity	— four-line — abab, aaaa	A Christmas carol by Richard Smert — two quatrains (abab) and four-line burden: ‘Nascitur ex virgine / sine viri semine’ (repeated)		Richard Smert				Text
DIMEV 23	A Christian priest was called Carpus		Carpus, story of; exempla	— two-line — aa	The story of Carpus in the Northern Homily Cycle — in couplets				Northern Homily Cycle		Text
DIMEV 24	A-comen good and windy winter a dry summer	Cf. 3122	prognostications; weather	— two-line — aa	Prognostications based on the dominical letter — in couplets						Text
DIMEV 25	A countenance of travail without resting Custodi solicite		sermons, verse in	— three-line — aaa	Three benefits of a pure soul(?), in a Latin sermon — three monorhyming lines interspersed with Latin warnings						Text
DIMEV 26	A cross was made all of red / In the beginning of my book	"Compare the three lines in Cambridge UK, Trinity College O.3.12 (1184), extra flyleaf. For Prohemium, see 1206; for Envoy, see 6837. Singer (1928)
XSinger, Dorothea Waley. Catalogue of Latin and Vernacular Alchemical Manuscripts. 3 vols. Brussels: Lamertin, 1928-31, 1059."	prologues; Glanville, De Proprietatibus Rerum, prologue to	— four-line — abab	The Translator’s Prologue to Trevisa’s version of Glanville’s De Proprietatibus Rerum — six cross-rhymed quatrains.		John Trevisa		De Proprietatibus Rerum (Glanville)		Text
DIMEV 27	A cruel death contrarious to creatures in kind		elegies; women, praise of	— seven-line — ababbcc	A personal elegy on a young gentlewoman — seven stanzas rhyme royal						Text
DIMEV 28	A Danger here I-cast to thee my glove		love lyrics; tournaments; envoys	— fifteen-line — ababbccddeefgfg	"Love’s Tournament, translated from the French of Charles d’Orléans (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 97) — three 15-line stanzas and 8-line Envoy"		Charles d’Orléans		Love’s Tournament		Text
