Source,Target,Type,Id,Label,Weight,first lines,note,editions,folio,last lines,facsimiles,attributed title,transcription,attributed author
DIMEV 46,BodDig86,Undirected,270970,,1,"A vox gon out of þe wode goAfingret so þat him wes
                    wo…",,"Wright,  Thomas. 
             A selection of Latin stories.
Percy Society
         8. London: Richard, 1842: xvi-xxvi.
Wright,  Thomas,  and  James Orchard Halliwell-Phillipps, eds.  
             Reliquiae Antiquae.
         2 vols. London: Smith, 1845: 2.272-78.
Hazlitt,  William Carew. 
             Remains of the Early Popular Poetry of England.
         London: J. R. Smith, 1864-6: 1.58-67.
Mätzner,  Edouard Adolf Ferdinand. 
             Altenglische Sprachproben, I: Poesie.
         Berlin: Wiedmann, 1867: 1.130.
McKnight,  George Harley. 
             Middle English Humorous Tales in Verse.
         Boston and London: Heath, 1913; repr. New York: Gordian, 1971: 25.
Cook,  Albert Stanburrough. 
             A Literary Middle English Reader.
         Boston and New York: Ginn, 1915: 188-98.
Brandl,  Alois Leonhard. 
             Mittelenglische Sprach- und Literatureproben.
         2nd ed. Berlin, 1917; repr. as  Middle English
                Literature New York: Chelsea, 1949: 114-18.
Dickins,  Bruce,  and  Richard M. Wilson.  
             Early Middle English Texts.
         Cambridge: at the University Press, 1951: 63-70.
Mossé,  Fernand. 
             A Handbook of Middle English.
            Tr. James A. Walker.
         Baltimore: Johns Hopkins, 1952: 178-87 (omits lines 1-70).
Kaiser,  Rolf,
                        ed.  
             Alt- und mittelenglische Anthologie.
         Berlin, 1954; 3rd ed.; trans. as  Medieval English: a
                Old English and Middle English Anthology Berlin West, 1958: 487-8 (208 lines only).
Bennett,  Jack Arthur Walter. 
             Middle English Literature.
Oxford History of English Literature.
         Oxford: Clarendon, 1986; ed. and completed by 
                Douglas
                Gray
            : 67-76.
Sisam,  Celia,  and  Kenneth Sisam, eds.  
             The Oxford Book of Medieval English Verse.
         Oxford: Clarendon, 1970: 24-35.
Owen,  Lewis J.,  and  Nancy H. Owen, eds.  
             Middle English Poetry: An Anthology.
         Indianapolis and NY: Bobbs-Merrill, 1971: 282.
Dunn,  Charles W.,  and  Edward T. Byrnes, eds.  
             Middle English Literature.
         New York, 1973; 2nd ed. New York: Garland, 1990: 167-73.
Weimann,  Klaus. 
             Middle English Animal Literature.
         Exeter, 1975: 32.
Garbáty,  Thomas,
                        ed.  
             Medieval English Literature.
         Lexington, MA, and Toronto: D. C. Heath, 1984. 
Tschann,  Judith A.,
                        ed.  
             “A Critical Edition of Þe Vox and Þe Wolf from MS Digby
                86.” 
         Diss. State University of New York, Stony Brook, 1979 (DAI 40
            (1980).5856A).",ff. 138-140,"…For he ne fond noneskunnes blisseNehof duntes
                    forȝeuenesse","Tschann,  Judith A.,  and  Malcolm B. Parkes.  
             “Introduction.” 
             Facsimile of Oxford, Bodleian Library, MS Digby 86
EETS
         s.s. 16 (1996).",Of þe vox and of þe wolf (f. 138),,
DIMEV 70,BodDig86,Undirected,271053,,1,"A Iesu Crist that ous is boueFor his swete moder
                    loue…",,"Silverstein,  Theodore,
                        ed.  
             Medieval English Lyrics.
         York Medieval Texts. London: Edw. Arnold, 1971: 26.",f. 134v,"…to Wowe God that we moteHounderfongen heueriche
                    bote",,,,
DIMEV 72,Chicago31,Undirected,271055,,1,"A Ihesu yow sched þi blodeFfor dred of pyn þu wyst sold
                    beOf þi body þat is so godeMihty merciful ande
                    fre…",Ends with rubric ‘Amen’ (f. 115v).,"Robbins,  Rossell Hope. 
             “Two Fourteenth-Century Mystical Poems.” 
             Modern Language Review
         35 (1940): 320-9: 323-5.",ff. 112v-115v,"…Ande thynk þou bowght us on þe treSwet ihesu
                    þou swete þi blode",,,,
DIMEV 122,CULGg4272,Undirected,271223,,1,"Merie tale telle ihc þis dayOf seinte Marye þat swete
                    may…",Lines 1-240 only.,"Lumby,  Joseph Rawson,
                        ed.  
             King Horn, Floriz and Blaunchfleur, The Assumption of Our Lady.
            
                G. H.
                McKnight
            
             EETS
         1901, o.s. 14 (1866); repr. 1990: 111-36.
Hackauf,  Emil,
                        ed.  
             Die älteste mittelenglischeVersion der Assumptio Marie.
         Erfurt: Ohlenrothische Buchdrückerei, 1902: (lines 1-250).",pp. 26a-28b,"…Marie ansuerde wiþ milde steu[en]A[ ]sende me al while
                    of ful in [ ]…","Parkes,  Malcolm B.,  and  Richard Beadle.  
             “Introduction.” 
             Poetical Works. Geoffrey Chaucer. A Facsimile of Cambridge University
                Library MS Gg.4.27. 3 vols Cambridge: D. S. Brewer, 1979 (vol. 1); 1980 (vols. 2-3).",,,
DIMEV 173,CamTCC323,Undirected,271431,,1,,,"James,  Montague Rhodes. 
             Catalogue of the
                    Western Manuscripts in the Library of Trinity College, Cambridge.
         4 vols. Cambridge: at the UP, 1900-1904: 1.441.",f. 28,,,,"A þief of is treunesse to widnesse droucrist & seinte marie
                    þat dude muche wouOn fries children beid heo strupte for soitAc
                    euesone a morewen wel lutel þer heo loit",
DIMEV 183,BLHar2253,Undirected,271453,,1,"A wayle whyt ase whalles bonA grein in golde þat godly
                    shon…",Written as prose with virgules marking line breaks.,"Wright,  Thomas,
                        ed.  
             Specimens of Old Christmas Carols, etc.
Percy Society
         4. London: T. Richard, 1841: 38-40.
Böddeker,  Karl. 
             Altenglische Dichtungen des MS. Harl. 2253.
         Berlin: Weidmann, 1878: 161.
Zupitza,  Julius. 
             Alt- und mittelenglisches Uebungsbuch mit einem
                Wörterbuch.
         8th ed. Vienna and Leipzig: Braumüller, 1907; 12th ed., ed. Albert
            Eichler. Wein: Braumüller, 1922: 161-2.
Brook,  George Leslie. 
             The Harley Lyrics.
         Manchester: Manchester UP, 1948; rev. ed. 1956; 3rd ed. 1964: 40-1.
Degginger,  Stuart H. L. 
             “‘A wayle whyt ase whalles bon’-Reconstructed.” 
             Journal of English and Germanic Philology
         53 (1954): 84-90: 84-5 (text), 88-90 (reconstruction).
Kaiser,  Rolf,
                        ed.  
             Alt- und mittelenglische Anthologie.
         Berlin, 1954; 3rd ed.; trans. as  Medieval English: a
                Old English and Middle English Anthology Berlin West, 1958: 472 (reconstructed text).
Davies,  Reginald Thorne. 
             Medieval English Lyrics: a critical anthology.
         London, 1963; Evanston, IL: Northwestern UP, 1964: 80-2.
Bennett,  Jack Arthur Walter,  and  G. V. Smithers, eds.  
             Early Middle English Verse and Prose.
         Oxford: Clarendon, 1966: 117-19.
Sisam,  Celia,  and  Kenneth Sisam, eds.  
             The Oxford Book of Medieval English Verse.
         Oxford: Clarendon, 1970: 117-20.
Luria,  Maxwell Sidney,  and  Richard L. Hoffman, eds.  
             Middle English Lyrics.
         New York: Norton, 1974: 28-30.
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 5, no. 36.",f. 67,…Bituene hire curtel ant hire smokY wolde ben hy,"Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 189,CamTCC323,Undirected,271459,,1,"A vidue pouere was & freo& luttel lond held
                    heo…",,"Person,  Henry Axel. 
             Cambridge Middle English Lyrics.
         Seattle: University of Washington Press, 1953; rev. ed. 1962: 49.",f. 28,"…þe oþer þer fel in parlesieþe þrirde
                    firbraid ful witerlie",,,,
DIMEV 198,CamTCC323,Undirected,271469,,1,"Abel wes looset in treunesseHabraham in
                    bousumnesse…","Preceded by the Latin equivalent. ‘Iam innocenciam abel
                    audiui…’.","Person,  Henry Axel. 
             Cambridge Middle English Lyrics.
         Seattle: University of Washington Press, 1953; rev. ed. 1962: 25.",f. 84,"…dauid þe kinc hede reunesseJob þe gode
                    þolemodnesse",,,,
DIMEV 270,BodLauMis108,Undirected,271590,,1,,,"Robbins,  Rossell Hope,
                        ed.  
             Secular Lyrics of the XIV and XV Centuries.
         2nd ed. Oxford: Clarendon, 1955: 100.
Davies,  Reginald Thorne. 
             Medieval English Lyrics: a critical anthology.
         London, 1963; Evanston, IL: Northwestern UP, 1964: 161.",f. 238v,,,,"[A]llas diceyte þat in truste ys nowe[ ]uble as fortune turnyng
                    as a balle[ ]etylle at assay lyke þe rotyn boweWho trustith to
                    trust is redy for to falle[ ]uche gyle ys in trust all most ouer alle[
                    ]at yn poynte a man no frende fynde shalleÞerfore be ware of trust
                    after my devise[T]rust to þi selfe and lerne to be wyse",
DIMEV 312,BodLauMis108,Undirected,271635,,1,"Alle ben he bliþe Þat come wilen
                    liþe…",1569 lines.,"Hall,  Joseph. 
             King Horn: A Middle-English Romance
         Oxford: Clarendon, 1901: 4-89.
Horstmann,  Carl. 
             “King Horn nach Ms. Laud 108.” 
             Archiv für das Studium der neueren Sprachen und
                Literaturen
         50 (1872): 39-58: 39.",ff. 219va-228rb,…Nou ben he alle dedeGod hem to heuene lede,,,,
