,UUID,FILE,QUOTE_TRANSCRIPTION,start,end,TYPE,TAGS,COMMENTS,Person,AuctionYear,Lot,PersonUUID
1,45740ea1-9b9b-44dd-904d-c92decce4a57,Pforzheimer Part 2_entry-399.0_774.txt,"Mostya (1919, Lot 265)",854,875,EVENT,,,Mostya,1919,265,8571a8f6-e69a-4853-af84-37f208646e13
4,1929fe8e-8387-43de-9723-c6f280282947,Pforzheimer Part 2_entry-399.5_775.txt,"Emmet (1918, Lot 608)",1048,1068,EVENT,,,Emmet,1918,608,7154759a-5087-400b-bbb3-c6c5f670e11d
8,240f07a1-02a6-4d4b-99de-c1815fd9254c,Pforzheimer Part 2_entry-401.0_777.txt,"Forman (I, 1920, Lot  531)",690,715,EVENT,,,Forman,1920,531,ae62d3a5-9401-4a27-a301-775efeb2c2b5
12,ec2dba72-7994-42b2-bad1-a9ca7ea2f4e5,Pforzheimer Part 2_entry-403.0_779.txt,Kemble  (1798),717,730,EVENT,,,Kemble,1798,,023fe879-48cb-4768-96dc-7932330275b5
15,77799202-94a3-49de-907e-4179d2707d78,Pforzheimer Part 2_entry-403.0_779.txt,Devonshire,734,743,PERSON,,,,,,
16,6167344f-49ba-4d4c-9cb7-4a4f5efecb51,Pforzheimer Part 2_entry-403.0_779.txt,"Huntington (VIII, 1918, Lot 363)",746,777,EVENT,,,Huntington,1918,363,3ddee66b-004e-4c19-b4ff-84f78cf70eae
21,94718cfc-e04c-4460-8d34-58d7ad1050fc,Pforzheimer Part 2_entry-392.5_767.txt,"Jones (1923, Lot 44)",1068,1087,EVENT,,,Jones,1923,44,86e9d0d2-8f29-4ea8-b22b-e600d2554156
25,ee016e7e-85f5-446e-accb-ff68deed5ca3,Pforzheimer Part 2_entry-392.5_767.txt,"Clawson (1926, II, Lot 610)",1091,1117,EVENT,,,Clawson,1926,610,c8bb110a-f4ac-4cb6-8c7c-759cc0f0df96
29,1b495085-5881-44b6-98e7-4a00a7acbc63,Pforzheimer Part 2_entry-404.0_780.txt,"R.S.Turner (1888, Lot  3018)",996,1023,EVENT,,,R.S.Turner,1888,3018,95622039-7ce7-44e1-b20e-534fefeba913
32,b2774666-d87d-4521-b235-d43d686c889c,Pforzheimer Part 2_entry-404.0_780.txt,"Charles Butler of Warren Wood (1911, Lot 844)",1027,1071,EVENT,,,Charles Butler of Warren Wood,1911,844,47c93bd9-0266-454e-a6da-2fa646be8c42
36,c4c5f2f7-cbbd-43bc-9e7c-026644731e07,Pforzheimer Part 2_entry-404.0_780.txt,"Steeves (1916, Lot 329)",1074,1096,EVENT,,,Steeves,1916,329,83342dbd-06b5-4301-9e27-53972f81d106
41,ecc24349-ad43-4d42-b198-036989e88281,Pforzheimer Part 2_entry-404.0_780.txt,"G.D.Smith  (1920, Lot 437)",1099,1124,EVENT,,,G.D.Smith,1920,437,b1d14f9a-abc5-49df-ac36-afc5bbd95235
44,b57fb603-5c95-4f3b-a03b-2fe9ed1fe5ec,Pforzheimer Part 2_entry-392.75_768.txt,"Mostyn (1919, Lot 336)",584,605,EVENT,,,Mostyn,1919,336,dc60a478-4800-4a4c-8468-7b54f4c50544
49,211698f9-b100-4a23-af02-9f4e8e84a673,Pforzheimer Part 2_entry-397.0_773.txt,"Heber (IV, 1834, Lot  1865)",935,961,EVENT,,,Heber,1834,1865,70aea66a-259d-4094-824c-c9ac726ae120
53,275c1f80-b17e-40eb-981e-2470ffe13042,Pforzheimer Part 2_entry-397.0_773.txt,"Britwell (1922, Lot 506)",965,988,EVENT,,,Britwell,1922,506,73c17ad2-85b7-4db8-a1ff-8024df0975ce
57,df66402a-96a3-451d-bdf8-4521fddccd4a,Pforzheimer Part 2_entry-393.0_769.txt,"Scott’s  Cat.1804, Lot 550,",1259,1285,EVENT,,?,Scott’s  Cat.,1804,550,e9fb75d2-a16b-4c99-ae9f-21d4945675a4
60,9dd71847-c38d-4602-8adc-5fd2130d45a7,Pforzheimer Part 2_entry-393.0_769.txt,"James Perry who took from it two leaves (A and [D8]) to complete his  Bindley copy (II, 1819, Lot 2018). At Perry's sale (IV, 1823, Lot 303)",1290,1429,EVENT,,,James Perry,1823,303,34f6ff42-9494-45ea-b329-8ad8d7128e04
65,07f6f70b-d07b-4154-a190-2a5e7f7ec9f1,Pforzheimer Part 2_entry-393.0_769.txt,"Jolley  from whom (III, 1844, Lot 1614)",1448,1486,EVENT,,,Jolley,1844,1614,32ec1216-63f2-456b-8244-e9a37fbf845a
68,6ec736f8-297d-462a-8c96-78bd6e258831,Pforzheimer Part 2_entry-393.0_769.txt,it passed to Charles Clark of Totham Hall,1488,1528,EVENT,,,,,,
69,fe5afaa0-3b4e-476e-aaf0-6361b70b8185,Pforzheimer Part 2_entry-393.0_769.txt,Charles Clark of Totham Hall,1501,1528,PERSON,,,,,,
70,94789653-2729-46fd-8dcd-3408b5a995ec,Pforzheimer Part 2_entry-393.0_769.txt,Later it became the property of H.G.Read,1555,1594,EVENT,,,,,,
71,f141d8ee-d289-4428-8acd-c7afee1781be,Pforzheimer Part 2_entry-393.0_769.txt,H.G.Read,1587,1594,PERSON,,,,,,
73,d522c6d7-247d-4191-8967-3add166449ab,Pforzheimer Part 2_entry-393.0_769.txt,"McKee library (IV, r901, Lot 3075, incorrect provenance)",1682,1737,EVENT,,1901?,McKee library,r901,,795fdf86-70e4-496a-b54e-df13736cf177
76,59156046-9194-4a8a-a6ba-45190e7da42f,Pforzheimer Part 2_entry-393.0_769.txt,Sotheby’s (7 December 1904 Lot 583),1761,1795,EVENT,,,Sotheby’s,1904,583,3dd7467a-3ec8-4b9e-bb4c-e59651061302
80,c3d88f6b-76a4-4e0d-96eb-5f7ef0611de2,Pforzheimer Part 2_entry-393.0_769.txt,"G.D.Smith Sale  (J, 1920, Lot 472).",1814,1848,EVENT,,,G.D.Smith,1920,472,fe9f7a57-f427-4959-ac3a-d530e27621d1
83,109cb08b-ceac-4fd8-9cce-1dc111befbec,Pforzheimer Part 2_entry-396.0_772.txt,Bridgewater,830,840,PERSON,,,,,,
84,061f035c-487e-4c25-941c-f5140da737c4,Pforzheimer Part 2_entry-396.0_772.txt,"Huntington (VII, 1918, Lot 639)",843,873,EVENT,,,Huntington,1918,639,d56a1854-95ac-4a38-b037-5f80547e58f0
89,e56a223d-f2b5-438b-b708-d47f65d8df98,Pforzheimer Part 2_entry-394.0_770.txt,"Comerford (1881, Lot 2839)",971,996,EVENT,,,Comerford,1881,2839,7063fdd3-dd19-4b2f-90f6-df4873ddf0bb
92,e561c6f8-45f5-40ea-8595-39589564a267,Pforzheimer Part 2_entry-394.0_770.txt,"G.D.Smith (May 1920, Lot 416)",1008,1036,EVENT,,,G.D.Smith,1920,416,5a267689-333d-4347-a8cc-7b30aac27475
