"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"115d1224-6393-45e6-a7e5-a5d10ec14dac","Pforzheimer Part 1_entry-50.0_28.txt","The Jones (1918, Lot 61)","char-offset:841","EVENT","","","","","","","","","","",""
"8bd41568-1dc4-431c-9e24-d81715be8dd4","Pforzheimer Part 1_entry-50.0_28.txt","The Jones","char-offset:841","PERSON","","","","","","","","","","",""
"86ba422c-0e99-473c-aae8-2416cb08f29d","Pforzheimer Part 1_entry-50.0_28.txt","1918","char-offset:852","","","","","","","","","AuctionYear","","",""
"a2055636-ab43-403b-a2c4-da20860e862b","Pforzheimer Part 1_entry-50.0_28.txt","61","char-offset:862","","","","","","","","","Lot","","",""
"2aeadaa4-9fbe-4d1d-a7ff-da3eb15987e6","Pforzheimer Part 1_entry-49.5_27.txt","The Brit-  well (1924, Lot 38)","char-offset:1128","EVENT","","","","","","","","","","",""
"934d2a24-6e7f-4bdb-b573-833828b4ce82","Pforzheimer Part 1_entry-49.5_27.txt","l","char-offset:1142","PERSON","","","","","","","","","","",""
"ac10246e-c998-4aca-8dc4-a3232f5fcab4","Pforzheimer Part 1_entry-49.5_27.txt","1924","char-offset:1145","","","","","","","","","AuctionYear","","",""
"c43508ad-67d0-418c-b22e-8859bde1894d","Pforzheimer Part 1_entry-49.5_27.txt","38","char-offset:1155","","","","","","","","","Lot","","",""
"63425418-4332-4feb-9519-ebb8679ca52c","Pforzheimer Part 1_entry-51.0_29.txt","The Jones (1, 1918, Lot 62)","char-offset:1070","EVENT","","","","","","","","","","",""
"6c2c20db-72bf-414c-a043-6c1bbb736a0c","Pforzheimer Part 1_entry-51.0_29.txt","The Jones","char-offset:1070","PERSON","","","","","","","","","","",""
"40bd3dd6-a0e4-45b6-96c8-2223117a05b0","Pforzheimer Part 1_entry-51.0_29.txt","1918","char-offset:1084","","","","","","","","","AuctionYear","","",""
"c063d4b2-1936-4adb-875e-9e5a2e76a2a8","Pforzheimer Part 1_entry-51.0_29.txt","62","char-offset:1094","","","","","","","","","Lot","","",""
"306c97d9-d924-4b84-b1c0-535e18c0538c","Pforzheimer Part 1_entry-54.0_32.txt","The Hoe (III, 1912,  Lot 112)","char-offset:1012","EVENT","","","","","","","","","","",""
"8433f685-fd4b-4dfc-8622-8c02a78da9b4","Pforzheimer Part 1_entry-54.0_32.txt","The Hoe","char-offset:1012","PERSON","","","","","","","","","","",""
"efcea185-d556-4f72-9187-9d8d8c16f17c","Pforzheimer Part 1_entry-54.0_32.txt","1912","char-offset:1026","","","","","","","","","AuctionYear","","",""
"72415adf-7b0f-4fa9-8c9a-f7b32c314788","Pforzheimer Part 1_entry-54.0_32.txt","112","char-offset:1037","","","","","","","","","Lot","","",""
"230e98fd-a8e9-4e11-b833-fc0db1f775c1","Pforzheimer Part 1_entry-54.0_32.txt","Huntington","char-offset:1042","EVENT","","","","","","","","","","",""
"78f4b33d-6a13-4978-9f93-9ba57148742b","Pforzheimer Part 1_entry-54.0_32.txt","English Literature from London (1919, Lot 59a)","char-offset:1054","EVENT","","","","","","","","","","",""
"62d9dcbf-3915-478f-93b2-508057a5846c","Pforzheimer Part 1_entry-54.0_32.txt","English Literature from London","char-offset:1054","PERSON","","","","","","","","","","",""
"ea79fb43-7daa-4127-a320-607044108754","Pforzheimer Part 1_entry-54.0_32.txt","1919","char-offset:1086","","","","","","","","","AuctionYear","","",""
"66f0043c-e082-4307-bb9f-7dd20aef7804","Pforzheimer Part 1_entry-54.0_32.txt","59a","char-offset:1096","","","","","","","","","Lot","","",""
