"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"3ccf6f62-869f-494a-90aa-7b2a50c1937c","Pforzheimer Part 3_entry-171.0_938.txt","Bright","char-offset:1137","PERSON","","","","","","","","","","",""
"5bede6e9-ad08-4c63-914b-efeaae963888","Pforzheimer Part 3_entry-171.0_938.txt","Bright (1845,                   Lot 5239)","char-offset:1137","EVENT","","","","","","","","","","",""
"2c56d08e-0807-4e1b-8edd-1855356e5a4e","Pforzheimer Part 3_entry-171.0_938.txt","1845","char-offset:1145","","","","","","","","","AuctionYear","","",""
"d55d3467-a084-4790-a8bf-a20807edb797","Pforzheimer Part 3_entry-171.0_938.txt","5239","char-offset:1173","","","","","","","","","Lot","","",""
"1b8d62d0-5f18-462c-9815-66ecb3826843","Pforzheimer Part 3_entry-171.0_938.txt","Heber    (IV, 1834, Lot 2467)","char-offset:1179","EVENT","","","","","","","","AuctionYear","","",""
"ac6427cb-7e20-4257-bb0a-a5bec2fe1485","Pforzheimer Part 3_entry-171.0_938.txt","Heber","char-offset:1179","PERSON","","","","","","","","","","",""
"c4c5a614-8292-4823-90a0-181ab879b16b","Pforzheimer Part 3_entry-171.0_938.txt","1834","char-offset:1193","","","","","","","","","AuctionYear","","",""
"edb576dc-6daf-4058-bfed-c802abb6765b","Pforzheimer Part 3_entry-171.0_938.txt","2467","char-offset:1203","","","","","","","","","Lot","","",""
"ce51ee96-29e6-4376-b746-58141d9292a1","Pforzheimer Part 3_entry-171.0_938.txt","Crossleyt","char-offset:1210","PERSON","","","","","","","","","","",""
"4b401f62-413f-4892-b251-0c48f39b2ab0","Pforzheimer Part 3_entry-171.0_938.txt","Pearson","char-offset:1220","PERSON","","","","","","","","","","",""
"664fe724-b627-45ba-8249-a531dc980f23","Pforzheimer Part 3_entry-171.0_938.txt","Pearson    (1916, Lot 277)","char-offset:1220","EVENT","","","","","","","","","","",""
"c6126e37-4852-475e-9975-e573ceb223a6","Pforzheimer Part 3_entry-171.0_938.txt","1916","char-offset:1232","","","","","","","","","AuctionYear","","",""
"3ef6e685-8d52-4b0d-99be-2701c9967fa0","Pforzheimer Part 3_entry-171.0_938.txt","277","char-offset:1242","","","","","","","","","Lot","","",""
"124d4e55-4152-45a2-8ae4-c9448113afb7","Pforzheimer Part 3_entry-171.0_938.txt","Jones","char-offset:1248","PERSON","","","","","","","","","","",""
"04d65998-727b-49b5-a674-bc8003da3602","Pforzheimer Part 3_entry-171.0_938.txt","Jones  (1919,                   Lot 1466)","char-offset:1248","EVENT","","","","","","","","","","",""
"a6f715d9-1783-4688-a007-88726bd5a4d1","Pforzheimer Part 3_entry-171.0_938.txt","1919","char-offset:1256","","","","","","","","","AuctionYear","","",""
"3951c786-362a-48cd-bbb4-3d2f34a5a665","Pforzheimer Part 3_entry-171.0_938.txt","1466","char-offset:1284","","","","","","","","","Lot","","",""
"329090ee-dd79-414d-8db9-99bd502d99d5","Pforzheimer Part 3_entry-175.0_943.txt","Steevens  (1800, Lot 1078)","char-offset:1020","EVENT","","","","","","","","","","",""
"bc70a1cc-ae93-4e89-9b2a-fdb419b3b402","Pforzheimer Part 3_entry-175.0_943.txt","Steevens","char-offset:1020","PERSON","","","","","","","","","","",""
"908bbf70-bfb9-4035-818b-df75c973a835","Pforzheimer Part 3_entry-175.0_943.txt","1800","char-offset:1031","","","","","","","","","AuctionYear","","",""
"0ece354d-61c5-4135-bf0e-cb11182f0a9d","Pforzheimer Part 3_entry-175.0_943.txt","1078","char-offset:1041","","","","","","","","","Lot","","",""
"5efef098-c1b2-4d3e-973b-0d3fb11136a9","Pforzheimer Part 3_entry-175.0_943.txt","B.A.P.","char-offset:1047","PERSON","","","","","","","","","","",""
"7d873466-d43c-41cd-a16f-1e17cefddc55","Pforzheimer Part 3_entry-175.0_943.txt","B.A.P.   (1815, No.686)","char-offset:1047","EVENT","","","","","","","","","","",""
"7212dfb7-a38b-459f-9740-9280f0e91e05","Pforzheimer Part 3_entry-175.0_943.txt","1815","char-offset:1057","","","","","","","","","AuctionYear","","",""
"6fd4be4a-830d-4743-9cfa-5fbbb7368f81","Pforzheimer Part 3_entry-175.0_943.txt","686","char-offset:1066","","","","","","","","","Lot","","",""
