"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"c388ead9-925c-460b-9028-4069e19376f1","Pforzheimer Part 1_entry-241.0_185.txt","The Lefferts","char-offset:1132","PERSON","","","","","","","","","","",""
"0434ffb8-e263-4785-ae6c-c17fb80d52c2","Pforzheimer Part 1_entry-241.0_185.txt","The Lefferts  (1902, Lot 239)","char-offset:1132","EVENT","","","","","","","","","","",""
"0238e0f0-7582-476a-9084-1a0ab55e0f64","Pforzheimer Part 1_entry-241.0_185.txt","1902","char-offset:1147","","","","","","","","","AuctionYear","","",""
"b44c1c1f-6061-4894-beb4-84daa6ceaf1e","Pforzheimer Part 1_entry-241.0_185.txt","239","char-offset:1157","","","","","","","","","Lot","","",""
"0500e23d-4269-471a-aad4-2bbd72bfc95b","Pforzheimer Part 1_entry-241.0_185.txt","Poor (IV, 1909, Lot 85)","char-offset:1163","EVENT","","","","","","","","","","",""
"44c03208-7eda-4552-a373-dcbb24bdc711","Pforzheimer Part 1_entry-241.0_185.txt","Poor","char-offset:1163","PERSON","","","","","","","","","","",""
"f7dc6c1b-ce6d-4e5f-b628-a6de34729bab","Pforzheimer Part 1_entry-241.0_185.txt","1909","char-offset:1173","","","","","","","","","AuctionYear","","",""
"25c4c6c8-4ffd-47b7-a816-974984a08991","Pforzheimer Part 1_entry-241.0_185.txt","85","char-offset:1183","","","","","","","","","Lot","","",""
"5f8333be-9554-4e60-9684-972935bb7fc1","Pforzheimer Part 1_entry-241.0_185.txt","Huntington (VII, 1918, Lot 113)","char-offset:1187","EVENT","","","","","","","","","","",""
"16f418f9-8872-4041-bfc8-588de1590062","Pforzheimer Part 1_entry-241.0_185.txt","Huntington","char-offset:1187","PERSON","","","","","","","","","","",""
"a13f6193-f53c-468d-b8bf-a8e5ba432e32","Pforzheimer Part 1_entry-241.0_185.txt","1918","char-offset:1204","","","","","","","","","AuctionYear","","",""
"7b62c9d5-1f42-47c4-8314-36f607cc36c5","Pforzheimer Part 1_entry-241.0_185.txt","113","char-offset:1214","","","","","","","","","Lot","","",""
"d1426f27-1ab6-4e2f-bc1b-a38ed8c4f34d","Pforzheimer Part 1_entry-241.5_186.txt","The Lefferts  (1902, Lot 239)","char-offset:802","EVENT","","","","","","","","","","",""
"2fd88f96-4470-420a-b361-9ef4caa7670f","Pforzheimer Part 1_entry-241.5_186.txt","The Lefferts","char-offset:802","PERSON","","","","","","","","","","",""
"a3fcae48-6a00-4e4b-9ee1-9c7406a40399","Pforzheimer Part 1_entry-241.5_186.txt","1902","char-offset:817","","","","","","","","","AuctionYear","","",""
"35d2edce-f659-4081-b1e4-ca845e36b747","Pforzheimer Part 1_entry-241.5_186.txt","239","char-offset:827","","","","","","","","","Lot","","",""
"6a39cbb4-a635-4e79-924c-7b73785d2df0","Pforzheimer Part 1_entry-241.5_186.txt","Poor (IV, 1909, Lot 88)","char-offset:833","EVENT","","","","","","","","","","",""
"fed6633e-e242-40d1-af6f-616a92ae270b","Pforzheimer Part 1_entry-241.5_186.txt","Poor","char-offset:833","PERSON","","","","","","","","","","",""
"962c4987-4efe-4633-9c0d-5ec7d27a1b4f","Pforzheimer Part 1_entry-241.5_186.txt","1909","char-offset:843","","","","","","","","","AuctionYear","","",""
"96ce1daa-dcc6-44a7-8f6b-ee5c16d17751","Pforzheimer Part 1_entry-241.5_186.txt","88","char-offset:853","","","","","","","","","Lot","","",""
"e76d93f5-b5c4-4192-9059-af9d02f10f75","Pforzheimer Part 1_entry-242.0_187.txt","The Devonshire","char-offset:661","PERSON","","","","","","","","","","",""
"cecbd1b5-c59b-4223-ba6e-bba012aca4c3","Pforzheimer Part 1_entry-242.0_187.txt","Huntington (private)","char-offset:678","EVENT","","","","","","","","","","",""
"821dd234-07ce-4cee-a81a-9c5502da1956","Pforzheimer Part 1_entry-242.0_187.txt","Huntington","char-offset:678","PERSON","","","","","","","","","","",""
"27256fae-77a1-41e1-a365-a38f473e05c4","Pforzheimer Part 1_entry-242.0_187.txt","Jones (1923, Lot 54)","char-offset:701","EVENT","","","","","","","","","","",""
"6e54ec05-224d-4a7f-b5a1-4fff8e3696b1","Pforzheimer Part 1_entry-242.0_187.txt","Jones","char-offset:701","PERSON","","","","","","","","","","",""
"e3d85a41-6567-4575-a85d-4dea28a958c9","Pforzheimer Part 1_entry-242.0_187.txt","1923","char-offset:708","","","","","","","","","AuctionYear","","",""
"5695b2a5-cc75-4f52-b7dd-f62ec40f0370","Pforzheimer Part 1_entry-242.0_187.txt","54","char-offset:718","","","","","","","","","Lot","","",""
"8b65e329-b6b9-4543-b8ec-fbc0c48705c4","Pforzheimer Part 1_entry-245.0_189.txt","The Shakespeare Library","char-offset:993","PERSON","","","","","","","","","","",""
"13ed04c4-8c0d-4db0-a409-5dc1081e6e0b","Pforzheimer Part 1_entry-245.0_189.txt","The Shakespeare Library  (1, 1918, Lot 229)","char-offset:993","EVENT","","","","","","","","","","",""
"c498543b-07eb-46c8-81cc-b5d23d708116","Pforzheimer Part 1_entry-245.0_189.txt","1918","char-offset:1022","","","","","","","","","AuctionYear","","",""
"35cdacb7-7f28-4b37-a2d2-449b5a461f56","Pforzheimer Part 1_entry-245.0_189.txt","229","char-offset:1032","","","","","","","","","Lot","","",""
"3981a4f9-5395-4b43-b80c-385a1a9366cd","Pforzheimer Part 1_entry-235.0_179.txt","The Halsey","char-offset:2157","PERSON","","","","","","","","","","",""
"e0f77c72-f81f-4ab1-ac93-591f0dd38775","Pforzheimer Part 1_entry-235.0_179.txt","The Halsey (1919, Lot 241)","char-offset:2157","EVENT","","","","","","","","","","",""
"3c4a8548-9c95-477c-989e-fb72d8b8653f","Pforzheimer Part 1_entry-235.0_179.txt","1919","char-offset:2169","","","","","","","","","AuctionYear","","",""
"31064834-2d1f-435c-ac24-be3028fbc159","Pforzheimer Part 1_entry-235.0_179.txt","241","char-offset:2179","","","","","","","","","Lot","","",""
"588f8327-8669-4a69-8d1b-1777c0822e9f","Pforzheimer Part 1_entry-238.5_182.txt","The Kemble","char-offset:685","EVENT","","","","","","","","","","",""
"222bdc45-80d9-4ba8-b51c-260850bc1a0f","Pforzheimer Part 1_entry-238.5_182.txt","Devonshire","char-offset:697","EVENT","","","","","","","","","","",""
"6729fb47-2ebf-4f08-a3ab-216fcad78009","Pforzheimer Part 1_entry-238.5_182.txt","Huntington  (VI, 1918, Lot 103)","char-offset:709","EVENT","","","","","","","","","","",""
"238c7152-8436-45a6-aeea-daa4536c0aa0","Pforzheimer Part 1_entry-238.5_182.txt","Huntington","char-offset:709","PERSON","","","","","","","","","","",""
"4f97c310-203a-49c5-b54e-0c139c476657","Pforzheimer Part 1_entry-238.5_182.txt","1918","char-offset:726","","","","","","","","","AuctionYear","","",""
