"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"16b51bd7-dedf-4310-b0fe-4b6cf090e7ef","Pforzheimer Part 3_entry-495.0_MS.153.txt","Pepys Papers","char-offset:344","EVENT","","","","","","","","","","",""
"c000357c-6f8a-4c30-952b-044f28103863","Pforzheimer Part 3_entry-495.0_MS.153.txt","Alfred Morrison","char-offset:358","PERSON","","","","","","","","","","",""
"c0fe46f5-7523-4eca-8cab-693313644170","Pforzheimer Part 3_entry-495.0_MS.153.txt","Alfred Morrison (IV, 1919, Lot 3027).","char-offset:358","EVENT","","","","","","","","","","",""
"2f4b6f29-9375-4e86-b021-3afe2aa3c7e6","Pforzheimer Part 3_entry-495.0_MS.153.txt","1919","char-offset:379","","","","","","","","","AuctionYear","","",""
"cd8e1497-e5ea-4232-a379-9cb8ebb687b2","Pforzheimer Part 3_entry-495.0_MS.153.txt","3027","char-offset:389","","","","","","","","","Lot","","",""
"96755c0a-91bd-4248-8e13-6fbfd9f59ce6","Pforzheimer Part 3_entry-487.5_MS.144.txt","Leeds Papers","char-offset:227","EVENT","","","","","","","","","","",""
"9fbfcc00-e4d3-48f4-8179-e39e363c5fd4","Pforzheimer Part 3_entry-487.5_MS.144.txt","Alfred  Morrison","char-offset:241","PERSON","","","","","","","","","","",""
"2e799335-abb9-4e02-86cf-d5482ed4f176","Pforzheimer Part 3_entry-487.5_MS.144.txt","Alfred  Morrison (IV, 1919, Lot 2814).","char-offset:241","EVENT","","","","","","","","","","",""
"6a6eee1f-1dbe-4885-99c8-6d21f1c86f96","Pforzheimer Part 3_entry-487.5_MS.144.txt","1919","char-offset:263","","","","","","","","","AuctionYear","","",""
"eca392b2-e69f-454b-ac5b-6b7762ca9690","Pforzheimer Part 3_entry-487.5_MS.144.txt","2814","char-offset:273","","","","","","","","","Lot","","",""
"b6752f5d-cc54-461a-a03c-38ab4e3881ee","Pforzheimer Part 3_entry-489.0_MS.146.txt","Leeds Papers","char-offset:269","PERSON","","","","","","","","","","",""
"0887c224-da4f-4a29-8ec3-bf4a598f99a5","Pforzheimer Part 3_entry-489.0_MS.146.txt","Alfred  Morrison","char-offset:283","PERSON","","","","","","","","","","",""
"fc57a41e-51a1-4d46-babc-3d7dd3f2a5d0","Pforzheimer Part 3_entry-489.0_MS.146.txt","Alfred  Morrison (IV, 1919, Lot 2814).","char-offset:283","EVENT","","","","","","","","","","",""
"3458bf87-3a2a-4323-bb4d-af9f56da4b3f","Pforzheimer Part 3_entry-489.0_MS.146.txt","1919","char-offset:305","","","","","","","","","AuctionYear","","",""
"68848bb3-f6c7-4304-a87e-2fd3628047c8","Pforzheimer Part 3_entry-489.0_MS.146.txt","2814","char-offset:315","","","","","","","","","Lot","","",""
"c0f1c18f-95a9-42c2-838f-e055aef20056","Pforzheimer Part 3_entry-491.0_MS.148.txt","Leeds Papers—","char-offset:358","PERSON","","","","","","","","","","",""
"c443eecd-7068-46c2-9bb9-0136981948e0","Pforzheimer Part 3_entry-491.0_MS.148.txt","Alfred Morrison","char-offset:372","PERSON","","","","","","","","","","",""
"d34b66bb-f5d3-4840-a99d-56bfcaa45240","Pforzheimer Part 3_entry-491.0_MS.148.txt","Alfred Morrison (IV, 1919, Lot 2814).","char-offset:372","EVENT","","","","","","","","","","",""
"84c2982f-c62e-44b4-9bc5-4c0e9426b901","Pforzheimer Part 3_entry-491.0_MS.148.txt","1919","char-offset:393","","","","","","","","","AuctionYear","","",""
"da2d9b7e-6416-4eee-b449-bda146a63684","Pforzheimer Part 3_entry-491.0_MS.148.txt","2814","char-offset:403","","","","","","","","","Lot","","",""
"57ce922a-2bdb-408c-ab17-ab08af51c8dd","Pforzheimer Part 3_entry-485.0_MS.140.txt","Alfred Morrison","char-offset:338","PERSON","","","","","","","","","","",""
"523735d8-907b-45e4-b1ea-6f9156595c05","Pforzheimer Part 3_entry-485.0_MS.140.txt","Alfred Morrison  (IV, 1919, Lot 2748).","char-offset:338","EVENT","","","","","","","","","","",""
"d2faeaa8-34dc-4fe8-986a-51e258ceef45","Pforzheimer Part 3_entry-485.0_MS.140.txt","1919","char-offset:360","","","","","","","","","AuctionYear","","",""
"3aef8b26-c80f-4281-babd-986a59714869","Pforzheimer Part 3_entry-485.0_MS.140.txt","2748","char-offset:370","","","","","","","","","Lot","","",""
"e6addb53-1a33-4f40-9426-d39b1dd8a6e0","Pforzheimer Part 3_entry-494.5_MS.152.txt","Pepys Papers","char-offset:233","PERSON","","","","","","","","","","",""
"46c36098-edda-4ce6-8b7b-0dc83b33a53f","Pforzheimer Part 3_entry-494.5_MS.152.txt","Alfred Morrison","char-offset:248","PERSON","","","","","","","","","","",""
"a4ed2003-0c24-4f08-9d9f-b59359784ef5","Pforzheimer Part 3_entry-494.5_MS.152.txt","Alfred Morrison (IV, 1919, Lot 3027).","char-offset:248","EVENT","","","","","","","","","","",""
"3246a19d-aaa7-4e96-9b3f-6a7487eed58a","Pforzheimer Part 3_entry-494.5_MS.152.txt","1919","char-offset:269","","","","","","","","","AuctionYear","","",""
"47a6d758-ea21-4591-99f8-1e6a9b8c8008","Pforzheimer Part 3_entry-494.5_MS.152.txt","3027","char-offset:279","","","","","","","","","Lot","","",""
"81e7b99e-a2a5-499b-9824-d14497169853","Pforzheimer Part 3_entry-484.0_MS.139.txt","Leeds Papers","char-offset:357","PERSON","","","","","","","","","","",""
"bf8be0cb-3bb6-430d-b9cb-957adfb515ae","Pforzheimer Part 3_entry-484.0_MS.139.txt","Alfred Morrison  (IV, 1919, Lot 2814).","char-offset:371","EVENT","","","","","","","","","","",""
"53b70b18-1c32-44f9-8913-152202e91db8","Pforzheimer Part 3_entry-484.0_MS.139.txt","Alfred Morrison","char-offset:371","PERSON","","","","","","","","","","",""
"cc76846a-b60c-4e24-a107-ebb974907887","Pforzheimer Part 3_entry-484.0_MS.139.txt","1919","char-offset:393","","","","","","","","","AuctionYear","","",""
"b749bfa0-d591-452f-870a-9511ffbd99a4","Pforzheimer Part 3_entry-484.0_MS.139.txt","2814","char-offset:403","","","","","","","","","Lot","","",""
"b617e63f-e419-483c-98ae-8197adddb0a9","Pforzheimer Part 3_entry-490.0_MS.147.txt","Leeds Papers","char-offset:370","PERSON","","","","","","","","","","",""
"01b90995-9ced-438b-b258-64671b36eda4","Pforzheimer Part 3_entry-490.0_MS.147.txt","Alfred Morrison","char-offset:384","PERSON","","","","","","","","","","",""
"55e3614c-65f6-454c-8c2d-eaa07865b51a","Pforzheimer Part 3_entry-490.0_MS.147.txt","Alfred Morrison (IV, 1919, Lot 2814).","char-offset:384","EVENT","","","","","","","","","","",""
"9d3b1ed9-7462-4e09-8b05-92706337930f","Pforzheimer Part 3_entry-490.0_MS.147.txt","1919","char-offset:405","","","","","","","","","AuctionYear","","",""
"e38eb5dc-6dee-4ba1-8c4a-08b315c98b60","Pforzheimer Part 3_entry-490.0_MS.147.txt","2814","char-offset:415","","","","","","","","","Lot","","",""
"1493c944-4ef6-424d-9ff0-049af4d2bb43","Pforzheimer Part 3_entry-494.0_MS.151.txt","Alfred Morrison","char-offset:217","PERSON","","","","","","","","","","",""
"b573d863-fd32-40c3-808e-6a9817e38296","Pforzheimer Part 3_entry-494.0_MS.151.txt","Alfred Morrison (IV, 1919, Lot 2754).","char-offset:217","EVENT","","","","","","","","","","",""
"a87f6edf-5165-4931-8173-5c81fb87ee1d","Pforzheimer Part 3_entry-494.0_MS.151.txt","1919","char-offset:238","","","","","","","","","AuctionYear","","",""
"eea489e2-ed44-4d86-88f5-51331c92b806","Pforzheimer Part 3_entry-494.0_MS.151.txt","2754","char-offset:248","","","","","","","","","Lot","","",""
"833a0e74-2893-4afb-a1a2-843030a9b98e","Pforzheimer Part 3_entry-486.0_MS.142.txt","Alfred  Morrison","char-offset:275","PERSON","","","","","","","","","","",""
"6646115f-05a6-42a5-abf3-8587db452893","Pforzheimer Part 3_entry-486.0_MS.142.txt","Alfred  Morrison (IV, 1919, Lot 2814).","char-offset:275","EVENT","","","","","","","","","","",""
"fe543ea3-c4ae-4856-a007-002d3cedb787","Pforzheimer Part 3_entry-486.0_MS.142.txt","1919","char-offset:297","","","","","","","","","AuctionYear","","",""
"fbedc936-e57a-41b0-970e-15dec9fda98f","Pforzheimer Part 3_entry-486.0_MS.142.txt","2814","char-offset:307","","","","","","","","","Lot","","",""
"e8ab249c-f3d0-49c7-99ff-9e120e0a3d4a","Pforzheimer Part 3_entry-493.0_MS.150.txt","Alfred Morrison","char-offset:252","PERSON","","","","","","","","","","",""
