"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"76e547b4-d53f-4293-bbcf-da7876e3c755","Pforzheimer Part 3_entry-70.0_839.txt","Clawson  (It, 1926, Lot 688)","char-offset:1187","EVENT","","","","","","","","","","",""
"f4d1b841-08ab-4d8f-8e3a-b28c01d8b1e3","Pforzheimer Part 3_entry-70.0_839.txt","Clawson","char-offset:1187","PERSON","","","","","","","","","","",""
"2fefe610-af10-4748-af45-b861b1d6f2d2","Pforzheimer Part 3_entry-70.0_839.txt","1926","char-offset:1201","","","","","","","","","AuctionYear","","",""
"94161426-dda2-4cf2-ba0f-223ac5ab8df9","Pforzheimer Part 3_entry-70.0_839.txt","688","char-offset:1211","","","","","","","","","Lot","","",""
"5a249143-efbe-407f-99d5-bf9b4dd9e604","Pforzheimer Part 3_entry-63.0_831.txt","Kemble (1797)","char-offset:1011","EVENT","","","","","","","","","","",""
"3bc2afcf-3025-4052-b5a8-59decf425fd2","Pforzheimer Part 3_entry-63.0_831.txt","Kemble","char-offset:1011","PERSON","","","","","","","","","","",""
"e002b93b-fe39-42bf-954c-8d866af27d1e","Pforzheimer Part 3_entry-63.0_831.txt","1797","char-offset:1019","","","","","","","","","AuctionYear","","",""
"1a07ec84-d923-4c65-b2b1-c641bbe92a90","Pforzheimer Part 3_entry-63.0_831.txt","Devonshire","char-offset:1042","PERSON","","","","","","","","","","",""
"3c9b9dcf-fb43-4750-b33e-9492d347d2ac","Pforzheimer Part 3_entry-63.0_831.txt","Huntington","char-offset:1055","PERSON","","","","","","","","","","",""
"1cb5471b-a6d5-42a2-8e3f-bf82472c3b3d","Pforzheimer Part 3_entry-71.5_841.txt","Mostyn","char-offset:1140","PERSON","","","","","","","","","","",""
"a3258673-af02-49b5-bab7-285b4c59a6a0","Pforzheimer Part 3_entry-71.5_841.txt","Mostyn (1919, Lot 293)","char-offset:1140","EVENT","","","","","","","","","","",""
"914328b7-a48e-4098-84a9-f67c4bf337b0","Pforzheimer Part 3_entry-71.5_841.txt","1919","char-offset:1148","","","","","","","","","AuctionYear","","",""
"3696b5cb-9510-4c4c-b62e-c34f30bdb20f","Pforzheimer Part 3_entry-71.5_841.txt","293","char-offset:1158","","","","","","","","","Lot","","",""
"fc54294a-3dd5-447e-9cd1-898ec14a98d6","Pforzheimer Part 3_entry-71.5_841.txt","Clawson  (II, 1926, Lot 690)","char-offset:1181","EVENT","","","","","","","","","","",""
"51e4c4c2-10dd-4d53-9f03-1ba1eac5b60e","Pforzheimer Part 3_entry-71.5_841.txt","Clawson","char-offset:1181","PERSON","","","","","","","","","","",""
"ba064fda-3bb0-4b27-9f15-1a55ac7b7fa6","Pforzheimer Part 3_entry-71.5_841.txt","1926","char-offset:1195","","","","","","","","","AuctionYear","","",""
"316d99d0-c4bb-4139-8012-a15d998f4fc8","Pforzheimer Part 3_entry-71.5_841.txt","690","char-offset:1205","","","","","","","","","Lot","","",""
"156eaa1e-545f-47a7-8e87-78aee6932672","Pforzheimer Part 3_entry-58.0_826.txt","Mostyn  (1919, Lot 284)","char-offset:574","EVENT","","","","","","","","","","",""
"b3a5cb83-86ee-4a9e-b84a-6f55a1c1973b","Pforzheimer Part 3_entry-58.0_826.txt","Mostyn","char-offset:574","PERSON","","","","","","","","","","",""
"ff0a1b19-dd13-411d-ac34-f18387a7c166","Pforzheimer Part 3_entry-58.0_826.txt","1919","char-offset:583","","","","","","","","","AuctionYear","","",""
"8fce6132-e7d0-457b-8b11-e6cce993e301","Pforzheimer Part 3_entry-58.0_826.txt","284","char-offset:593","","","","","","","","","Lot","","",""
