"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"6119ec34-cc34-4739-bdeb-912c0292f056","Pforzheimer Part 1_entry-391.0_313.txt","Hagen","char-offset:1030","PERSON","","","","","","","","","","",""
"8c58ae0a-6f75-43cd-96f5-d92596e7ae26","Pforzheimer Part 1_entry-391.0_313.txt","Hagen (1918,  Lot 417)","char-offset:1030","EVENT","","","","","","","","","","",""
"c2136b2c-1030-4e6e-873f-7c0589dfbeff","Pforzheimer Part 1_entry-391.0_313.txt","1918","char-offset:1037","","","","","","","","","AuctionYear","","",""
"a1c3ee12-0995-4b40-8771-1cd9e46a4f31","Pforzheimer Part 1_entry-391.0_313.txt","417","char-offset:1048","","","","","","","","","Lot","","",""
"5a8f8cf3-80e2-4b69-9831-89f825eeb280","Pforzheimer Part 1_entry-380.0_304.txt","Ross Winans","char-offset:1337","EVENT","","","","","","","","","","",""
"65af7bca-5843-4b89-8a24-7467269f7594","Pforzheimer Part 1_entry-378.0_302.txt","Sotheby’s","char-offset:951","PERSON","","","","","","","","","","",""
"6260d831-7f30-45de-b60d-32f22cd31daa","Pforzheimer Part 1_entry-378.0_302.txt","Sotheby’s 15 February 1932, Lot 58.","char-offset:951","EVENT","","","","","","","","","","",""
"b32529af-cbda-45af-9711-03a1b9382d82","Pforzheimer Part 1_entry-378.0_302.txt","1932","char-offset:973","","","","","","","","","AuctionYear","","",""
"5fa8fd34-bd93-4f6d-b3c3-db70103408e3","Pforzheimer Part 1_entry-378.0_302.txt","58","char-offset:983","","","","","","","","","Lot","","",""
"46972cd4-d3fc-4f0c-a040-d82ce151a710","Pforzheimer Part 1_entry-382.0_305.txt","George Soaper","char-offset:1499","EVENT","","","","","","","","","","",""
"95c86ed9-15fc-4961-80d8-3f34582e1c9b","Pforzheimer Part 1_entry-382.0_305.txt","Beverly Chew","char-offset:1514","EVENT","","","","","","","","","","",""
"334bc0ba-bacf-4109-aa6f-198628a6a354","Pforzheimer Part 1_entry-382.0_305.txt","Huntington","char-offset:1529","PERSON","","","","","","","","","","",""
"51d2e00b-b803-49fa-8539-dda2475f3856","Pforzheimer Part 1_entry-382.0_305.txt","Huntington  (V, 1917, Lot 154)","char-offset:1529","EVENT","","","","","","","","","","",""
"f946e08a-3cee-499a-a1b2-a647fc64c520","Pforzheimer Part 1_entry-382.0_305.txt","1917","char-offset:1545","","","","","","","","","AuctionYear","","",""
"b374579c-7fef-4bdf-8528-01fa3610f4ae","Pforzheimer Part 1_entry-382.0_305.txt","154","char-offset:1555","","","","","","","","","Lot","","",""
"96b391d8-77ab-4381-b824-8a7f0cb2b9f7","Pforzheimer Part 1_entry-382.0_305.txt","Hagen","char-offset:1561","PERSON","","","","","","","","","","",""
"7e90428d-4831-4683-a3f2-88e6c345c961","Pforzheimer Part 1_entry-382.0_305.txt","Hagen (1918, Lot 384)","char-offset:1561","EVENT","","","","","","","","","","",""
"cbd6cc01-72b3-4d41-9df4-ebe034d87e31","Pforzheimer Part 1_entry-382.0_305.txt","1918","char-offset:1568","","","","","","","","","AuctionYear","","",""
"47605578-0b4e-4838-9daf-0cae480e6e51","Pforzheimer Part 1_entry-382.0_305.txt","384","char-offset:1578","","","","","","","","","Lot","","",""
"48ed113e-352f-4305-a67f-8774e4f80d40","Pforzheimer Part 1_entry-376.0_301.txt","Jones (1918, Lot 513)","char-offset:1713","EVENT","","","","","","","","","","",""
"475da2dc-b60a-4a1d-aad6-d8031941eb1d","Pforzheimer Part 1_entry-376.0_301.txt","Jones","char-offset:1713","PERSON","","","","","","","","","","",""
"6cb16987-f90e-4424-a529-aac6e97350ee","Pforzheimer Part 1_entry-376.0_301.txt","1918","char-offset:1720","","","","","","","","","AuctionYear","","",""
"398ab1be-430b-4e3e-b190-65f801c670d7","Pforzheimer Part 1_entry-376.0_301.txt","513","char-offset:1730","","","","","","","","","Lot","","",""
"4476653a-36de-4a74-90db-e76f269f4470","Pforzheimer Part 1_entry-384.0_307.txt","McKee","char-offset:2935","PERSON","","","","","","","","","","",""
"7712ddf3-7bb5-4ae2-9b4a-1b221f8f2f89","Pforzheimer Part 1_entry-384.0_307.txt","McKee (IV, 1gor, Lot  2882)","char-offset:2935","EVENT","","","","","","","","","","",""
"98a5d0d7-f008-42d2-9523-04cd25501b99","Pforzheimer Part 1_entry-384.0_307.txt","1gor","char-offset:2946","","","","","","","","","AuctionYear","Year?","",""
"4154998c-584d-4f8c-ba9a-e67240a8c663","Pforzheimer Part 1_entry-384.0_307.txt","2882","char-offset:2957","","","","","","","","","Lot","","",""
"c9a3dccc-3dc3-4030-b0a5-58b7bb01a3c0","Pforzheimer Part 1_entry-384.0_307.txt","Hagen (1918, Lot 385)","char-offset:2965","EVENT","","","","","","","","","","",""
"571c3117-cd17-4cdf-ac5b-705c24b413ed","Pforzheimer Part 1_entry-384.0_307.txt","Hagen","char-offset:2965","PERSON","","","","","","","","","","",""
