"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"70dee4bf-30c1-4af6-a450-3f02edcc2540","Pforzheimer Part 2_entry-348.0_715.txt","J.A.Brooke","char-offset:349","PERSON","","","","","","","","","","",""
"762db064-b6ec-442d-918a-01c748350e82","Pforzheimer Part 2_entry-348.0_715.txt","J.A.Brooke (1921, Lot  1013)","char-offset:349","EVENT","","","","","","","","","","",""
"90f5ca5c-11bd-4ba9-a120-db25fe01ab90","Pforzheimer Part 2_entry-348.0_715.txt","1921","char-offset:361","","","","","","","","","AuctionYear","","",""
"65b2a155-8a1f-4fc9-9414-a16dbeab3e90","Pforzheimer Part 2_entry-348.0_715.txt","1013","char-offset:372","","","","","","","","","Lot","","",""
"24d6309b-976a-4ac0-8936-8b1488ec2023","Pforzheimer Part 2_entry-348.5_716.txt","The Hoe (II, 1912, Lot 2318)","char-offset:790","EVENT","","","","","","","","","","",""
"4f5a27c2-6417-404a-83ab-f3e99315bac5","Pforzheimer Part 2_entry-348.5_716.txt","Hoe","char-offset:794","PERSON","","","","","","","","","","",""
"427e004e-c96c-43a9-93f8-5620d4e353c9","Pforzheimer Part 2_entry-348.5_716.txt","1912","char-offset:803","","","","","","","","","AuctionYear","","",""
"3d1c4c28-c6f1-4798-bce0-03251844f7fa","Pforzheimer Part 2_entry-348.5_716.txt","2318","char-offset:813","","","","","","","","","Lot","","",""
"83cd4f20-97ad-4b76-8b09-b4be11c464e0","Pforzheimer Part 2_entry-349.0_717.txt","I.Baker Holroyd  (1907, Lot 455)","char-offset:967","EVENT","","","","","","","","","","",""
"7c960569-1f97-4e65-b5ef-56ec50d30a09","Pforzheimer Part 2_entry-349.0_717.txt","I.Baker Holroyd","char-offset:967","PERSON","","","","","","","","","","",""
"1962f5e2-3145-49bf-a374-59caf24bce2e","Pforzheimer Part 2_entry-349.0_717.txt","1907","char-offset:985","","","","","","","","","AuctionYear","","",""
"cb378efe-a765-4fb2-9bbe-b24803d9aacb","Pforzheimer Part 2_entry-349.0_717.txt","455","char-offset:995","","","","","","","","","Lot","","",""
"3d1bfe98-1a51-46dc-9848-278ef6799273","Pforzheimer Part 2_entry-349.0_717.txt","Hagen (1918, Lot 806)","char-offset:1002","EVENT","","","","","","","","","","",""
"bea9c747-752e-4277-be89-8f17d3f6957b","Pforzheimer Part 2_entry-349.0_717.txt","Hagen","char-offset:1002","PERSON","","","","","","","","","","",""
"bd651476-fd05-4981-8bc5-53fa165470c1","Pforzheimer Part 2_entry-349.0_717.txt","1918","char-offset:1009","","","","","","","","","AuctionYear","","",""
"6f4750cc-4130-408d-a004-750509c09b0a","Pforzheimer Part 2_entry-349.0_717.txt","806","char-offset:1019","","","","","","","","","Lot","","",""
"1f227794-0af9-4a4a-a0a9-40cbc7ffa867","Pforzheimer Part 2_entry-350.0_718.txt","Hagen (1918, Lot 809)","char-offset:553","EVENT","","","","","","","","","","",""
"604f8d64-9871-4144-bbda-8bdf4cc18451","Pforzheimer Part 2_entry-350.0_718.txt","Hagen","char-offset:553","PERSON","","","","","","","","","","",""
"6be6f3c1-f532-4980-8588-bef98f8f6de0","Pforzheimer Part 2_entry-350.0_718.txt","1918","char-offset:560","","","","","","","","","AuctionYear","","",""
"8b120255-71f3-4bf7-905d-c90141e87f7a","Pforzheimer Part 2_entry-350.0_718.txt","809","char-offset:570","","","","","","","","","Lot","","",""
"5dc50efe-43b9-4520-9233-d09ad791ba5d","Pforzheimer Part 2_entry-350.0_718.txt","Clawson","char-offset:577","PERSON","","","","","","","","","","",""
"47159eb2-f897-4798-8123-463b3e4e7e6d","Pforzheimer Part 2_entry-350.0_718.txt","Clawson (II,  1926, Lot 576)","char-offset:577","EVENT","","","","","","","","","","",""
"2b9abc5b-6006-4716-a749-8d73041b1547","Pforzheimer Part 2_entry-350.0_718.txt","1926","char-offset:591","","","","","","","","","AuctionYear","","",""
"5ed8fc8a-7505-4ff3-bc5f-e4f5d3dbfc21","Pforzheimer Part 2_entry-350.0_718.txt","576","char-offset:601","","","","","","","","","Lot","","",""
"7287a8b3-b08f-4f70-b5cc-b7b207036724","Pforzheimer Part 2_entry-351.0_719.txt","Ross Winans","char-offset:798","EVENT","","","","","","","","","","",""
"89004a22-2d95-4baf-a70a-313e09f6e911","Pforzheimer Part 2_entry-352.0_720.txt","Hagen copy (1918, Lot  813)","char-offset:1612","EVENT","","","","","","","","","","",""
"244f26eb-c8b3-4577-aac8-8e6ecbb71df1","Pforzheimer Part 2_entry-352.0_720.txt","Hagen","char-offset:1612","PERSON","","","","","","","","","","",""
"6eb7fbe3-6ee4-44aa-a611-c92d975d6923","Pforzheimer Part 2_entry-352.0_720.txt","1918","char-offset:1624","","","","","","","","","AuctionYear","","",""
"ed4ac6c2-6461-4c87-a978-908f2bc51e7d","Pforzheimer Part 2_entry-352.0_720.txt","813","char-offset:1635","","","","","","","","","Lot","","",""
"0f255eb0-9537-436e-852e-7ea3da482d96","Pforzheimer Part 2_entry-335.0_708.txt","J.Pearson","char-offset:1028","PERSON","","","","","","","","","","",""
"5ca50718-c01a-4314-84c5-71439d517e04","Pforzheimer Part 2_entry-335.0_708.txt","J.Pearson (Il, 1914, Lot 378)","char-offset:1028","EVENT","","","","","","","","","","",""
"3916e022-6f68-4a41-b602-88531bd1eb0c","Pforzheimer Part 2_entry-335.0_708.txt","1914","char-offset:1043","","","","","","","","","AuctionYear","","",""
"132c23bf-a86a-4eb5-be4a-bf2fbf4391a4","Pforzheimer Part 2_entry-335.0_708.txt","378","char-offset:1053","","","","","","","","","Lot","","",""
"8e8857ab-0661-4ff7-abe8-af40f9135139","Pforzheimer Part 2_entry-335.0_708.txt","Viscount Birkenhead  (private)","char-offset:1059","EVENT","","","","","","","","","","",""
"bacd3e38-da79-4246-8f3c-62b4623d601a","Pforzheimer Part 2_entry-335.0_708.txt","Viscount Birkenhead","char-offset:1059","PERSON","","","","","","","","","","",""
"711b8edf-0d4e-4113-a26a-4757f1ed4d01","Pforzheimer Part 2_entry-336.5_710.txt","Shakespeare Library","char-offset:1081","PERSON","","","","","","","","","","",""
"da82d5a0-1a45-493f-b5fc-e3dd143a0685","Pforzheimer Part 2_entry-336.5_710.txt","Shakespeare Library (I, 1918, Lot 622)","char-offset:1081","EVENT","","","","","","","","","","",""
"521c6078-ef9e-4f0f-ae07-18452acaa860","Pforzheimer Part 2_entry-336.5_710.txt","1918","char-offset:1105","","","","","","","","","AuctionYear","","",""
"5d23242f-0910-4316-8993-74a2bc43a897","Pforzheimer Part 2_entry-336.5_710.txt","622","char-offset:1115","","","","","","","","","Lot","","",""
"eb909721-55c8-402f-a213-60a071c49c74","Pforzheimer Part 2_entry-336.5_710.txt","Jones (1919, Lot 1178)","char-offset:1123","EVENT","","","","","","","","","","",""
"790c10ca-39bd-4154-8292-ffbd4490518d","Pforzheimer Part 2_entry-336.5_710.txt","Jones","char-offset:1123","PERSON","","","","","","","","","","",""
"0d393724-813d-4727-870e-dc59eea753be","Pforzheimer Part 2_entry-336.5_710.txt","1919","char-offset:1130","","","","","","","","","AuctionYear","","",""
"80b9eb1d-2c8e-44f0-8dcc-5ac95d37b425","Pforzheimer Part 2_entry-336.5_710.txt","1178","char-offset:1140","","","","","","","","","Lot","","",""
"01c06a24-e5c0-4f95-a787-2c2c9fb26d0e","Pforzheimer Part 2_entry-336.0_709.txt","Huth","char-offset:831","PERSON","","","","","","","","","","",""
