"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"73f5000d-b518-4c6d-8b30-d4262959f0b5","Pforzheimer Part 3_entry-278.0_1044.txt","Halsey","char-offset:1656","PERSON","","","","","","","","","","",""
"46442122-d62a-41b0-a99e-3f2c294ea940","Pforzheimer Part 3_entry-278.0_1044.txt","Huntington","char-offset:1665","PERSON","","","","","","","","","","",""
"e993b5c6-f54c-45bc-90e3-09d0272d42a3","Pforzheimer Part 3_entry-278.0_1044.txt","Huntington  (VII,                                    1918, Lot  887)","char-offset:1665","EVENT","","","","","","","","","","",""
"58ff2f90-6b2a-419a-94a0-d4b620796426","Pforzheimer Part 3_entry-278.0_1044.txt","1918","char-offset:1718","","","","","","","","","AuctionYear","","",""
"eacb7596-5df5-433c-bfe8-dd52ba6647af","Pforzheimer Part 3_entry-278.0_1044.txt","887","char-offset:1729","","","","","","","","","Lot","","",""
"ac2ee5ba-efd4-4616-b60c-04fca8a3eb74","Pforzheimer Part 3_entry-276.0_1042.txt","Forman","char-offset:858","PERSON","","","","","","","","","","",""
"064f625a-8ea7-42d5-9680-832bbd7d361b","Pforzheimer Part 3_entry-276.0_1042.txt","Forman (I,                    1920, Lot 902)","char-offset:858","EVENT","","","","","","","","","","",""
"887da933-e6ae-45a6-a64b-8468dd013cef","Pforzheimer Part 3_entry-276.0_1042.txt","1920","char-offset:888","","","","","","","","","AuctionYear","","",""
"85673186-6111-4bde-9bf1-069d8443b39a","Pforzheimer Part 3_entry-276.0_1042.txt","902","char-offset:898","","","","","","","","","Lot","","",""
"cb7cf2b4-2404-4645-87b8-a5a3a293e01a","Pforzheimer Part 3_entry-277.0_1043.txt","Forman","char-offset:819","PERSON","","","","","","","","","","",""
"71780cdc-d84a-443f-8466-0c4082a63142","Pforzheimer Part 3_entry-277.0_1043.txt","Forman (I, 1920, Lot 896)","char-offset:819","EVENT","","","","","","","","","","",""
