"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"623afa1c-d1e0-4c5e-a80d-20832281b884","Pforzheimer Part 2_entry-328.0_700.txt","Halsey","char-offset:1002","PERSON","","","","","","","","","","",""
"1562ce6b-3c52-40fa-a8cf-7a89b8619e13","Pforzheimer Part 2_entry-328.0_700.txt","Halsey  (bought 1904)","char-offset:1002","EVENT","","","","","","","","","","",""
"1fbb1e4c-6584-4c88-a29a-89b0c3185744","Pforzheimer Part 2_entry-328.0_700.txt","1904","char-offset:1018","","","","","","","","","AuctionYear","","",""
"23aa71e4-f48a-4b35-a2a7-8a74095aa69d","Pforzheimer Part 2_entry-328.0_700.txt","Huntington (VIII, 1918, Lot 333)","char-offset:1025","EVENT","","","","","","","","","","",""
"5837e582-8950-4eec-8cad-999246d05586","Pforzheimer Part 2_entry-328.0_700.txt","Huntington","char-offset:1025","PERSON","","","","","","","","","","",""
"d420bf8a-f14b-4806-8159-9561591d8a91","Pforzheimer Part 2_entry-328.0_700.txt","1918","char-offset:1043","","","","","","","","","AuctionYear","","",""
"233b0476-6517-4c43-9ab0-534cfd98ec39","Pforzheimer Part 2_entry-328.0_700.txt","333","char-offset:1053","","","","","","","","","Lot","","",""
"21fbaf99-cf8a-415f-977b-8d3a82fde381","Pforzheimer Part 2_entry-328.0_700.txt","Clawson (II, 1926, Lot 543)","char-offset:1058","EVENT","","","","","","","","","","",""
"e656d915-413c-4a70-ab6e-9472fd3250af","Pforzheimer Part 2_entry-328.0_700.txt","Clawson","char-offset:1058","PERSON","","","","","","","","","","",""
"5b17394d-18bb-4a71-b29d-8e73f7994fc6","Pforzheimer Part 2_entry-328.0_700.txt","1926","char-offset:1071","","","","","","","","","AuctionYear","","",""
"338de190-3f1f-41ea-a0fc-31d56436f4dd","Pforzheimer Part 2_entry-328.0_700.txt","543","char-offset:1081","","","","","","","","","Lot","","",""
"a4e41b72-a084-4ced-8d8d-307918576367","Pforzheimer Part 2_entry-332.0_705.txt","Dent (I, 1827, Lot 1143)","char-offset:2366","EVENT","","","","","","","","","","",""
"bb357308-c296-4394-9ed5-4b8ecc04a180","Pforzheimer Part 2_entry-332.0_705.txt","Dent","char-offset:2366","PERSON","","","","","","","","","","",""
"c5a490e0-8a1a-4287-80a7-035eb799f51a","Pforzheimer Part 2_entry-332.0_705.txt","1827","char-offset:2375","","","","","","","","","AuctionYear","","",""
"f6f88606-ee1b-443a-836d-e06bc4b5a7d2","Pforzheimer Part 2_entry-332.0_705.txt","1143","char-offset:2385","","","","","","","","","Lot","","",""
"a5b44fb1-6ee3-420c-9285-4a432822f8d6","Pforzheimer Part 2_entry-332.0_705.txt","Britwell (1922,  Lot 482)","char-offset:2391","EVENT","","","","","","","","","","",""
"348397ce-f707-49cc-a070-ab04c822a383","Pforzheimer Part 2_entry-332.0_705.txt","Britwell","char-offset:2391","PERSON","","","","","","","","","","",""
"16f946a1-5bf4-40df-bd69-25ac1971b683","Pforzheimer Part 2_entry-332.0_705.txt","1922","char-offset:2401","","","","","","","","","AuctionYear","","",""
"99c48b5e-0309-44a3-9b0f-18be6c33f0b8","Pforzheimer Part 2_entry-332.0_705.txt","482","char-offset:2412","","","","","","","","","Lot","","",""
