"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"1e67436a-9248-4aac-8861-455a7cadb0ba","Pforzheimer Part 1_entry-2.0_App. 1.txt","App. 1","char-offset:0","","","","","","","","","ID","","",""
"8c2c2c77-b413-4d7f-ba7d-d3f7a891d282","Pforzheimer Part 1_entry-2.0_App. 1.txt","BACON, Sir Francis","char-offset:7","","","","","","","","","Author","","",""
"0189404a-648e-49f0-a1fc-a7b75626a3bb","Pforzheimer Part 1_entry-2.0_App. 1.txt","FRANCYSCF | DE VERULAMIO/ | Summi Anglie | CANCEL-  LARIF/ | Jnstauratio | magna. | Multi pertransibunt & augebitur  {cientia. [in cartouche] | LONDINI | Apud Yoannem Billium | Typo-  graphum | Regium. [imprint in cartouche] | Anno | 620. [date in tablets  either side of imprint] |","char-offset:61","","","","","","","","","Title","","",""
"b65c7ad3-cdbf-4533-b231-ae846240d036","Pforzheimer Part 1_entry-2.0_App. 1.txt","M.DC.XX","char-offset:494","","","","","","","","","Year","","",""
"b40e0ddd-234d-41f7-b7ae-7b3c94f22478","Pforzheimer Part 1_entry-3.0_App.2.txt","App.2","char-offset:0","","","","","","","","","ID","","",""
"eb3ed70c-1ddf-4a51-a115-044c1f452318","Pforzheimer Part 1_entry-3.0_App.2.txt","CORYATE, Tuomas","char-offset:6","","","","","","","","","Author","","",""
"5927d6ac-f066-4017-80c4-47b9af4428dd","Pforzheimer Part 1_entry-3.0_App.2.txt","CORYATS | CRAMBE, | OR | HIS COLWORT | TVVISE SODDEN,  AND | Now ferued in with other | Macaronicke difhes, as the | fecond  courfe to his | Crudities.","char-offset:38","","","","","","","","","Title","","",""
"0bdcd170-fdd2-4025-ac22-fccb4b048daa","Pforzheimer Part 1_entry-3.0_App.2.txt","1611","char-offset:231","","","","","","","","","Year","","",""
"5c705a91-5bac-4b34-a800-f1ff50ee23bb","Pforzheimer Part 1_entry-3.0_App.2.txt","The  Blandford (I, 1819, Lot 1151)","char-offset:1142","EVENT","","","","","","","","","","",""
"e056362c-f80a-4e9a-bae6-97c53a962853","Pforzheimer Part 1_entry-3.0_App.2.txt","The  Blandford","char-offset:1142","PERSON","","","","","","","","","","",""
