"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"547ea0a0-fe61-4606-ad02-4143d95b8a4d","Pforzheimer Part 2_entry-233.0_600.txt","Shakespeare Library","char-offset:679","PERSON","","","","","","","","","","",""
"62769fad-599d-4c67-9249-776f4fdd501d","Pforzheimer Part 2_entry-233.0_600.txt","Shakespeare Library copy, Il, 1918, Lot 213","char-offset:679","EVENT","","","","","","","","","","",""
"fb2edfab-30d9-4d10-b802-ef82918d48b4","Pforzheimer Part 2_entry-233.0_600.txt","1918","char-offset:709","","","","","","","","","AuctionYear","","",""
"e509682c-c35e-4e19-9f4a-b0b4a3dedff4","Pforzheimer Part 2_entry-233.0_600.txt","213","char-offset:719","","","","","","","","","Lot","","",""
"451dc889-08c9-4d7c-af81-9dd9263849ea","Pforzheimer Part 2_entry-232.0_599.txt","Huth","char-offset:1008","PERSON","","","","","","","","","","",""
"aa89154e-2c27-4dee-a10d-989bc1387111","Pforzheimer Part 2_entry-232.0_599.txt","Huth (IV, 1914, Lot  4425)","char-offset:1008","EVENT","","","","","","","","","","",""
"23a336f3-6d87-4535-99c5-f20b35625f89","Pforzheimer Part 2_entry-232.0_599.txt","1914","char-offset:1018","","","","","","","","","AuctionYear","","",""
"c282d9c8-c455-4fd5-8280-75978480de88","Pforzheimer Part 2_entry-232.0_599.txt","4425","char-offset:1029","","","","","","","","","Lot","","",""
"c649728f-cd4c-4a58-a6b2-be9c7e23b4a9","Pforzheimer Part 2_entry-232.0_599.txt","Clawson (1920, Lot 291)","char-offset:1037","EVENT","","","","","","","","","","",""
"9676f736-9b48-4a32-9618-e635f2cc248e","Pforzheimer Part 2_entry-232.0_599.txt","Clawson","char-offset:1037","PERSON","","","","","","","","","","",""
"93d50225-f3ee-4952-a94f-df4983cd6447","Pforzheimer Part 2_entry-232.0_599.txt","1920","char-offset:1046","","","","","","","","","AuctionYear","","",""
"34b5c52c-85fc-4dc5-bb2a-78420efcd0d9","Pforzheimer Part 2_entry-232.0_599.txt","291","char-offset:1056","","","","","","","","","Lot","","",""
"cc4ee994-7af4-4dac-a68c-1e3682f34bc7","Pforzheimer Part 2_entry-218.0_587.txt","Huth","char-offset:746","PERSON","","","","","","","","","","",""
"d25969ea-af20-419e-a8da-42d3a2c16a68","Pforzheimer Part 2_entry-218.0_587.txt","Huth (IV, 1914, Lot 4288)","char-offset:746","EVENT","","","","","","","","","","",""
"0b3888b3-ddfc-4e33-86f8-0943db9118f1","Pforzheimer Part 2_entry-218.0_587.txt","1914","char-offset:756","","","","","","","","","AuctionYear","","",""
"79395290-07cd-4ebf-abc6-d4517b62f7bb","Pforzheimer Part 2_entry-218.0_587.txt","4288","char-offset:766","","","","","","","","","Lot","","",""
"e4f9ddf1-f935-4b55-af2d-f4e179dcb963","Pforzheimer Part 2_entry-223.0_592.txt","Huth (IV, 1914, Lot 4307)","char-offset:958","EVENT","","","","","","","","","","",""
"c6a1006e-f7d5-4da9-ab05-6a3a79c65008","Pforzheimer Part 2_entry-223.0_592.txt","Huth","char-offset:958","PERSON","","","","","","","","","","",""
"241273b9-bfa9-445c-b521-547164a321ea","Pforzheimer Part 2_entry-223.0_592.txt","1914","char-offset:968","","","","","","","","","AuctionYear","","",""
"190c2605-e765-4b13-ab37-9afa48728b8a","Pforzheimer Part 2_entry-223.0_592.txt","4307","char-offset:978","","","","","","","","","Lot","","",""
"99e58f69-a628-4fdd-be61-ebdb3a7694eb","Pforzheimer Part 2_entry-222.0_591.txt","Huth (IV, 1914, Lot 4311)","char-offset:682","EVENT","","","","","","","","","","",""
"3b4385b4-5d38-4236-b1c6-7627276fa3f2","Pforzheimer Part 2_entry-222.0_591.txt","Huth","char-offset:682","PERSON","","","","","","","","","","",""
"4e7d0de8-499f-4426-87be-1d8004ccc7b5","Pforzheimer Part 2_entry-222.0_591.txt","1914","char-offset:692","","","","","","","","","AuctionYear","","",""
"6d23ed25-e0d0-45f0-ad69-d757bebc368a","Pforzheimer Part 2_entry-222.0_591.txt","4311","char-offset:702","","","","","","","","","Lot","","",""
"0371af50-2b8e-4412-a05c-88cde7dd2d26","Pforzheimer Part 2_entry-227.0_594.txt","Pembroke (1914, Lot 125)","char-offset:738","EVENT","","","","","","","","","","",""
"19e609b6-5aaa-4b0a-9401-9cfd1bc0be31","Pforzheimer Part 2_entry-227.0_594.txt","Pembroke","char-offset:738","PERSON","","","","","","","","","","",""
"8c475410-5838-4685-add6-fa890818723b","Pforzheimer Part 2_entry-227.0_594.txt","1914","char-offset:748","","","","","","","","","AuctionYear","","",""
"740c119e-ed42-4bb0-b150-748db20e836b","Pforzheimer Part 2_entry-227.0_594.txt","125","char-offset:758","","","","","","","","","Lot","","",""
"91e39ff4-ca02-4616-bd52-a68b976a54c5","Pforzheimer Part 2_entry-227.0_594.txt","Huntington","char-offset:763","PERSON","","","","","","","","","","",""
"52ddf9d7-fd3d-45e2-a1c2-f2bae27f2060","Pforzheimer Part 2_entry-219.0_588.txt","Huth","char-offset:712","PERSON","","","","","","","","","","",""
"d85cb09b-dd0d-48e3-a818-976c439c0629","Pforzheimer Part 2_entry-219.0_588.txt","Huth (IV, 1914, Lot 4309)","char-offset:712","EVENT","","","","","","","","","","",""
"1a22753b-6039-46bb-a592-90a72b3fd931","Pforzheimer Part 2_entry-219.0_588.txt","1914","char-offset:722","","","","","","","","","AuctionYear","","",""
"79865a5a-6bca-4ebd-9ffb-d077cedea879","Pforzheimer Part 2_entry-219.0_588.txt","4309","char-offset:732","","","","","","","","","Lot","","",""
"21c656ca-35ed-43a5-82c7-d49c28af9fc4","Pforzheimer Part 2_entry-228.0_595.txt","John Baynes","char-offset:3014","PERSON","","","","","","","","","","",""
"4b20bca8-6bee-4317-8b00-4fd310250845","Pforzheimer Part 2_entry-228.0_595.txt","Richard Gough (1810, Lot  2236)","char-offset:3026","EVENT","","","","","","","","","","",""
"ed7cfb20-5746-447a-a3f3-9f820d1b3271","Pforzheimer Part 2_entry-228.0_595.txt","Richard Gough","char-offset:3026","PERSON","","","","","","","","","","",""
"f62ac815-ebff-4370-810e-0eff61edcbe4","Pforzheimer Part 2_entry-228.0_595.txt","1810","char-offset:3041","","","","","","","","","AuctionYear","","",""
"bf7dd5ca-f1ab-436e-b698-6745c271862e","Pforzheimer Part 2_entry-228.0_595.txt","2236","char-offset:3052","","","","","","","","","Lot","","",""
"b65b8074-3418-474a-8eef-d7cd5c397e2b","Pforzheimer Part 2_entry-228.0_595.txt","Heber","char-offset:3060","PERSON","","","","","","","","","","",""
"060dfc76-5bfd-4016-a381-42eeecf46d4c","Pforzheimer Part 2_entry-228.0_595.txt","Heber (IV, 1834, Lot 1391)","char-offset:3060","EVENT","","","","","","","","","","",""
"56f69749-3622-476d-b15a-9aadd747d7b9","Pforzheimer Part 2_entry-228.0_595.txt","1834","char-offset:3071","","","","","","","","","AuctionYear","","",""
"c95cf7b2-9ea8-471f-8215-9587f805d803","Pforzheimer Part 2_entry-228.0_595.txt","1391","char-offset:3081","","","","","","","","","Lot","","",""
"da0aab0a-6916-4c74-b89f-2ed5d34e54be","Pforzheimer Part 2_entry-228.0_595.txt","Britwell","char-offset:3089","PERSON","","","","","","","","","","",""
"526be889-e614-4d47-91c4-af55a9850e69","Pforzheimer Part 2_entry-228.0_595.txt","Britwell (1924, Lot 485)","char-offset:3089","EVENT","","","","","","","","","","",""
"175dda41-5a4b-4490-885c-a23f99103eec","Pforzheimer Part 2_entry-228.0_595.txt","1924","char-offset:3099","","","","","","","","","AuctionYear","","",""
"bb10f394-fdd8-4e22-bd5b-21ae0a9e47b5","Pforzheimer Part 2_entry-228.0_595.txt","485","char-offset:3109","","","","","","","","","Lot","","",""
"420f03f1-3dcb-4e03-9581-ec1ebc46dc3e","Pforzheimer Part 2_entry-225.0_593.txt","Huth (IV, 1914, Lot 4301)","char-offset:771","EVENT","","","","","","","","","","",""
"774d8c05-216a-4388-b89f-e4d30b96f117","Pforzheimer Part 2_entry-225.0_593.txt","Huth","char-offset:771","PERSON","","","","","","","","","","",""
"0edf8120-f5b1-4634-9907-e7af4d30217c","Pforzheimer Part 2_entry-225.0_593.txt","1914","char-offset:781","","","","","","","","","AuctionYear","","",""
"c7de4d0a-fdbc-470d-81d3-111861f811b6","Pforzheimer Part 2_entry-225.0_593.txt","4301","char-offset:791","","","","","","","","","Lot","","",""
"588be6cb-b9b9-41ad-a2a3-7fc29bbc5f75","Pforzheimer Part 2_entry-220.0_589.txt","Huth (IV, 1914, Lot 4303)","char-offset:870","EVENT","","","","","","","","","","",""
"48e6cf05-7b41-44f9-86f8-516fd9cdfa3e","Pforzheimer Part 2_entry-220.0_589.txt","Huth","char-offset:870","PERSON","","","","","","","","","","",""
"79079d0f-4596-42d1-b0fe-ce7dee5a7233","Pforzheimer Part 2_entry-220.0_589.txt","1914","char-offset:880","","","","","","","","","AuctionYear","","",""
"f82214e5-6c1f-4bd3-a4a3-2c1703a9635b","Pforzheimer Part 2_entry-220.0_589.txt","4303","char-offset:890","","","","","","","","","Lot","","",""
