"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e09545df-b425-4087-b61e-95b1c026a61e","Pforzheimer Part 1_entry-94.0_68.txt","The Webster  (1893, Lot 731)","char-offset:1497","EVENT","","","","","","","","","","",""
"e4b9cba0-9c30-4f19-960e-036aa24c7b37","Pforzheimer Part 1_entry-94.0_68.txt","The Webster","char-offset:1497","PERSON","","","","","","","","","","",""
"8cf60c42-67a5-4b78-b5b4-7bf1186714cf","Pforzheimer Part 1_entry-94.0_68.txt","1893","char-offset:1511","","","","","","","","","AuctionYear","","",""
"83fee1ba-6e46-4e86-9f91-a31d73b063a8","Pforzheimer Part 1_entry-94.0_68.txt","731","char-offset:1521","","","","","","","","","Lot","","",""
"c9b20e21-b47c-45b4-9a3f-0a34a759b85c","Pforzheimer Part 1_entry-94.0_68.txt","Hoe (II, 1912, Lot 3218)","char-offset:1528","EVENT","","","","","","","","","","",""
"cdc93e92-f510-4ed3-a25d-40f5b45bc6cc","Pforzheimer Part 1_entry-94.0_68.txt","Hoe","char-offset:1528","PERSON","","","","","","","","","","",""
"0be9411e-01e5-4734-ab5a-f9fc764648f5","Pforzheimer Part 1_entry-94.0_68.txt","1912","char-offset:1537","","","","","","","","","AuctionYear","","",""
"5645b199-03c9-496f-83b1-2a2ff707fe97","Pforzheimer Part 1_entry-94.0_68.txt","3218","char-offset:1547","","","","","","","","","Lot","","",""
"7b79424f-3242-4725-8395-d70cdbdde55e","Pforzheimer Part 1_entry-94.0_68.txt","Huntington (private)","char-offset:1555","EVENT","","","","","","","","","","",""
"a5e72de5-739a-4c8f-b259-d94428001b15","Pforzheimer Part 1_entry-94.0_68.txt","Huntington","char-offset:1555","PERSON","","","","","","","","","","",""
"90bbff7d-7bc1-4111-a654-b31e4ed731a2","Pforzheimer Part 1_entry-94.0_68.txt","Jones","char-offset:1578","PERSON","","","","","","","","","","",""
"3210fc63-d49f-44b2-9090-813011294295","Pforzheimer Part 1_entry-94.0_68.txt","Jones (1919, Lot 1252)","char-offset:1578","EVENT","","","","","","","","","","",""
"34a18a12-b848-423b-bad0-b46141e7f33b","Pforzheimer Part 1_entry-94.0_68.txt","1919","char-offset:1585","","","","","","","","","AuctionYear","","",""
"1525bfce-9cde-4011-86ea-1a59d9f6c9b6","Pforzheimer Part 1_entry-94.0_68.txt","1252","char-offset:1595","","","","","","","","","Lot","","",""
"c82f1078-4375-46a5-8695-00cd11eb4c8d","Pforzheimer Part 1_entry-98.0_71.txt","The Huth (I, 1912, Lot 793)","char-offset:1783","EVENT","","","","","","","","","","",""
"da9d3c9e-3338-46e0-a8c6-8fe915289026","Pforzheimer Part 1_entry-98.0_71.txt","The Huth","char-offset:1783","PERSON","","","","","","","","","","",""
"ab7bea65-2939-490e-99d5-f13f00cca7a4","Pforzheimer Part 1_entry-98.0_71.txt","1912","char-offset:1796","","","","","","","","","AuctionYear","","",""
"08cf00c5-f9d7-4f9b-becf-85076e99ab0e","Pforzheimer Part 1_entry-98.0_71.txt","793","char-offset:1806","","","","","","","","","Lot","","",""
"127bbc7e-18b1-4e7d-b0c4-31bf14893ec0","Pforzheimer Part 1_entry-98.0_71.txt","Cox","char-offset:1813","PERSON","","","","","","","","","","",""
"7fa9a304-27f1-44ed-ab91-dfecba29f5d1","Pforzheimer Part 1_entry-98.0_71.txt","Cox (Pickering  & Chatto Cat. 188, 1920, Lot 2394)","char-offset:1813","EVENT","","","","","","","","","","",""
"d765d441-af59-4793-9c22-d993ea2374f7","Pforzheimer Part 1_entry-98.0_71.txt","1920","char-offset:1849","","","","","","","","","AuctionYear","","",""
"37f1d624-3609-4f83-8290-74af3c3aab5e","Pforzheimer Part 1_entry-98.0_71.txt","2394","char-offset:1859","","","","","","","","","Lot","","",""
"07a2cdf9-d1f9-4e8d-a4fd-e609e4839378","Pforzheimer Part 1_entry-98.0_71.txt","Leo (1921, Lot 15)","char-offset:1865","EVENT","","","","","","","","","","",""
"15cc9657-dd8d-4414-83f5-68ce6594b61c","Pforzheimer Part 1_entry-98.0_71.txt","Leo","char-offset:1865","PERSON","","","","","","","","","","",""
"5148dbea-4cab-4c78-88ee-ffb5ea3d227d","Pforzheimer Part 1_entry-98.0_71.txt","1921","char-offset:1870","","","","","","","","","AuctionYear","","",""
"e7e6f786-4c62-481f-870c-3a01a08911a4","Pforzheimer Part 1_entry-98.0_71.txt","15","char-offset:1880","","","","","","","","","Lot","","",""
"06e3575d-f8f9-40ba-998f-0cb17415e28f","Pforzheimer Part 1_entry-101.0_74.txt","The Samuel Prince","char-offset:2394","PERSON","","","","","","","","","","",""
"fc4726c4-60d1-47a9-9e6a-765e42613fd8","Pforzheimer Part 1_entry-101.0_74.txt","The Samuel Prince (untraced in sale)","char-offset:2394","EVENT","","","","","","","","","","",""
"f29cb53d-796d-4221-bc04-36f000508971","Pforzheimer Part 1_entry-101.0_74.txt","Huth (I, 1911, Lot 800)","char-offset:2434","EVENT","","","","","","","","","","",""
"9287eff1-7766-48f4-858a-c17219c6934f","Pforzheimer Part 1_entry-101.0_74.txt","Huth","char-offset:2434","PERSON","","","","","","","","","","",""
"b4532337-9c87-417d-9ef4-bf49b35f1de0","Pforzheimer Part 1_entry-101.0_74.txt","1911","char-offset:2443","","","","","","","","","AuctionYear","","",""
"958f4eb5-bf6d-4588-a108-60e853c574fc","Pforzheimer Part 1_entry-101.0_74.txt","800","char-offset:2453","","","","","","","","","Lot","","",""
"48ea52d5-9707-4657-a4a6-81a719c51bdd","Pforzheimer Part 1_entry-101.0_74.txt","Cox (Pickering & Chatto Cat. 188, 1920, Lot 2984)","char-offset:2460","EVENT","","","","","","","","","","",""
"77a33a21-d8d3-4b3b-89bc-c85404796aab","Pforzheimer Part 1_entry-101.0_74.txt","Cox","char-offset:2460","PERSON","","","","","","","","","","",""
"481e8f99-86d3-4205-81f1-4d0bbce350fb","Pforzheimer Part 1_entry-101.0_74.txt","1920","char-offset:2494","","","","","","","","","AuctionYear","","",""
"72d389b8-42be-4392-b034-899b1da2c537","Pforzheimer Part 1_entry-101.0_74.txt","2984","char-offset:2504","","","","","","","","","Lot","","",""
"ab781820-883c-4e6d-97ce-1758b150c75f","Pforzheimer Part 1_entry-105.0_75.txt","The Benoit le Court","char-offset:1338","EVENT","","","","","","","","","","",""
"e7653be7-7819-41fb-b299-7ebe91541829","Pforzheimer Part 1_entry-105.0_75.txt","E.Ph.Goldschmidt","char-offset:1358","EVENT","","","","","","","","","","",""
"73094d2f-caa3-4b8f-94a0-7fa19123f7e6","Pforzheimer Part 1_entry-100.0_73.txt","The Hagen (1918, Lot 741)","char-offset:1588","EVENT","","","","","","","","","","",""
"38737987-8bb3-49bf-af65-8acd8ac15cfe","Pforzheimer Part 1_entry-100.0_73.txt","The Hagen","char-offset:1588","PERSON","","","","","","","","","","",""
"1e006f95-df41-4acb-974b-92d938605948","Pforzheimer Part 1_entry-100.0_73.txt","1918","char-offset:1599","","","","","","","","","AuctionYear","","",""
"d7f6eea5-69a8-4f9d-9a65-f923b8d7ccd9","Pforzheimer Part 1_entry-100.0_73.txt","741","char-offset:1609","","","","","","","","","Lot","","",""
"b88f86da-a5f3-46f2-989a-41673e00955f","Pforzheimer Part 1_entry-100.0_73.txt","Clawson (I, 1926, Lot 54)","char-offset:1616","EVENT","","","","","","","","","","",""
"512169d7-8324-46c6-b230-699587160240","Pforzheimer Part 1_entry-100.0_73.txt","Clawson","char-offset:1616","PERSON","","","","","","","","","","",""
"a3084f02-5af5-4169-8581-c45d700f10c1","Pforzheimer Part 1_entry-100.0_73.txt","1926","char-offset:1628","","","","","","","","","AuctionYear","","",""
"14dc5a61-ef15-4cfe-9687-4db0f6ab3690","Pforzheimer Part 1_entry-100.0_73.txt","54","char-offset:1638","","","","","","","","","Lot","","",""
"e9cb0e63-3e0e-464a-ab63-8581b193ceb0","Pforzheimer Part 1_entry-99.0_72.txt","The Cox","char-offset:985","PERSON","","","","","","","","","","",""
"0df4f6d8-991d-48e2-b953-52276cf956c4","Pforzheimer Part 1_entry-99.0_72.txt","The Cox  (Pickering & Chatto Cat. 188, 1920, Lot 2394)","char-offset:985","EVENT","","","","","","","","","","",""
"ae5ac14a-c1c2-4a44-afc8-fd7753dec1e3","Pforzheimer Part 1_entry-99.0_72.txt","1920","char-offset:1024","","","","","","","","","AuctionYear","","",""
"e54cfafa-a426-4e82-bf69-fb801314c82b","Pforzheimer Part 1_entry-99.0_72.txt","2394","char-offset:1034","","","","","","","","","Lot","","",""
"d85d6e89-d7b2-48c6-bfb8-5d290be0d8fa","Pforzheimer Part 1_entry-99.0_72.txt","Leo (1921, Lot 15)","char-offset:1041","EVENT","","","","","","","","","","",""
"1d842090-88f0-4dad-bacd-057a2cbc142f","Pforzheimer Part 1_entry-99.0_72.txt","Leo","char-offset:1041","PERSON","","","","","","","","","","",""
"aa838787-d2c2-4269-8aa0-9517642a4bb5","Pforzheimer Part 1_entry-99.0_72.txt","1921","char-offset:1046","","","","","","","","","AuctionYear","","",""
"b31ac24c-cfa5-42a6-bf5d-542db1851020","Pforzheimer Part 1_entry-99.0_72.txt","15","char-offset:1056","","","","","","","","","Lot","","",""
"33e0c13b-61cf-4b24-8493-8b4f2644578b","Pforzheimer Part 1_entry-107.5_76.txt","The Jones","char-offset:1565","PERSON","","","","","","","","","","",""
"35a99255-389e-4023-a4fc-c4724a18ecd6","Pforzheimer Part 1_entry-107.5_76.txt","The Jones (I, 1918, Lot 220)","char-offset:1565","EVENT","","","","","","","","","","",""
"3ef756e4-236a-4c01-8f31-fe3d645e4a0d","Pforzheimer Part 1_entry-107.5_76.txt","1918","char-offset:1579","","","","","","","","","AuctionYear","","",""
"ba504111-a29a-4a3e-a0b6-e708ed9150c2","Pforzheimer Part 1_entry-107.5_76.txt","220","char-offset:1589","","","","","","","","","Lot","","",""
