"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"18f31e15-80f4-4fbd-a520-243f9c98a885","Pforzheimer Part 2_entry-314.0_685.txt","Kemble (1797)","char-offset:607","EVENT","","","","","","","","","","",""
"87e22f40-09a3-4e64-962f-a2485ef7b242","Pforzheimer Part 2_entry-314.0_685.txt","Kemble","char-offset:607","PERSON","","","","","","","","","","",""
"86a5c8bc-782f-41ce-9776-fe4e4c64ea66","Pforzheimer Part 2_entry-314.0_685.txt","1797","char-offset:615","","","","","","","","","AuctionYear","","",""
"2add0fff-1a0d-4485-82b0-53fb6834e95c","Pforzheimer Part 2_entry-314.0_685.txt","Devonshire","char-offset:624","PERSON","","","","","","","","","","",""
"63a61781-d373-49f6-bf83-2805c6f7b40c","Pforzheimer Part 2_entry-314.0_685.txt","Huntington","char-offset:636","PERSON","","","","","","","","","","",""
"3936bbfd-2586-40f6-9d90-263d1ee3fb0c","Pforzheimer Part 2_entry-311.0_681.txt","Mostyn","char-offset:1278","PERSON","","","","","","","","","","",""
"6e47249c-5715-4961-9f70-be01fa9a8867","Pforzheimer Part 2_entry-311.0_681.txt","Mostyn (1919, Lot 218)","char-offset:1278","EVENT","","","","","","","","","","",""
"7c8158d6-fb74-41bd-a0f9-c2a15e724a1b","Pforzheimer Part 2_entry-311.0_681.txt","1919","char-offset:1286","","","","","","","","","AuctionYear","","",""
"f5ee7468-0e0f-4298-a4e9-facb312c073f","Pforzheimer Part 2_entry-311.0_681.txt","218","char-offset:1296","","","","","","","","","Lot","","",""
"91c89c5e-5f82-4307-8650-92abf4f0c502","Pforzheimer Part 2_entry-311.0_681.txt","Chew (I, 1924,","char-offset:1301","EVENT","","","","","","","","","","",""
"32628349-ac4f-451b-9d1a-cb722293c4ca","Pforzheimer Part 2_entry-311.0_681.txt","Chew","char-offset:1301","PERSON","","","","","","","","","","",""
"a36ff71b-f050-433e-afc5-aa2a4307ff6b","Pforzheimer Part 2_entry-311.0_681.txt","1924","char-offset:1310","","","","","","","","","AuctionYear","","",""
"45d0259f-2307-4d56-934a-b6b70a419ce9","Pforzheimer Part 2_entry-316.0_687.txt","Kemble","char-offset:728","PERSON","","","","","","","","","","",""
"a94d1c04-e85a-4059-b427-964948bae355","Pforzheimer Part 2_entry-316.0_687.txt","Kemble (1798)","char-offset:728","EVENT","","","","","","","","","","",""
"ac9c550d-f0d0-4592-be9d-91a5c1a8066d","Pforzheimer Part 2_entry-316.0_687.txt","1798","char-offset:736","","","","","","","","","AuctionYear","","",""
"6c778f75-f348-4679-9fb5-52460c47538a","Pforzheimer Part 2_entry-316.0_687.txt","Devonshire","char-offset:745","PERSON","","","","","","","","","","",""
"63c2fbed-4e6a-46f6-95d4-174c55465be7","Pforzheimer Part 2_entry-316.0_687.txt","Huntington","char-offset:757","PERSON","","","","","","","","","","",""
"2009bb15-8513-49f6-aee2-b2c0b068e5b8","Pforzheimer Part 2_entry-309.0_678.txt","Bridgewater","char-offset:629","PERSON","","","","","","","","","","",""
"942f4d61-f173-44eb-be82-51c9a8548044","Pforzheimer Part 2_entry-309.0_678.txt","Huntington","char-offset:643","PERSON","","","","","","","","","","",""
"9d0d8937-0775-4897-8955-1d58f7cf753e","Pforzheimer Part 2_entry-309.0_678.txt","Huntington (VIII, 1918, Lot 322)","char-offset:643","EVENT","","","","","","","","","","",""
"ebecbe91-9b7f-4835-b9b8-a6456f93edf3","Pforzheimer Part 2_entry-309.0_678.txt","1918","char-offset:661","","","","","","","","","AuctionYear","","",""
"7ca4bcdb-bc5a-4e35-88f6-6da9d147d17b","Pforzheimer Part 2_entry-309.0_678.txt","322","char-offset:671","","","","","","","","","Lot","","",""
"29c833cd-89e4-4901-9dd0-10981077b730","Pforzheimer Part 2_entry-309.0_678.txt","Clawson  (I, 1926, Lot 523)","char-offset:678","EVENT","","","","","","","","","","",""
"0677610f-12fe-45b4-86d2-657219ee4d9b","Pforzheimer Part 2_entry-309.0_678.txt","Clawson","char-offset:678","PERSON","","","","","","","","","","",""
"94d9f44a-200c-4a13-8e5d-ad2ddc75d3f9","Pforzheimer Part 2_entry-309.0_678.txt","1926","char-offset:691","","","","","","","","","AuctionYear","","",""
