"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"1fd71002-2bc6-4382-85e0-2e138bb37c8f","Pforzheimer Part 3_entry-323.0_1089.txt","Hoe (IV, 1912, Lot 3281)","char-offset:1288","EVENT","","","","","","","","","","",""
"b7e26b1b-5912-4dc2-a06e-f281091ed24a","Pforzheimer Part 3_entry-323.0_1089.txt","Hoe","char-offset:1288","PERSON","","","","","","","","","","",""
"00c14845-6259-4992-8422-b0859ccae83c","Pforzheimer Part 3_entry-323.0_1089.txt","1912","char-offset:1297","","","","","","","","","AuctionYear","","",""
"fbf4bfca-b21d-4c61-88ae-f455a4a0fd69","Pforzheimer Part 3_entry-323.0_1089.txt","3281","char-offset:1307","","","","","","","","","Lot","","",""
"b8048e04-aac0-4106-8425-cd7f34dd8f59","Pforzheimer Part 3_entry-323.0_1089.txt","Chew","char-offset:1313","PERSON","","","","","","","","","","",""
"02d26722-7395-445a-a5c0-0bcdce72b8be","Pforzheimer Part 3_entry-323.0_1089.txt","Chew    (I,                 1924, Lot 461)","char-offset:1313","EVENT","","","","","","","","","","",""
"78ff3bce-3638-443e-8caf-4c5b8479a79c","Pforzheimer Part 3_entry-323.0_1089.txt","1924","char-offset:1341","","","","","","","","","AuctionYear","","",""
"063897cb-4392-41d2-bc19-b2c7dc91e6ff","Pforzheimer Part 3_entry-323.0_1089.txt","461","char-offset:1351","","","","","","","","","Lot","","",""
"4e9427d5-8257-4aa4-934f-47055786f746","Pforzheimer Part 3_entry-320.0_1086.txt","Hoe (IV, 1912, Lot 3284)","char-offset:1510","EVENT","","","","","","","","","","",""
"4699eca6-13ec-4f9e-994f-dd19f1aba338","Pforzheimer Part 3_entry-320.0_1086.txt","Hoe","char-offset:1510","PERSON","","","","","","","","","","",""
"f8e44d08-2d9a-4b7c-bba6-ffb23fcd1cca","Pforzheimer Part 3_entry-320.0_1086.txt","1912","char-offset:1519","","","","","","","","","AuctionYear","","",""
"65bde19a-6172-4fee-9adb-660d33188daf","Pforzheimer Part 3_entry-320.0_1086.txt","3284","char-offset:1529","","","","","","","","","Lot","","",""
"d161c68a-8a2f-4bc9-a22c-f16ac3fcae78","Pforzheimer Part 3_entry-322.0_1088.txt","Bridgewater","char-offset:1727","PERSON","","","","","","","","","","",""
"d859a36f-3a0f-45da-b2f0-cadd89af2415","Pforzheimer Part 3_entry-322.0_1088.txt","Huntington (VII, 1918,                                Lot 933)","char-offset:1741","EVENT","","","","","","","","","","",""
"b36b38ff-68c5-4a2e-b186-9a8694e24d9c","Pforzheimer Part 3_entry-322.0_1088.txt","Huntington","char-offset:1741","PERSON","","","","","","","","","","",""
"1a44e11f-4c23-43c9-a2ea-033159080f88","Pforzheimer Part 3_entry-322.0_1088.txt","1918","char-offset:1758","","","","","","","","","AuctionYear","","",""
"687bf391-be29-4d69-9d73-c8d85b0020e5","Pforzheimer Part 3_entry-322.0_1088.txt","933","char-offset:1799","","","","","","","","","Lot","","",""
"35b1aa1d-4237-47fe-b713-a84775ac6b30","Pforzheimer Part 3_entry-321.0_1087.txt","John                 Scott (1905, Lot  886)","char-offset:2034","EVENT","","","","","","","","","","",""
"34b11e96-ce5a-4cad-931b-dbed14c91d62","Pforzheimer Part 3_entry-321.0_1087.txt","John                 Scott","char-offset:2034","PERSON","","","","","","","","","","",""
"75f826e6-b21f-476e-8c04-abe1a4fc21ea","Pforzheimer Part 3_entry-321.0_1087.txt","1905","char-offset:2062","","","","","","","","","AuctionYear","","",""
"b627e674-a0c7-4d9b-a986-f0ebd41980b1","Pforzheimer Part 3_entry-321.0_1087.txt","886","char-offset:2073","","","","","","","","","Lot","","",""
"d5a77eef-c885-4e01-a30a-7efa25ca870a","Pforzheimer Part 3_entry-321.0_1087.txt","Hoe   (IV, 1912, Lot 3280)","char-offset:2078","EVENT","","","","","","","","","","",""
"4848de21-1925-46f8-879d-d7d5327f6484","Pforzheimer Part 3_entry-321.0_1087.txt","Hoe","char-offset:2078","PERSON","","","","","","","","","","",""
"00522b4c-25b6-4d99-b743-eff2f0745963","Pforzheimer Part 3_entry-321.0_1087.txt","1912","char-offset:2089","","","","","","","","","AuctionYear","","",""
"30e12cea-78bc-403d-81d7-b3b97d006e51","Pforzheimer Part 3_entry-321.0_1087.txt","3280","char-offset:2099","","","","","","","","","Lot","","",""
"2977e009-41db-4030-b7fb-ae4e074f9476","Pforzheimer Part 3_entry-321.0_1087.txt","Vickery","char-offset:2105","PERSON","","","","","","","","","","",""
"4cc8880c-5f50-4cd9-a5d9-645371c4da0c","Pforzheimer Part 3_entry-321.0_1087.txt","Vickery    (1933, Lot 162)","char-offset:2105","EVENT","","","","","","","","","","",""
"f34d2612-4d7d-412f-8ab5-67914e1fa81f","Pforzheimer Part 3_entry-321.0_1087.txt","1933","char-offset:2117","","","","","","","","","AuctionYear","","",""
"95187a23-634d-4f21-8860-56d1f671c46f","Pforzheimer Part 3_entry-321.0_1087.txt","162","char-offset:2127","","","","","","","","","Lot","","",""
"55a15510-9b52-4c19-bb72-7eb8e7310ed7","Pforzheimer Part 3_entry-314.0_1081.txt","James Crossley","char-offset:1091","PERSON","","","","","","","","","","",""
"6cddee18-0265-4d7c-b808-f2721521473a","Pforzheimer Part 3_entry-314.0_1081.txt","Chew","char-offset:1108","PERSON","","","","","","","","","","",""
"46bcf53a-f8e4-49bc-aa83-842def7c4bd7","Pforzheimer Part 3_entry-314.0_1081.txt","Huntington                (VII, 1918, Lot 937)","char-offset:1114","EVENT","","","","","","","","","","",""
"332bae8c-aa43-4760-8e58-3442398e3097","Pforzheimer Part 3_entry-314.0_1081.txt","Huntington","char-offset:1114","PERSON","","","","","","","","","","",""
"5d6a6e1a-291a-4a89-ae1c-0f23ba3bd473","Pforzheimer Part 3_entry-314.0_1081.txt","1918","char-offset:1146","","","","","","","","","AuctionYear","","",""
"fa4a8916-63a5-4582-b075-74e4094192ab","Pforzheimer Part 3_entry-314.0_1081.txt","937","char-offset:1156","","","","","","","","","Lot","","",""
"c30d08ca-77d6-4149-b42d-c24c3045aea3","Pforzheimer Part 3_entry-326.0_1092.txt","Chew","char-offset:1900","PERSON","","","","","","","","","","",""
"c4170f3a-1bca-43b7-b837-e0d32e599fb7","Pforzheimer Part 3_entry-326.0_1092.txt","Huntington","char-offset:1906","PERSON","","","","","","","","","","",""
"4c0433d6-79ca-4c2b-962d-07a841fde12b","Pforzheimer Part 3_entry-326.0_1092.txt","Huntington (VII, 1918, Lot 932)","char-offset:1906","EVENT","","","","","","","","","","",""
"f1befa0a-c397-40d3-8c5e-64776b7c768c","Pforzheimer Part 3_entry-326.0_1092.txt","1918","char-offset:1923","","","","","","","","","AuctionYear","","",""
"eb52408b-6ce7-482a-82d1-0acad7bc5541","Pforzheimer Part 3_entry-326.0_1092.txt","932","char-offset:1933","","","","","","","","","Lot","","",""
"904f517e-2f2f-4d91-a3c8-29db04dbadac","Pforzheimer Part 3_entry-327.0_1093.txt","Shakespeare Library Sale (I, 1918, Lot                 726).","char-offset:3247","EVENT","","","","","","","","","","",""
"4e92d25f-3769-40eb-b035-2583b8fe69c8","Pforzheimer Part 3_entry-327.0_1093.txt","Shakespeare Library Sale","char-offset:3247","PERSON","","","","","","","","","","",""
"f2bf39c3-0fee-4c95-a857-b0ddf9196351","Pforzheimer Part 3_entry-327.0_1093.txt","1918","char-offset:3276","","","","","","","","","AuctionYear","","",""
"ddf86494-9f65-49a2-9514-97afca4ef66b","Pforzheimer Part 3_entry-327.0_1093.txt","726","char-offset:3302","","","","","","","","","Lot","","",""
"f5a6956b-556b-44e2-bf07-5a1c0578fd50","Pforzheimer Part 3_entry-313.5_1080.txt","W.T. Wallace","char-offset:2406","PERSON","","","","","","","","","","",""
"3339b281-1434-4399-a850-c74561572fdd","Pforzheimer Part 3_entry-313.5_1080.txt","W.T. Wallace                                 (1920, Lot 1542)","char-offset:2406","EVENT","","","","","","","","","","",""
"aeee6cf7-80a1-48bd-b6c2-df9f017ce617","Pforzheimer Part 3_entry-313.5_1080.txt","1920","char-offset:2452","","","","","","","","","AuctionYear","","",""
"2bc6f880-6235-45f7-a12d-551b8608b358","Pforzheimer Part 3_entry-313.5_1080.txt","1542","char-offset:2462","","","","","","","","","Lot","","",""
"d775c9fd-a177-460a-9027-0b999aaade5b","Pforzheimer Part 3_entry-313.5_1080.txt","Clawson","char-offset:2468","PERSON","","","","","","","","","","",""
"ff57d82a-0d35-4215-bdf3-712154c18fd7","Pforzheimer Part 3_entry-313.5_1080.txt","Clawson   (II, 1926, Lot 916)","char-offset:2468","EVENT","","","","","","","","","","",""
"569cff9a-8d93-4eea-8e42-f9600cb1e745","Pforzheimer Part 3_entry-313.5_1080.txt","1926","char-offset:2483","","","","","","","","","AuctionYear","","",""
"6ba416f8-e43a-45fa-912f-92a1af1a40f7","Pforzheimer Part 3_entry-313.5_1080.txt","916","char-offset:2493","","","","","","","","","Lot","","",""
"8e9b371e-0751-4d89-9e44-354358fdb738","Pforzheimer Part 3_entry-316.0_1082.txt","For binding and  provenance  see Iuvenilia","char-offset:1083","EVENT","","","","","","","","","","",""
"09739cc7-0f47-44c3-b092-ae6ec863d4ff","Pforzheimer Part 3_entry-318.0_1084.txt","Heber  (IV,  1834, Lot 2936)","char-offset:1322","EVENT","","","","","","","","","","",""
"d405bbc1-f2da-4d31-b3cd-2525038c1830","Pforzheimer Part 3_entry-318.0_1084.txt","Heber","char-offset:1322","PERSON","","","","","","","","","","",""
"8476c9d0-5e99-40db-8e25-c8d038a10677","Pforzheimer Part 3_entry-318.0_1084.txt","1834","char-offset:1335","","","","","","","","","AuctionYear","","",""
"b8480b2f-93f4-4e99-96d5-8bc248e96ce9","Pforzheimer Part 3_entry-318.0_1084.txt","2936","char-offset:1345","","","","","","","","","Lot","","",""
"20553d14-c0fb-4ff7-89c6-b14f822ef75b","Pforzheimer Part 3_entry-318.0_1084.txt","Britwell","char-offset:1351","PERSON","","","","","","","","","","",""
"675a9dcd-b861-4798-8500-a99aac6b4b7d","Pforzheimer Part 3_entry-318.0_1084.txt","Britwell                                 (1924, Lot 839)","char-offset:1351","EVENT","","","","","","","","","","",""
"7a7b9e19-cc8a-4661-a7b3-21246f55687a","Pforzheimer Part 3_entry-318.0_1084.txt","1924","char-offset:1393","","","","","","","","","AuctionYear","","",""
