"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5026e0f9-8565-405b-b333-37fa03aeb54a","Pforzheimer Part 2_entry-365.0_734.txt","Heber","char-offset:1273","PERSON","","","","","","","","","","",""
"0ad77e28-b510-4c81-818a-505dc3f49264","Pforzheimer Part 2_entry-365.0_734.txt","Heber (VIII, 1836,  Lot 1542)","char-offset:1273","EVENT","","","","","","","","","","",""
"a9a9fa60-76ae-4cfe-89ae-5123fb3543e5","Pforzheimer Part 2_entry-365.0_734.txt","1836","char-offset:1286","","","","","","","","","AuctionYear","","",""
"eaa91c62-2b91-493e-be25-071f4a3d10f8","Pforzheimer Part 2_entry-365.0_734.txt","1542","char-offset:1297","","","","","","","","","Lot","","",""
"8cd23e6b-852a-4d83-8d4a-0fdaffa1c989","Pforzheimer Part 2_entry-365.0_734.txt","Britwell","char-offset:1304","PERSON","","","","","","","","","","",""
"8504b01e-af1b-4966-8404-0173b553e299","Pforzheimer Part 2_entry-365.0_734.txt","Britwell (1923, Lot 483)","char-offset:1304","EVENT","","","","","","","","","","",""
"f63f3c89-a4cc-4971-9cac-6210f223132f","Pforzheimer Part 2_entry-365.0_734.txt","1923","char-offset:1314","","","","","","","","","AuctionYear","","",""
"81edd11f-152c-418d-a7a7-4088fff9f571","Pforzheimer Part 2_entry-365.0_734.txt","483","char-offset:1324","","","","","","","","","Lot","","",""
"00d3af7a-6c0e-4db0-9478-738a995be034","Pforzheimer Part 2_entry-364.0_733.txt","Major Thomas Pearson (1788)","char-offset:1050","EVENT","","","","","","","","","","",""
"64c272c8-60b7-4e5c-b8f2-de95c9efd3c0","Pforzheimer Part 2_entry-364.0_733.txt","Major Thomas Pearson","char-offset:1050","PERSON","","","","","","","","","","",""
"91ee1753-96c5-4b72-b3f7-a98104d6a963","Pforzheimer Part 2_entry-364.0_733.txt","1788","char-offset:1072","","","","","","","","","AuctionYear","","",""
"f094048f-3298-4b5d-ba0d-1455fc6532c5","Pforzheimer Part 2_entry-364.0_733.txt","Heber","char-offset:1078","PERSON","","","","","","","","","","",""
"51b498d8-a405-4df9-a930-01d253795884","Pforzheimer Part 2_entry-364.0_733.txt","Heber (IV, 1834, Lot 1570)","char-offset:1078","EVENT","","","","","","","","","","",""
"79b19f8d-32fd-479d-878d-86307d4d8be7","Pforzheimer Part 2_entry-364.0_733.txt","1834","char-offset:1089","","","","","","","","","AuctionYear","","",""
"5bd90fd2-b53c-4dff-b685-de16bbf59760","Pforzheimer Part 2_entry-364.0_733.txt","1570","char-offset:1099","","","","","","","","","Lot","","",""
"07bc2adc-27a6-4517-b755-94e4a38df745","Pforzheimer Part 2_entry-364.0_733.txt","Britwell (March 1924, Lot  555)","char-offset:1106","EVENT","","","","","","","","","","",""
