"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"dbfe63de-f7d7-42f5-9ec1-36192f9395f8","Pforzheimer Part 2_entry-294.0_664.txt","Bridgewater","char-offset:937","PERSON","","","","","","","","","","",""
"0e5628d6-39e9-4efc-bfa6-319208320286","Pforzheimer Part 2_entry-294.0_664.txt","Huntington","char-offset:951","PERSON","","","","","","","","","","",""
"a2305d23-b80b-4f74-9a2f-7a66d2e57910","Pforzheimer Part 2_entry-294.0_664.txt","Jones (1923, Lot  127)","char-offset:963","EVENT","","","","","","","","","","",""
"158def3d-dad1-438d-a575-6ba3759c9149","Pforzheimer Part 2_entry-294.0_664.txt","Jones","char-offset:963","PERSON","","","","","","","","","","",""
"c95b57e2-967f-4120-befe-90ddfb9344b5","Pforzheimer Part 2_entry-294.0_664.txt","1923","char-offset:970","","","","","","","","","AuctionYear","","",""
"45ece7a4-b2cd-4e2e-8a34-c1b55e12dd31","Pforzheimer Part 2_entry-294.0_664.txt","127","char-offset:981","","","","","","","","","Lot","","",""
"d9a56294-9646-4f9d-9ef5-e6edbda2f847","Pforzheimer Part 2_entry-294.0_664.txt","Clawson","char-offset:987","PERSON","","","","","","","","","","",""
"82e538bb-908a-4b70-8651-bc828bb1bba1","Pforzheimer Part 2_entry-294.0_664.txt","Clawson (I, 1926, Lot 499)","char-offset:987","EVENT","","","","","","","","","","",""
"8664bb28-110e-4fc5-afcd-27cbd60d4e03","Pforzheimer Part 2_entry-294.0_664.txt","1926","char-offset:999","","","","","","","","","AuctionYear","","",""
"9ad7887e-fe33-4d8e-ac9f-5100e615ceb5","Pforzheimer Part 2_entry-294.0_664.txt","499","char-offset:1009","","","","","","","","","Lot","","",""
"c3165878-f4a1-4832-ae45-b4404ad294d1","Pforzheimer Part 2_entry-297.0_666.txt","Wright (1787, Lot 1814)","char-offset:798","EVENT","","","","","","","","","","",""
"498053bb-04be-4cb1-b7cd-baf8407157a9","Pforzheimer Part 2_entry-297.0_666.txt","Wright","char-offset:798","PERSON","","","","","","","","","","",""
"d299b5ba-216b-4b3b-b58f-301ae571fcc1","Pforzheimer Part 2_entry-297.0_666.txt","1787","char-offset:806","","","","","","","","","AuctionYear","","",""
"f4bd4a64-9ae0-4130-bebb-14082ccf31dd","Pforzheimer Part 2_entry-297.0_666.txt","1814","char-offset:816","","","","","","","","","Lot","","",""
"4858ef49-99d3-41e9-b753-80b6d7903f1e","Pforzheimer Part 2_entry-297.0_666.txt","Kemble","char-offset:824","PERSON","","","","","","","","","","",""
"eff9cb32-22e9-400a-b5b5-714704f6677b","Pforzheimer Part 2_entry-297.0_666.txt","Kemble (1797)","char-offset:824","EVENT","","","","","","","","","","",""
"9038a633-bdd8-45ad-9df7-fa89ddb97f74","Pforzheimer Part 2_entry-297.0_666.txt","1797","char-offset:832","","","","","","","","","AuctionYear","","",""
"dec0accf-9087-4bd7-b6d9-be93cfcf4dc3","Pforzheimer Part 2_entry-297.0_666.txt","Devonshire","char-offset:840","PERSON","","","","","","","","","","",""
"aa21c7d7-116f-4ab9-9e02-9aa14c45f5f1","Pforzheimer Part 2_entry-297.0_666.txt","Huntington","char-offset:852","PERSON","","","","","","","","","","",""
