"source","relation","target","source_id","source_tags","target_id","target_tags"
"Black","Sold to","Britwell","09a049ca-bb37-48a3-a346-1792ae7c622f","","8182ca75-d156-4782-b7de-456cd4fb989f",""
"Heber","Sold to","Britwell","83d5de10-4885-480e-8519-5417974fc22d","","9542b02a-079f-465c-bda0-285fc4f5695a",""
"Devonshire","Sold to","Huntington","18e1f91a-b428-4b38-b7cc-5cf5efe8bb3c","","7e85663e-aa12-4a11-878f-8de51a44e74f",""
"Huntington","Sold to","Jones","7e85663e-aa12-4a11-878f-8de51a44e74f","","416fe752-66f9-4ba0-be03-fe3ac2bf74b6",""
"Roxburghe","Sold to","Heber","dcfdb77e-6438-453a-bbb6-6c791c4cd10d","","18d5d8b1-2d98-4026-afac-d78dca873d79",""
"Jones","Sold to","Clawson","416fe752-66f9-4ba0-be03-fe3ac2bf74b6","","738f5112-74e8-44d2-8b86-25ffd83fe4c8",""
"Bright","Sold to","Corser","a5eb0692-5112-4109-9740-7260c6349241","","dd723629-82c3-43a1-a676-c251816af53d",""
"Hoe","Sold to","Huntington","c22ca054-4aa9-42aa-9b37-7b473ab1f706","","c36fbdd3-b753-415b-a5ff-5370e9534a3e",""
"Chew","Sold to","Huntington","2c9fa2f9-03fa-4723-a6c1-b686e2e03113","","1b859844-60f7-422e-a902-7a1877c5a245",""
"Mostyn","Sold to","Clawson","55bfe290-5d2d-4701-9177-e0e11fe428c0","","d5634c7e-0bb9-478c-80dd-e78e574c5c08",""
"Heber","Sold to","Devonshire","18d5d8b1-2d98-4026-afac-d78dca873d79","","18e1f91a-b428-4b38-b7cc-5cf5efe8bb3c",""
"Mostyn","Sold to","Clawson","07265e85-594d-4e1b-87cd-3a0bdb765036","","4f90baf8-23e9-4c40-ab1c-d919b5f2b69c",""
"Huth","Sold to","Clawson","fe32d6c0-ab97-4d1b-b66c-c4a2ce12d648","","b9f37d2d-8f54-4447-a2e1-038ede606507",""
"Corser","Sold to","Huth","dd723629-82c3-43a1-a676-c251816af53d","","fe32d6c0-ab97-4d1b-b66c-c4a2ce12d648",""
