"source","relation","target","source_id","source_tags","target_id","target_tags"
"Heber","Sold to","Britwell","b8dbc4a1-7123-43dc-8f5c-10fc14c94042","","f8d82ed9-1371-4a8a-b92b-8051a7f0b796",""
"W.W.E. Wynne","Sold to","Ashburnham","24a04f35-7f09-4fe3-9444-26ce2ca49b33","","095393e4-e0a2-4a27-a64f-7f2455b75c1c",""
"Bridgewater","Sold to","Bindley","d65ec7d0-83d3-45e5-8df9-3d5e696515c1","","36a8de1e-d03a-460e-929d-c1ba6acd3bd2",""
"Thomas Brooke","Sold to","Lady Brooke","d3445979-4927-4d48-a11c-b9791493d779","","503ae172-41ce-41e9-be07-95ff3ff2d23d",""
"Ashburnham","Sold to","Thomas Brooke","095393e4-e0a2-4a27-a64f-7f2455b75c1c","","d3445979-4927-4d48-a11c-b9791493d779",""
"J.C. Williams","Sold to","J-T.Snyder","48d2766f-e6a4-492e-90a8-ef5ba4cd2185","","bffdfbd8-72e7-418c-9ad7-de40866fb5f4",""
"Lady Brooke","Sold to","J.C. Williams","503ae172-41ce-41e9-be07-95ff3ff2d23d","","48d2766f-e6a4-492e-90a8-ef5ba4cd2185",""
"Willet","Sold to","Devonshire","31fd925f-a206-4797-9258-ade78829f9ad","","abceb64f-f1e0-41ea-9180-b755da4ec066",""
"West","Sold to","Willet","0ce34c5b-da37-4ed7-9c62-0c4d3c0c1a1d","","31fd925f-a206-4797-9258-ade78829f9ad",""
"Bindley","Sold to","Heber","36a8de1e-d03a-460e-929d-c1ba6acd3bd2","","b8dbc4a1-7123-43dc-8f5c-10fc14c94042",""
"Edmund Ferrers","Sold to","Hagen","4d8c2e83-a45e-468e-b13c-0a17e5fae049","","14b22823-853e-4686-bfaa-319587fc5211",""
"Devonshire","Sold to","Huntington","abceb64f-f1e0-41ea-9180-b755da4ec066","","964e6032-8f5a-495f-8bad-1701c740fb37",""
