"source","relation","target","source_id","source_tags","target_id","target_tags"
"Lefferts","Sold to","Hagen","971ec9e5-1880-47b5-9e3d-6a6d5b46bd72","","453cb98b-c338-4e58-9a47-91c2758b427e",""
"Hagen","Sold to","Clawson","24fe16ec-ac20-4d10-9ec8-aa939812eba6","","bdee53fb-5433-4520-b176-346da88719fd",""
"Hagen","Sold to","Clawson","453cb98b-c338-4e58-9a47-91c2758b427e","","ca8bdc5f-bccd-4df2-90b2-f4e62a6abd68",""
"Hoe","Sold to","Huntington","83cc9e5f-0f97-4027-903e-da3eb9d4e2fe","","d1059860-3745-4cc7-b8a9-fe3c2b712c1a",""
"Sotheby’s","Next in chain","Hagen","62b5d246-f3d9-4d29-b33b-0849c68b92e1","","812ffe5b-cfae-4470-9dc6-a904953814c6",""
"Lefferts","Sold to","Hoe","0408d8a6-e283-4258-ac8d-b9d7f99ea8a6","","83cc9e5f-0f97-4027-903e-da3eb9d4e2fe",""
"William Collet 
of the Hale","Sold to","Clawson","63717057-1595-4d35-9cb4-b7b61610912f","","204ee1c6-3486-4bf7-b789-7cbfcb39529e",""
"Hoe","Sold to","Huntington","61ed630d-6983-4c47-ab34-0e5036e2347d","","8da3cf4d-8aa1-4fdb-926f-e5b21d5a2a05",""
"Hagen","Sold to","Clawson","f1eb2a50-bf79-4deb-9754-65d68a41d269","","a85d4778-f158-4fcd-9f3a-e190b225c132",""
"Wi 
4 iper","Sold to","Leffe","65e05ca7-5a08-4f1e-8468-6b95bca54ff7","","4af0e3f3-bc2d-4e57-a9a9-c241bbf7e079",""
"Leffe","Sold to","Hagen","4af0e3f3-bc2d-4e57-a9a9-c241bbf7e079","","82fab644-5206-4970-9af0-aea20cb3fc66",""
