"source","relation","target","source_id","source_tags","target_id","target_tags"
"Lefferts","Sold to","Chew","85ead7ac-5ac9-45f8-bf76-19adcaab044e","","9c1af7e6-d28f-4bcb-80c2-fec2496cae0a",""
"The Holgate","Sold to","Lefferts","d57fb7fe-9c93-46b8-875d-969899f57396","","85ead7ac-5ac9-45f8-bf76-19adcaab044e",""
"The Heber","Sold to","Britwell","46f4e821-78d1-4c5e-97b0-f3c89a80bfe6","","ee664856-40ea-4933-9ee5-1cd61054c1a2",""
"The Bridgewater","Sold to","Huntington","c026960d-3bc5-4dcc-9904-4e2e6e98afdb","","afcf279d-0a0a-4c89-a3d2-10ae63a37ebb",""
"Huntington","Sold to","Clawson","afcf279d-0a0a-4c89-a3d2-10ae63a37ebb","","682e0aee-857a-40a3-8a73-fa8d9fc7b7c8",""
"Chew","Sold to","Huntington","9c1af7e6-d28f-4bcb-80c2-fec2496cae0a","","ea435e90-6798-4156-ab0a-6eec02e9127f",""
"Devonshire","Sold to","Huntington (private)","36dcb7b9-b174-41f9-aee4-2b93c33da0cb","","96ce5900-cb49-4534-8a62-a0a622cb2eea",""
"The Hoe","Sold to","Hagen","e5ed1690-419c-4b7a-8e93-d87789d26b59","","46154c5f-63b1-4bc2-ba7d-7c056794f411",""
"The Kemble","Sold to","Devonshire","ea6a1c12-62e8-4ad1-af15-440898d68453","","9a9d1189-2d4d-45dc-905b-bac6ca86954a",""
"The Kemble","Sold to","Devonshire","422656eb-451a-4b95-b5b7-ca45a62cd12b","","36dcb7b9-b174-41f9-aee4-2b93c33da0cb",""
"Lamport Hall collection","Sold to","Britwell","ede174ef-2e71-417e-8e9d-f6fb6425acd1","","64029c80-8c8f-4f37-a3d9-a1b99c767cab",""
"Devonshire","Sold to","Huntington (private)","9a9d1189-2d4d-45dc-905b-bac6ca86954a","","70de6529-1d58-4e11-acea-c6b779b73c0b",""
