"source","relation","target","source_id","source_tags","target_id","target_tags"
"Jones","Next in chain","Clawson","e3773537-301e-4612-b7b9-e19426d5bdd3","","39cd5744-1434-41fa-a667-720f5427156b",""
"Winans","Next in chain","Jones","01b947a5-8efd-45a5-b246-0bcc34cd4ca0","","f183c5ba-35a5-4659-b062-3a7740c4a32a",""
"The 
Heber","Next in chain","Britwell","4bd09498-0816-4314-9488-3db1061ccd73","","bc7432d4-3639-48de-bf53-8791c42ea9e4",""
"The Bridgewater","Next in chain","Huntington","d4930539-88dd-45e0-9973-8bc50df471df","","de24dacc-3bf3-4b7d-8ca7-7f3b23280791",""
"Huntington","Next in chain","Jones","de24dacc-3bf3-4b7d-8ca7-7f3b23280791","","61f36355-b20f-4b31-bd2e-5fd23ac8aa57",""
"The Huth","Next in chain","Clawson","0db1b5f1-087a-4c3b-871b-dc1b35480182","","b19d9ad7-9976-47de-9a29-54dfa48a6b96",""
"Huntington","Next in chain","Clawson","56699da3-1219-44b9-bf93-c999fc2a85ff","","9423c415-9612-4a8d-9829-c2913b803332",""
"The McKee","Next in chain","Winans","87c28c8b-80e5-4348-a24e-6f173a6e04a0","","01b947a5-8efd-45a5-b246-0bcc34cd4ca0",""
"Jones","Next in chain","Clawson","f183c5ba-35a5-4659-b062-3a7740c4a32a","","8f75e6b7-f3b0-4822-aa1f-12477bd2bd38",""
"Britwell","Next in chain","Clawson","bc7432d4-3639-48de-bf53-8791c42ea9e4","","0ae7fe9c-4c71-4336-861b-616d6c61031a",""
"The Fountaine","Next in chain","Jones","6b87e47e-f799-43b3-a73e-7ddf61f2a8b7","","e3773537-301e-4612-b7b9-e19426d5bdd3",""
"The Hoe","Next in chain","Huntington","1c4d8740-1b1a-442d-a764-7ee28108588c","","56699da3-1219-44b9-bf93-c999fc2a85ff",""
"The Halsey","Next in chain","Huntington","93b4d62e-4f17-454d-b7f7-12792938ea60","","46ad92eb-5cd9-4b98-b51c-fde9d1239cc6",""
