"source","relation","target","source_id","source_tags","target_id","target_tags"
"Huntington","Sold to","English Literature from London","8e826419-d70f-410d-b666-99ff0a0a0642","","cd23ce43-32bf-4a5c-9b71-b6af8312f633",""
"Chew","Sold to","Huntington","54c992e8-6a98-4bca-a106-0de1d873a3df","","8e826419-d70f-410d-b666-99ff0a0a0642",""
"Britwell","Sold to","Clawson","c62e6a86-0f4d-4f98-a829-23ec49549645","","d33c7f35-9325-47c4-8904-12811878b717",""
"Joseph Lilly","Sold to","Huth","ecc07982-325c-4837-8558-bd0a587eb3d7","","dae1e415-2006-4cce-907f-8ccc1197874c",""
"Roxburghe","Sold to","J.M.Rice","4f781804-26ca-4e46-9eef-282795003631","","6b56465c-22d1-4af9-9ab3-6c8315da58ef",""
"Pearson","Sold to","George Mason","228f884f-8d07-41ff-96e4-b6ba59073ac8","","bcb64a07-28fb-4369-9633-8146bd158011",""
"George Mason","Sold to","Roxburghe","bcb64a07-28fb-4369-9633-8146bd158011","","4f781804-26ca-4e46-9eef-282795003631",""
"J.M.Rice","Sold to","Britwell","6b56465c-22d1-4af9-9ab3-6c8315da58ef","","5120e844-1552-4f0f-9a18-57bfea1ede4b",""
"Chalmers","Sold to","Britvell","d36cf51f-ee97-4297-8f2f-95366a067d49","","f2d3e4f6-331d-4e52-9b29-eca8ef94a654",""
"A.H.Joline","Sold to","Mark Robin- 
son","e338e3d8-2f3d-4552-9a69-b65ab679f915","","54364c47-73b8-49e7-9d18-98ed32c52f9c",""
"Britvell","Sold to","Jones","f2d3e4f6-331d-4e52-9b29-eca8ef94a654","","467dd271-f808-4940-b38c-f2a8cc541a14",""
"Britwell","Sold to","Sotheby’s","249ec2fd-a7fd-442b-8d04-2ec614f1dca0","","f8f6d094-0ae6-4fb7-bf12-7f7d9fe5b006",""
"E.M.Cox","Sold to","Clawson","50c9cbfd-eca1-480e-83ba-f91467f000c5","","7a0beb83-55b2-4aaf-b506-ebbe29eecf69",""
"Huth","Sold to","E.M.Cox","dae1e415-2006-4cce-907f-8ccc1197874c","","50c9cbfd-eca1-480e-83ba-f91467f000c5",""
"Poor","Sold to","Huntington","c1fd8384-14c3-4693-a3c9-aa40b59562df","","bfe6e261-e9dd-4486-b48f-a093af6f6a36",""
"Harding and Lepard","Sold to","Britwell","09371a42-d861-48b2-96ff-ab547c390f0b","","c62e6a86-0f4d-4f98-a829-23ec49549645",""
