"source","relation","target","source_id","source_tags","target_id","target_tags"
"Halsey","Sold to","Huntington","e94f58ac-7581-4198-ae79-38d8719db9be","","306ece22-22f0-4749-b32d-34f33b98e443",""
"Hibbert","Sold to","Britwell","a42baad8-56ad-4dd0-9627-90ec9bc6942e","","cab018e8-34f4-46ce-bb6c-209db34e0ff4",""
"Fountaine","Sold to","Clawson","63e95886-8061-40c9-9323-719c16bdfa8b","","d84d7be4-b175-465a-9a63-7621d42d00ba",""
"Church","Sold to","Huntington","bb7d1bb0-6357-4d75-854f-9021d47002af","","dfe395d3-ea66-4bf8-bebf-a344c0478ab3",""
"Col. Grant","Sold to","Locker","8d7b1a1d-0aa0-4225-859f-718ac8dc4da3","","36bcf36a-01f1-459c-acd5-510706af26ec",""
"Locker","Sold to","Church","36bcf36a-01f1-459c-acd5-510706af26ec","","bb7d1bb0-6357-4d75-854f-9021d47002af",""
"Caldecott","Sold to","Britwell","8502eeb5-ef42-480b-bb0d-38a8cda3d6b4","","bf532f91-643d-46f8-9fce-fe0b3c607ea4",""
"Huntington","Sold to","Thomas Bell","dfe395d3-ea66-4bf8-bebf-a344c0478ab3","","f980b1d1-c43d-422b-940c-af54495671c4",""
"Bridgewater","Sold to","Huntington","3fc74e48-8c4b-4816-b7b3-8553dc156463","","105248f8-f7de-42d5-8998-56395e0d4a8e",""
"Winans","Sold to","Jones","ee0eeaf8-865d-4a60-8483-fde186ed29cb","","82620883-e7df-4304-9163-bb40410f691a",""
"Bindley","Sold to","Hibbert","2b5993cd-845f-4b81-9b0c-cbc5e9fb3319","","a42baad8-56ad-4dd0-9627-90ec9bc6942e",""
