CatalogNum	UUID	QUOTE_TRANSCRIPTION	Person	AuctionYear	Lot	PersonUUID
1	393451d4-c22d-4b6c-9523-0aa94776ed17	The Corser (V, 1870, Lot 825)	Corser	1870	Lot 825	4d0279af-2cc9-414a-94ff-434bd4026789
1	6254a51d-d9d4-4713-976a-be32fccd7c01	Kershaw (1877,  Lot 1387)	Kershaw	1877	Lot 1387	88d21fc2-44f9-4adc-ba52-8774bd2db0e0
1	eb11a1f8-c8fb-4492-b727-952f6686446e	Huth (VII, 1918, Lot 7090)	Huth	1918	Lot 7090	eae86a2d-87e2-483c-a2eb-5874f7f676ea
1001	fc572e52-0091-42ca-8e09-3eaa6b9f6ee7	Bridgewater	Bridgewater			fc572e52-0091-42ca-8e09-3eaa6b9f6ee7
1001	fa06f697-0827-417c-bbcb-d5443e4c70f1	Huntington	Huntington			fa06f697-0827-417c-bbcb-d5443e4c70f1
1001	56fc0193-c8c1-49b3-a003-d504e3760045	English Literature from London  (1919,                             Lot 320a)	English Literature from London	1919	320a	ea3f8c37-5ebf-4b92-a5ac-6e3265d0c62f
1002	c05dce96-787e-47ea-994a-14926f8d5efb	Hoe (IV, 1912, Lot 3092)	Hoe	1912	3092	5c562c1e-3a45-43a8-a3c9-df44764bcddd
1003	eb83bbd4-2f8b-41de-959c-ced548c2f847	Roxburghe (1812,                  Lot 5943)	Roxburghe	1812	5943	402765df-a34f-40c8-9183-ae230bb20746
1003	557729bc-1a0d-4b07-bc35-956526846d4b	Kemble (1814)	Kemble	1814		7d5b60e4-b37f-4ee2-b37c-0b79fb0efdaf
1003	0dd8bf1f-f3d7-4bb3-b514-b968e2eb3f6a	Devonshire	Devonshire			
1003	fec4228b-0d7f-4142-adad-ea523f59b691	Huntington	Huntington			
1004	f277bdf8-e1b4-47d6-bc03-6da87264b4c5	Jolley (IV, 1844, Lot                                  1085)	Jolley	1844	1085	1d6caa9a-823c-44d5-bc2d-be9861cafeaf
1004	4dfbeeb4-fb7f-4839-a456-956e98de39ee	Hoe (III, 1912, Lot 3146)	Hoe	1912	3146	3bf17b5c-1fbb-4381-a729-40ea7e2b80c3
1004	af76a72a-5abd-410f-bf09-e541f6d83248	Huntington (VII, 1918, Lot 843)	Huntington	1918	843	c39bce76-ff50-495e-a669-c15e0e5968e9
1005	95c48226-c97c-47c6-b1d5-2ef920d02836	Kemble (1798)	Kemble	1798		30fb91a4-53f4-4c73-bbd4-a635d8037e76
1005	c702bb40-3955-40a3-ade2-c34853d3a072	Devonshire	Devonshire			
1005	1049d701-8783-4a63-b8c2-85747d8ce5f7	Huntington	Huntington			
1006	524ce060-c691-4f52-b40e-ef17f7b956f0	Lefferts (1902, Lot 1310)	Lefferts	1902	1310	98bc5b64-510b-45e4-92fe-7ad0e307679d
1006	cb33a1a1-dddb-4159-8da9-ee170c78e232	Hagen  (1918, Lot 1258)	Hagen	1918	1258	2cdb4cd1-c6ed-49ff-8ebb-1408f3f27913
1007	aba8dff3-48a1-456d-a021-d678adf5f8d1	Chalmers	Chalmers			
1007	6c1cd7cd-c0d9-4adc-8eaf-ec2fa028d647	Britwell (1924, Lot 762)	Britwell	1924	762	49637a0f-77b0-4ee7-955d-274b8f6e1457
1008	2d5b1a99-b7be-4283-945e-a4c01a0ecbca	Mark P. Robinson  (II, 1918, Lot 226)	Mark P. Robinson	1918	226	43966f10-5905-4418-9fcd-6a6410fc6794
