source,relation,target,source_id,target_id
Kemble,Sold to,Devonshire,ec2dba72-7994-42b2-bad1-a9ca7ea2f4e5,77799202-94a3-49de-907e-4179d2707d78
Steeves,Sold to,G.D.Smith,c4c5f2f7-cbbd-43bc-9e7c-026644731e07,ecc24349-ad43-4d42-b198-036989e88281
James Perry,Sold to,Jolley,9dd71847-c38d-4602-8adc-5fd2130d45a7,07f6f70b-d07b-4154-a190-2a5e7f7ec9f1
Bright,Next in chain (maybe),Comerford,b16d570f-a56e-4779-89f8-8dc9130e02a0,e56a223d-f2b5-438b-b708-d47f65d8df98
Jones,Sold to,Clawson,94718cfc-e04c-4460-8d34-58d7ad1050fc,ee016e7e-85f5-446e-accb-ff68deed5ca3
H.G.Read,Next in chain,McKee library,f141d8ee-d289-4428-8acd-c7afee1781be,d522c6d7-247d-4191-8967-3add166449ab
Bridgewater,Sold to,Huntington,109cb08b-ceac-4fd8-9cce-1dc111befbec,061f035c-487e-4c25-941c-f5140da737c4
Sotheby’s,Sold to,G.D.Smith,59156046-9194-4a8a-a6ba-45190e7da42f,c3d88f6b-76a4-4e0d-96eb-5f7ef0611de2
Devonshire,Sold to,Huntington,77799202-94a3-49de-907e-4179d2707d78,6167344f-49ba-4d4c-9cb7-4a4f5efecb51
R.S.Turner,Sold to,Charles Butler of Warren Wood,1b495085-5881-44b6-98e7-4a00a7acbc63,b2774666-d87d-4521-b235-d43d686c889c
Ouvry,Sold to,_Locker,71247b79-e399-4e03-9028-e9cdcb66ed42,f92e1eab-327a-4f5c-be4d-a3e8f244b590
Heber,Sold to,Britwell,211698f9-b100-4a23-af02-9f4e8e84a673,275c1f80-b17e-40eb-981e-2470ffe13042
McKee library,Next in chain,Sotheby’s,d522c6d7-247d-4191-8967-3add166449ab,59156046-9194-4a8a-a6ba-45190e7da42f
Comerford,Next in chain,G.D.Smith,e56a223d-f2b5-438b-b708-d47f65d8df98,e561c6f8-45f5-40ea-8595-39589564a267
E.D.Church,Sold to,Huntington,734caf6a-4755-4583-8800-8f7860156ad1,cf1c8086-0862-4257-ab28-9d4998e45930
Charles Butler of Warren Wood,Sold to,Steeves,b2774666-d87d-4521-b235-d43d686c889c,c4c5f2f7-cbbd-43bc-9e7c-026644731e07
Scott’s Cat.,Sold to,James Perry,df66402a-96a3-451d-bdf8-4521fddccd4a,9dd71847-c38d-4602-8adc-5fd2130d45a7
Jolley,Next in chain,Charles Clark of Totham Hall,07f6f70b-d07b-4154-a190-2a5e7f7ec9f1,fe5afaa0-3b4e-476e-aaf0-6361b70b8185
Charles Clark of Totham Hall,Next in chain,H.G.Read,fe5afaa0-3b4e-476e-aaf0-6361b70b8185,f141d8ee-d289-4428-8acd-c7afee1781be
"C.L.F,Robinson",Sold to,Chew,7d65b4af-b8fe-40b2-bbe2-d3d80af28a1b,fdafebfd-e37d-4100-80a5-13199699716d
_Locker,Sold to,Hoe,f92e1eab-327a-4f5c-be4d-a3e8f244b590,0ec4d38b-c843-4cb0-8b8c-ed4a542e1823
Hoe,Sold to,"C.L.F,Robinson",0ec4d38b-c843-4cb0-8b8c-ed4a542e1823,7d65b4af-b8fe-40b2-bbe2-d3d80af28a1b
Mostyn,Sold to,Clawson,5bd2449f-37b8-4045-802d-0fe6b9157dda,7875ed7f-f61c-402f-8395-41a18088ef4d
Sir Henry Spelman,Sold to,Rev. Cox Macro,6cc7336a-a6b0-4445-ba13-213f3425a17c,a3806a17-f9bd-4671-a0e5-2f0e73475c56
G.D.Smith,Sold to,Clawson,dcb9eb90-52aa-47ff-ab89-b4cd4bc090d2,9df19186-107d-448d-82f3-268d9e06572c
Tite,Sold to,Huth,37320498-7d42-48f1-9413-8f417c50f197,83237578-6d44-4d9d-b90e-2f9fdaa1627a
Inglis,Sold to,Britwell,19c20183-0846-407f-b2ae-b970b59cba0e,8fffe0d4-1075-4365-a5e5-5a6cb32d8f76
Mostyn,Sold to,Clawson,c708cd0d-364f-407d-9ca6-887eac8cc532,21e13b7f-67f1-45eb-a29c-4f4fd68db899
Bliss,Sold to,Hoe,d382b898-7e1a-45c5-a654-4dd6cfa54083,c316b788-a8e8-4229-b17a-635472f3b97d
Mostyn,Sold to,G.D.Smith,37fde9ac-27d1-4030-bdab-b2b0bb5f330f,dcb9eb90-52aa-47ff-ab89-b4cd4bc090d2
Mostyn,Sold to,Clawson,e08aae0f-50d9-460f-af6d-b2de031b4d91,dfa85f83-6f78-4fb8-b0f9-af18d8848490
Jones,Sold to,Clawson,6f3b5dcd-af97-4224-907e-2df94239d53b,d900b757-a6c4-4920-8fe6-10db0369144d
Puttick’s,Next in chain,Jones,5bf7b3ff-7c3c-4672-a160-984978e36de4,6f3b5dcd-af97-4224-907e-2df94239d53b
Rev. Cox Macro,Next in chain,"John Pattenson, M.P. for Norwich",a3806a17-f9bd-4671-a0e5-2f0e73475c56,df0a8452-67c7-4369-9c42-5bb857381684
"John Pattenson, M.P. for Norwich",Sold to,Hudson Gurney,df0a8452-67c7-4369-9c42-5bb857381684,fc9db9b3-24fc-4c1b-8d89-94a5e3ef925d
Hoe,Sold to,Huntington,c316b788-a8e8-4229-b17a-635472f3b97d,3a1aa095-bc24-4e61-96cb-ad75bafe14cc
Mostyn,Sold to,Clawson,307f6511-bdde-4f30-bd10-6f463e7517e3,e0bf45c7-342f-4c4a-b383-480a20838e05
Corser,Sold to,Tite,c425292e-3424-465a-9d82-4439e6755692,37320498-7d42-48f1-9413-8f417c50f197
Huth,Sold to,Jones,83237578-6d44-4d9d-b90e-2f9fdaa1627a,52b739bd-67d6-4410-9b94-230422efb3d1
Hoe,Sold to,Huntington,b694af9b-2c01-446f-84b0-0cf3ebaf9994,3de3db24-a688-4a91-92a1-685d7bd2770c
Devonshire,Sold to,Huntington,75ed0d08-3e87-44b6-88f5-b9f9b79928ff,3577b77b-ed6c-4fa4-b69c-3c2b48f1e80f
M.J.Perry,Sold to,Jones,f53f4056-704f-4ff0-92b1-eb2c1c4d98c5,bbfdfd1e-35e7-48ac-b8df-6d4784fa130b
Sotheby’s,Next in chain,and,c2f85571-9ea8-4ac3-9c2d-1f7941f05e89,5dba3754-aea4-4115-9a34-b992336f882c
