"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"8571a8f6-e69a-4853-af84-37f208646e13","Pforzheimer Part 2_entry-399.0_774.txt","Mostya","char-offset:854","PERSON","","","","","","","","","","",""
"45740ea1-9b9b-44dd-904d-c92decce4a57","Pforzheimer Part 2_entry-399.0_774.txt","Mostya (1919, Lot 265)","char-offset:854","EVENT","","","","","","","","","","",""
"fe557f40-88b6-4c30-98fa-c6869e891db6","Pforzheimer Part 2_entry-399.0_774.txt","1919","char-offset:862","","","","","","","","","AuctionYear","","",""
"cce5509f-5ebe-4646-9bd6-8a73d7b2d3f6","Pforzheimer Part 2_entry-399.0_774.txt","265","char-offset:872","","","","","","","","","Lot","","",""
"1929fe8e-8387-43de-9723-c6f280282947","Pforzheimer Part 2_entry-399.5_775.txt","Emmet (1918, Lot 608)","char-offset:1048","EVENT","","","","","","","","","","",""
"7154759a-5087-400b-bbb3-c6c5f670e11d","Pforzheimer Part 2_entry-399.5_775.txt","Emmet","char-offset:1048","PERSON","","","","","","","","","","",""
"035f2347-b0c1-4e67-b512-c113a293e48d","Pforzheimer Part 2_entry-399.5_775.txt","1918","char-offset:1055","","","","","","","","","AuctionYear","","",""
"6811247f-f942-4d9c-9e2a-89067438d383","Pforzheimer Part 2_entry-399.5_775.txt","608","char-offset:1065","","","","","","","","","Lot","","",""
"240f07a1-02a6-4d4b-99de-c1815fd9254c","Pforzheimer Part 2_entry-401.0_777.txt","Forman (I, 1920, Lot  531)","char-offset:690","EVENT","","","","","","","","","","",""
"ae62d3a5-9401-4a27-a301-775efeb2c2b5","Pforzheimer Part 2_entry-401.0_777.txt","Forman","char-offset:690","PERSON","","","","","","","","","","",""
"32bb32c2-a3af-45ab-9a83-4b69ab6f9af2","Pforzheimer Part 2_entry-401.0_777.txt","1920","char-offset:701","","","","","","","","","AuctionYear","","",""
"6955e94c-ddee-4dce-8814-9e56c2efc9a0","Pforzheimer Part 2_entry-401.0_777.txt","531","char-offset:712","","","","","","","","","Lot","","",""
"ec2dba72-7994-42b2-bad1-a9ca7ea2f4e5","Pforzheimer Part 2_entry-403.0_779.txt","Kemble  (1798)","char-offset:717","EVENT","","","","","","","","","","",""
"023fe879-48cb-4768-96dc-7932330275b5","Pforzheimer Part 2_entry-403.0_779.txt","Kemble","char-offset:717","PERSON","","","","","","","","","","",""
"2405f1fe-3f25-4290-b9be-907f710ed039","Pforzheimer Part 2_entry-403.0_779.txt","1798","char-offset:726","","","","","","","","","AuctionYear","","",""
"77799202-94a3-49de-907e-4179d2707d78","Pforzheimer Part 2_entry-403.0_779.txt","Devonshire","char-offset:734","PERSON","","","","","","","","","","",""
"6167344f-49ba-4d4c-9cb7-4a4f5efecb51","Pforzheimer Part 2_entry-403.0_779.txt","Huntington (VIII, 1918, Lot 363)","char-offset:746","EVENT","","","","","","","","","","",""
"3ddee66b-004e-4c19-b4ff-84f78cf70eae","Pforzheimer Part 2_entry-403.0_779.txt","Huntington","char-offset:746","PERSON","","","","","","","","","","",""
"beaebe46-23ef-4e97-986a-237293d72f22","Pforzheimer Part 2_entry-403.0_779.txt","1918","char-offset:764","","","","","","","","","AuctionYear","","",""
"a56e387e-c6c8-4be1-86e7-9581933294fa","Pforzheimer Part 2_entry-403.0_779.txt","363","char-offset:774","","","","","","","","","Lot","","",""
"86e9d0d2-8f29-4ea8-b22b-e600d2554156","Pforzheimer Part 2_entry-392.5_767.txt","Jones","char-offset:1068","PERSON","","","","","","","","","","",""
"94718cfc-e04c-4460-8d34-58d7ad1050fc","Pforzheimer Part 2_entry-392.5_767.txt","Jones (1923, Lot 44)","char-offset:1068","EVENT","","","","","","","","","","",""
"fed69809-2ad8-4460-94ae-3ef185deca40","Pforzheimer Part 2_entry-392.5_767.txt","1923","char-offset:1075","","","","","","","","","AuctionYear","","",""
"a77eef49-d0d6-4f7a-8883-b98169027164","Pforzheimer Part 2_entry-392.5_767.txt","44","char-offset:1085","","","","","","","","","Lot","","",""
