"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"c535f5ba-69d2-4db3-97c3-c15f732241c1","Pforzheimer Part 2_entry-134.0_523.txt","Puttick’s","char-offset:858","PERSON","","","","","","","","","","",""
"5bf7b3ff-7c3c-4672-a160-984978e36de4","Pforzheimer Part 2_entry-134.0_523.txt","Puttick’s  (26 June 1918, Lot 182)","char-offset:858","EVENT","","","","","","","","","","",""
"07f1886b-e01e-4aed-869a-19115f563d02","Pforzheimer Part 2_entry-134.0_523.txt","1918","char-offset:879","","","","","","","","","AuctionYear","","",""
"17c4f216-d76c-4160-82cc-5759402d755b","Pforzheimer Part 2_entry-134.0_523.txt","182","char-offset:889","","","","","","","","","Lot","","",""
"7add1bf3-a8e2-4acf-b8b6-3b85a8b54cf5","Pforzheimer Part 2_entry-134.0_523.txt","Jones","char-offset:913","PERSON","","","","","","","","","","",""
"6f3b5dcd-af97-4224-907e-2df94239d53b","Pforzheimer Part 2_entry-134.0_523.txt","Jones (1919, Lo","char-offset:913","EVENT","","","","","","","","","Lot 875A
","",""
"a9d66130-23ae-4a22-96ae-f78dd6e0b220","Pforzheimer Part 2_entry-134.0_523.txt","1919","char-offset:920","","","","","","","","","AuctionYear","","",""
"69e921ab-33a3-467f-81b3-63547fd4bc3a","Pforzheimer Part 2_entry-134.0_523.txt","Clawson","char-offset:979","PERSON","","","","","","","","","","",""
"d900b757-a6c4-4920-8fe6-10db0369144d","Pforzheimer Part 2_entry-134.0_523.txt","Clawson (I, 1924  ","char-offset:979","EVENT","","","","","","","","","Lot 423","",""
"307f6511-bdde-4f30-bd10-6f463e7517e3","Pforzheimer Part 2_entry-135.0_524.txt","Mostyn (1919, Lot 338)","char-offset:1112","EVENT","","","","","","","","","","",""
"8eb9beed-c998-4023-911f-9f5aec325ff7","Pforzheimer Part 2_entry-135.0_524.txt","Mostyn","char-offset:1112","PERSON","","","","","","","","","","",""
"05fe49ed-7c9f-42c4-99be-4df59efd4f39","Pforzheimer Part 2_entry-135.0_524.txt","1919","char-offset:1120","","","","","","","","","AuctionYear","","",""
"d1385334-4019-4704-8787-7b43a7563177","Pforzheimer Part 2_entry-135.0_524.txt","338","char-offset:1130","","","","","","","","","Lot","","",""
"e0bf45c7-342f-4c4a-b383-480a20838e05","Pforzheimer Part 2_entry-135.0_524.txt","Clawson  (I, 1926, Lot 420)","char-offset:1137","EVENT","","","","","","","","","","",""
"03392e8f-9d13-4cc7-889f-97527f67b2be","Pforzheimer Part 2_entry-135.0_524.txt","Clawson","char-offset:1137","PERSON","","","","","","","","","","",""
"10806048-d888-403b-bda9-e8d237dc4c1b","Pforzheimer Part 2_entry-135.0_524.txt","1926","char-offset:1150","","","","","","","","","AuctionYear","","",""
"cc773835-c6c2-45a3-b775-09898c68a8d0","Pforzheimer Part 2_entry-135.0_524.txt","420","char-offset:1160","","","","","","","","","Lot","","",""
"d7452d6d-7651-4e82-8205-a1ee4095fff7","Pforzheimer Part 2_entry-136.0_525.txt","Mostyn (1919, Lot 343)","char-offset:1006","EVENT","","","","","","","","","","",""
"c09e9d2a-fda2-42cb-9c71-45290674f3e1","Pforzheimer Part 2_entry-136.0_525.txt","Mostyn","char-offset:1006","PERSON","","","","","","","","","","",""
"f2d0009b-c49d-48ca-b3d1-5a057804e8c1","Pforzheimer Part 2_entry-136.0_525.txt","1919","char-offset:1014","","","","","","","","","AuctionYear","","",""
"5e13a961-211d-448a-a9c8-941fc0957b8a","Pforzheimer Part 2_entry-136.0_525.txt","343","char-offset:1024","","","","","","","","","Lot","","",""
"6364fd06-9392-4cc1-9c09-25831a42369c","Pforzheimer Part 2_entry-139.0_526.txt","Mostyn","char-offset:506","PERSON","","","","","","","","","","",""
"c708cd0d-364f-407d-9ca6-887eac8cc532","Pforzheimer Part 2_entry-139.0_526.txt","Mostyn (1919, Lot 361)","char-offset:506","EVENT","","","","","","","","","","",""
"16a86a50-3b7f-40a3-a1ad-0e90b8f9ca2f","Pforzheimer Part 2_entry-139.0_526.txt","1919","char-offset:514","","","","","","","","","AuctionYear","","",""
"cb26af98-17ad-4513-b220-7b22b43d86b7","Pforzheimer Part 2_entry-139.0_526.txt","361","char-offset:524","","","","","","","","","Lot","","",""
"4e9408ec-bae5-4c2a-9da1-c012bcbe1cbd","Pforzheimer Part 2_entry-139.0_526.txt","Clawson","char-offset:531","PERSON","","","","","","","","","","",""
"21e13b7f-67f1-45eb-a29c-4f4fd68db899","Pforzheimer Part 2_entry-139.0_526.txt","Clawson  (1, 1926, Lot 424)","char-offset:531","EVENT","","","","","","","","","","",""
"400ec32a-0027-4b75-b568-8f59dfc69e32","Pforzheimer Part 2_entry-139.0_526.txt","1926","char-offset:544","","","","","","","","","AuctionYear","","",""
"d3de6e48-c5c8-4b03-982b-e64825e15636","Pforzheimer Part 2_entry-139.0_526.txt","424","char-offset:554","","","","","","","","","Lot","","",""
"30980184-19e9-44f0-a633-ec3995539a90","Pforzheimer Part 2_entry-141.0_528.txt","]","char-offset:1106","EVENT","","","","","","","","","Jones 1919 Lot 930","",""
"c425292e-3424-465a-9d82-4439e6755692","Pforzheimer Part 2_entry-140.0_527.txt","Corser (II, 1869, Lot 712)","char-offset:653","EVENT","","","","","","","","","","",""
"b3b0b90c-8a8e-4f70-8a83-4e8e01e95402","Pforzheimer Part 2_entry-140.0_527.txt","Corser","char-offset:653","PERSON","","","","","","","","","","",""
"0560cd35-e5ed-4262-998b-adae4f4f7e85","Pforzheimer Part 2_entry-140.0_527.txt","1869","char-offset:665","","","","","","","","","AuctionYear","","",""
"b648b213-f68a-440b-908e-f6e2bc04fd2d","Pforzheimer Part 2_entry-140.0_527.txt","712","char-offset:675","","","","","","","","","Lot","","",""
"37320498-7d42-48f1-9413-8f417c50f197","Pforzheimer Part 2_entry-140.0_527.txt","Tite  (4874, Lot 1586)","char-offset:680","EVENT","","","","","","","","","","",""
"a6a55750-e55d-4f11-8eda-77a116a3f646","Pforzheimer Part 2_entry-140.0_527.txt","Tite","char-offset:680","PERSON","","","","","","","","","","",""
"08751e5b-ee97-498a-90e0-6599ee595c56","Pforzheimer Part 2_entry-140.0_527.txt","4874","char-offset:687","","","","","","","","","AuctionYear","1874","",""
"8c205847-9af5-4e03-98d3-5c74254dcfa1","Pforzheimer Part 2_entry-140.0_527.txt","1586","char-offset:697","","","","","","","","","Lot","","",""
"83237578-6d44-4d9d-b90e-2f9fdaa1627a","Pforzheimer Part 2_entry-140.0_527.txt","Huth (IV, 1914, Lot 3978)","char-offset:703","EVENT","","","","","","","","","","",""
"cf8e47e1-c657-45de-bd0d-3732839ad4ac","Pforzheimer Part 2_entry-140.0_527.txt","Huth","char-offset:703","PERSON","","","","","","","","","","",""
"91e25e8e-456d-4bcf-85d9-fdb30c61769a","Pforzheimer Part 2_entry-140.0_527.txt","1914","char-offset:713","","","","","","","","","AuctionYear","","",""
"0e505dd0-8a33-4ee0-8a36-ec52b4457e2a","Pforzheimer Part 2_entry-140.0_527.txt","3978","char-offset:723","","","","","","","","","Lot","","",""
"52b739bd-67d6-4410-9b94-230422efb3d1","Pforzheimer Part 2_entry-140.0_527.txt","Jones (1919, Lot 931)","char-offset:729","EVENT","","","","","","","","","","",""
"168fb8e6-39fa-4b90-b160-c7f50d2a44c2","Pforzheimer Part 2_entry-140.0_527.txt","Jones","char-offset:729","PERSON","","","","","","","","","","",""
"1ff88fb3-1a03-4445-bbaf-3eb1c3b0eb19","Pforzheimer Part 2_entry-140.0_527.txt","1919","char-offset:736","","","","","","","","","AuctionYear","","",""
"ae3afea5-ad8b-421e-ba7d-73042a98ae8d","Pforzheimer Part 2_entry-140.0_527.txt","931","char-offset:746","","","","","","","","","Lot","","",""
"4ea56940-eeae-480e-a3d6-d02f4dd99ce3","Pforzheimer Part 2_entry-129.0_519.txt","Mostyn (1919, Lot 174)","char-offset:1291","EVENT","","","","","","","","","","",""
"84eb5dca-a44d-445c-b091-f79d9d5cb612","Pforzheimer Part 2_entry-129.0_519.txt","Mostyn","char-offset:1291","PERSON","","","","","","","","","","",""
"e4bbc807-970a-421b-86fd-575adbe389e7","Pforzheimer Part 2_entry-129.0_519.txt","1919","char-offset:1299","","","","","","","","","AuctionYear","","",""
"2c652d17-ffe7-4b60-9dff-a9e485bec892","Pforzheimer Part 2_entry-129.0_519.txt","174","char-offset:1309","","","","","","","","","Lot","","",""
"83253abb-e3bd-450e-b50f-d7a17db4986a","Pforzheimer Part 2_entry-128.0_518.txt","Mostyn","char-offset:803","PERSON","","","","","","","","","","",""
"e08aae0f-50d9-460f-af6d-b2de031b4d91","Pforzheimer Part 2_entry-128.0_518.txt","Mostyn (1919, Lot 171)","char-offset:803","EVENT","","","","","","","","","","",""
"e16a3a65-c744-4ab8-8655-c1b380690d8e","Pforzheimer Part 2_entry-128.0_518.txt","1919","char-offset:811","","","","","","","","","AuctionYear","","",""
"45acdf7d-d5b5-4fa0-9e82-18d84391f33d","Pforzheimer Part 2_entry-128.0_518.txt","171","char-offset:821","","","","","","","","","Lot","","",""
"2b6445e2-6b65-4a9f-ad0d-ad713476ab3b","Pforzheimer Part 2_entry-128.0_518.txt","Clawson","char-offset:827","PERSON","","","","","","","","","","",""
"dfa85f83-6f78-4fb8-b0f9-af18d8848490","Pforzheimer Part 2_entry-128.0_518.txt","Clawson  (, 1926, Lot 418)","char-offset:827","EVENT","","","","","","","","","","",""
"5822e242-3c09-44d5-9d5d-1f6829ebf1b2","Pforzheimer Part 2_entry-128.0_518.txt","1926","char-offset:839","","","","","","","","","AuctionYear","","",""
"dd725a60-b30c-419b-9ee4-e3917803f14c","Pforzheimer Part 2_entry-128.0_518.txt","418","char-offset:849","","","","","","","","","Lot","","",""
"491cb858-23f8-4b7b-8c0a-1fc276a82614","Pforzheimer Part 2_entry-142.0_530.txt","Bliss","char-offset:1263","PERSON","","","","","","","","","","",""
"d382b898-7e1a-45c5-a654-4dd6cfa54083","Pforzheimer Part 2_entry-142.0_530.txt","Bliss (II, 1858, Lot 1499)","char-offset:1263","EVENT","","","","","","","","","","",""
"00d19a3e-e946-421b-b829-012cb9001eb9","Pforzheimer Part 2_entry-142.0_530.txt","1858","char-offset:1274","","","","","","","","","AuctionYear","","",""
"a995fbcb-fe64-4e6e-8f20-e103e06afb55","Pforzheimer Part 2_entry-142.0_530.txt","1499","char-offset:1284","","","","","","","","","Lot","","",""
"cf74bc69-042e-484a-9f76-eecec9a5079e","Pforzheimer Part 2_entry-142.0_530.txt","Hoe","char-offset:1292","PERSON","","","","","","","","","","",""
"c316b788-a8e8-4229-b17a-635472f3b97d","Pforzheimer Part 2_entry-142.0_530.txt","Hoe (III, 1912,  Lot 1653)","char-offset:1292","EVENT","","","","","","","","","","",""
"0d855d37-0496-438b-bf00-472fa5cd4380","Pforzheimer Part 2_entry-142.0_530.txt","1912","char-offset:1302","","","","","","","","","AuctionYear","","",""
"054b9d55-5aa3-43cd-a2a8-bb0291800865","Pforzheimer Part 2_entry-142.0_530.txt","1653","char-offset:1313","","","","","","","","","Lot","","",""
"b9b044af-a03e-4979-9fa6-de64d7f7b48d","Pforzheimer Part 2_entry-142.0_530.txt","Huntington","char-offset:1319","PERSON","","","","","","","","","","",""
"3a1aa095-bc24-4e61-96cb-ad75bafe14cc","Pforzheimer Part 2_entry-142.0_530.txt","Huntington (V, 1917, Lot 234)","char-offset:1319","EVENT","","","","","","","","","","",""
"89600a77-d6b2-48ca-aa62-df09dde63997","Pforzheimer Part 2_entry-142.0_530.txt","1917","char-offset:1334","","","","","","","","","AuctionYear","","",""
"a69e25b9-73bd-4bba-8c36-4537065c8136","Pforzheimer Part 2_entry-142.0_530.txt","234","char-offset:1344","","","","","","","","","Lot","","",""
"2c1243ee-48c3-4a5d-9938-f3db21b005d1","Pforzheimer Part 2_entry-141.5_529.txt","Inglis","char-offset:2455","PERSON","","","","","","","","","","",""
"19c20183-0846-407f-b2ae-b970b59cba0e","Pforzheimer Part 2_entry-141.5_529.txt","Inglis (1826, Lot 764)","char-offset:2455","EVENT","","","","","","","","","","",""
"64036a6b-1108-43c0-af35-e87733e1ac8a","Pforzheimer Part 2_entry-141.5_529.txt","1826","char-offset:2463","","","","","","","","","AuctionYear","","",""
"db58c7ae-4894-439b-95da-f102facaf38a","Pforzheimer Part 2_entry-141.5_529.txt","764","char-offset:2473","","","","","","","","","Lot","","",""
"575c082b-3bbc-4d90-bd05-323af3157ebf","Pforzheimer Part 2_entry-141.5_529.txt","Britwell","char-offset:2479","PERSON","","","","","","","","","","",""
"8fffe0d4-1075-4365-a5e5-5a6cb32d8f76","Pforzheimer Part 2_entry-141.5_529.txt","Britwell (1922, Lot 388)","char-offset:2479","EVENT","","","","","","","","","","",""
"1ce26117-2ab7-4216-904a-9a9acf562227","Pforzheimer Part 2_entry-141.5_529.txt","1922","char-offset:2489","","","","","","","","","AuctionYear","","",""
"c239fc2f-6763-4546-95c2-17ef8137da49","Pforzheimer Part 2_entry-141.5_529.txt","388","char-offset:2499","","","","","","","","","Lot","","",""
"d7f8d703-3f8a-4aa3-9a8b-8ef97fb1cfbd","Pforzheimer Part 2_entry-130.0_520.txt","Mostyn","char-offset:1228","PERSON","","","","","","","","","","",""
"5bd2449f-37b8-4045-802d-0fe6b9157dda","Pforzheimer Part 2_entry-130.0_520.txt","Mostyn (1919, Lot 71)","char-offset:1228","EVENT","","","","","","","","","","",""
"e107ffb9-483d-4d15-8fe7-1315e6c65224","Pforzheimer Part 2_entry-130.0_520.txt","1919","char-offset:1236","","","","","","","","","AuctionYear","","",""
"3ffe5802-2584-4f27-804b-d988abec137a","Pforzheimer Part 2_entry-130.0_520.txt","71","char-offset:1246","","","","","","","","","Lot","","",""
"7875ed7f-f61c-402f-8395-41a18088ef4d","Pforzheimer Part 2_entry-130.0_520.txt","Clawson (I, 1926, Lot 419)","char-offset:1253","EVENT","","","","","","","","","","",""
