"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"433216a4-288f-4211-b719-525b23fefae3","Pforzheimer Part 3_entry-39.0_813.txt","Mostyn","char-offset:788","PERSON","","","","","","","","","","",""
"69908ffe-8673-4688-9154-f35858e7c8c5","Pforzheimer Part 3_entry-39.0_813.txt","Mostyn  (1919, Lot 135)","char-offset:788","EVENT","","","","","","","","","","",""
"ebdea276-2b16-4781-89bb-bf4477b76c11","Pforzheimer Part 3_entry-39.0_813.txt","1919","char-offset:797","","","","","","","","","AuctionYear","","",""
"69abf28e-5b22-4583-acd5-0ced93db7c53","Pforzheimer Part 3_entry-39.0_813.txt","135","char-offset:807","","","","","","","","","Lot","","",""
"57ab35aa-b847-4da3-976f-b3ab7ed16f3f","Pforzheimer Part 3_entry-32.0_803.txt","Shakespeare Library (II, 1918, Lot 51)","char-offset:1268","EVENT","","","","","","","","","","",""
"c6d74dc6-a0d6-4c2d-bf75-8434c0974c5c","Pforzheimer Part 3_entry-32.0_803.txt","Shakespeare Library","char-offset:1268","PERSON","","","","","","","","","","",""
"57c6b9a9-34db-4c93-8c88-fdfb28a00866","Pforzheimer Part 3_entry-32.0_803.txt","1918","char-offset:1293","","","","","","","","","AuctionYear","","",""
"60e9b266-c413-4fe8-8e6f-f6a236d77f56","Pforzheimer Part 3_entry-32.0_803.txt","51","char-offset:1303","","","","","","","","","Lot","","",""
"62e025fd-7143-4fad-87ee-bd3fa3dc5a96","Pforzheimer Part 3_entry-37.0_809.txt","James E. Matthew","char-offset:4693","EVENT","","","","","","","","","","",""
"ba43c80f-33c6-4b39-bf9c-5fde24fbbfa6","Pforzheimer Part 3_entry-37.0_809.txt","Pulsford (Anderson, 20 April 1914, Lot 583)","char-offset:4711","EVENT","","","","","","","","","","",""
"ce1aa253-6824-4923-8c94-181614b89d39","Pforzheimer Part 3_entry-37.0_809.txt","Pulsford","char-offset:4711","PERSON","","","","","","","","","","",""
"4bd1315d-d1f6-43d0-8c4a-e7fc4bdb1a59","Pforzheimer Part 3_entry-37.0_809.txt","1914","char-offset:4740","","","","","","","","","AuctionYear","","",""
"5b53a88e-fc08-4b3b-8bea-5ecc19d814b6","Pforzheimer Part 3_entry-37.0_809.txt","583","char-offset:4750","","","","","","","","","Lot","","",""
"5d051b19-fabe-49f8-8e50-540e51278b7d","Pforzheimer Part 3_entry-37.0_809.txt","Titus (Walpole,                                     21 February  1919, Lot 407)","char-offset:4757","EVENT","","","","","","","","","","",""
"b46a4b82-c47d-4261-a2e2-ac5eda29f664","Pforzheimer Part 3_entry-37.0_809.txt","Titus","char-offset:4757","PERSON","","","","","","","","","","",""
"c9a79bc0-c7bc-48cd-8c82-05aea012586f","Pforzheimer Part 3_entry-37.0_809.txt","1919","char-offset:4822","","","","","","","","","AuctionYear","","",""
"382955a1-8097-45b3-88fc-50bb0edf4bfe","Pforzheimer Part 3_entry-37.0_809.txt","407","char-offset:4832","","","","","","","","","Lot","","",""
"e4e0095a-8a9e-43fc-bedc-657b22c2c8b7","Pforzheimer Part 3_entry-42.0_816.txt","E.F.Leo (1921, Lot 205)","char-offset:3847","EVENT","","","","","","","","","","",""
"c9a33b13-0665-47d0-8bf5-0553fd177433","Pforzheimer Part 3_entry-42.0_816.txt","E.F.Leo","char-offset:3847","PERSON","","","","","","","","","","",""
"f3709e58-0e75-46a5-b477-7aebdd6ea8e7","Pforzheimer Part 3_entry-42.0_816.txt","1921","char-offset:3856","","","","","","","","","AuctionYear","","",""
"fb127c4e-166e-4e87-95ea-b034d4eceb69","Pforzheimer Part 3_entry-42.0_816.txt","205","char-offset:3866","","","","","","","","","Lot","","",""
"9cd09286-53db-4fb9-a2e7-e8ee62a5c006","Pforzheimer Part 3_entry-33.5_805.txt","Locker","char-offset:1321","PERSON","","","","","","","","","","",""
"f53f4056-704f-4ff0-92b1-eb2c1c4d98c5","Pforzheimer Part 3_entry-33.5_805.txt","M.J.Perry","char-offset:1328","PERSON","","","","","","","","","","",""
"bbfdfd1e-35e7-48ac-b8df-6d4784fa130b","Pforzheimer Part 3_entry-33.5_805.txt","Jones      (1923,  Lot 153)","char-offset:1338","EVENT","","","","","","","","","","",""
"38b63fec-3ba6-40f4-a872-3c486d5c23da","Pforzheimer Part 3_entry-33.5_805.txt","Jones","char-offset:1338","PERSON","","","","","","","","","","",""
"060ecc7e-2190-4df7-bf62-842f53875da7","Pforzheimer Part 3_entry-33.5_805.txt","1923","char-offset:1350","","","","","","","","","AuctionYear","","",""
"1b863c1d-2070-49ef-a238-72e710ace7ac","Pforzheimer Part 3_entry-33.5_805.txt","153","char-offset:1361","","","","","","","","","Lot","","",""
"0fc60f07-f965-410b-88f3-b326dcba7b7a","Pforzheimer Part 3_entry-40.0_814.txt","E.F.Leo  (1921, Lot                                    1205","char-offset:3601","EVENT","","","","","","","","","","",""
