"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"2a3a92f8-35a1-4fa8-81d2-3c80af026953","Pforzheimer Part 1_entry-207.0_156.txt","The Brinley Nicholson","char-offset:573","PERSON","","","","","","","","","","",""
"bd3434c2-db27-4c38-af5f-5dc243c2b55d","Pforzheimer Part 1_entry-207.0_156.txt","The Brinley Nicholson (sold 27  July 1893)","char-offset:573","EVENT","","","","","","","","","","",""
"29d89afb-cfc9-4713-97af-73548eae1d8c","Pforzheimer Part 1_entry-207.0_156.txt","1893","char-offset:610","","","","","","","","","AuctionYear","","",""
"adb4fddf-950c-4490-b7d0-e151e90ae19a","Pforzheimer Part 1_entry-207.0_156.txt","W.A. White","char-offset:618","PERSON","","","","","","","","","","",""
"56b718de-a7d7-49be-a447-5d73162bf800","Pforzheimer Part 1_entry-207.0_156.txt","W.A. White (private)","char-offset:618","EVENT","","","","","","","","","","",""
"70bf0846-0fd7-46ac-b9d5-7a8f62613322","Pforzheimer Part 1_entry-210.0_159.txt","The Bridgewater","char-offset:728","EVENT","","","","","","","","","","",""
"ab4a86e7-624c-4db4-b2f6-911b5631aa67","Pforzheimer Part 1_entry-210.0_159.txt","Huntington (VII, 1918, Lot 88)","char-offset:745","EVENT","","","","","","","","","","",""
"a814d888-95a7-42b8-9e17-b63a81cb4e0d","Pforzheimer Part 1_entry-210.0_159.txt","Huntington","char-offset:745","PERSON","","","","","","","","","","",""
"fa83bddc-9b8d-4744-9b59-37d24f633fec","Pforzheimer Part 1_entry-210.0_159.txt","1918","char-offset:762","","","","","","","","","AuctionYear","","",""
"898f29b1-d1a7-4f47-82a7-d59d2bd99976","Pforzheimer Part 1_entry-210.0_159.txt","88","char-offset:772","","","","","","","","","Lot","","",""
"98fce429-ed61-4592-9c2f-250ddaf04bdf","Pforzheimer Part 1_entry-210.0_159.txt","Clawson  (I, 1926, Lot 128)","char-offset:778","EVENT","","","","","","","","","","",""
"763d7dd7-99b4-492a-bcb1-f3e6316636b6","Pforzheimer Part 1_entry-210.0_159.txt","Clawson","char-offset:778","PERSON","","","","","","","","","","",""
"3dee093b-9a49-4c32-91bb-7e88edd1bd0d","Pforzheimer Part 1_entry-210.0_159.txt","1926","char-offset:791","","","","","","","","","AuctionYear","","",""
"7f3f6121-8899-44d7-a757-f49da93c15d5","Pforzheimer Part 1_entry-210.0_159.txt","128","char-offset:801","","","","","","","","","Lot","","",""
"44e37df8-a45e-4ac1-a2ce-95f3f1c8fce7","Pforzheimer Part 1_entry-208.0_157.txt","The  Rev. John Mitford","char-offset:897","PERSON","","","","","","","","","","",""
"43b3bf08-7d68-4f4f-8c80-ffdee8224f66","Pforzheimer Part 1_entry-208.0_157.txt","The  Rev. John Mitford (1860, II, Lot 2640)","char-offset:897","EVENT","","","","","","","","","","",""
"9830ba9c-b029-447b-8614-fdf6def59fac","Pforzheimer Part 1_entry-208.0_157.txt","1860","char-offset:921","","","","","","","","","AuctionYear","","",""
"b7c350d9-db54-4f99-ac54-f47ee6141691","Pforzheimer Part 1_entry-208.0_157.txt","2640","char-offset:935","","","","","","","","","Lot","","",""
"8024ea0c-fa69-4b97-859d-7cfebfe73cc5","Pforzheimer Part 1_entry-208.0_157.txt","Mark P. Robinson","char-offset:942","PERSON","","","","","","","","","","",""
"7e44086a-bebd-4514-acf7-2396b882ba04","Pforzheimer Part 1_entry-208.0_157.txt","Mark P. Robinson (II, 1918, Lot 164)","char-offset:942","EVENT","","","","","","","","","","",""
"d717d8d6-b0c7-469a-a4a3-1731619bace5","Pforzheimer Part 1_entry-208.0_157.txt","1918","char-offset:964","","","","","","","","","AuctionYear","","",""
"97e9d978-873b-431e-b65f-87a03ddfe9cc","Pforzheimer Part 1_entry-208.0_157.txt","164","char-offset:974","","","","","","","","","Lot","","",""
"cce09a08-9fe4-4659-8a3f-883aa4b55b8d","Pforzheimer Part 1_entry-211.0_160.txt","The Narcissus Luttrell (untraced in Wynne  Sale)","char-offset:828","EVENT","","","","","","","","","","",""
"1f6f2a47-df90-4d2b-b2ef-da362649ea8b","Pforzheimer Part 1_entry-211.0_160.txt","The Narcissus Luttrell","char-offset:828","PERSON","","","","","","","","","","",""
"685c76c3-3e0d-4c85-b7e1-b3967966ef12","Pforzheimer Part 1_entry-211.0_160.txt","Farmer (1798, Lot 6443)","char-offset:877","EVENT","","","","","","","","","","",""
"9565a2f9-fb00-47fa-8fae-0af94ac69650","Pforzheimer Part 1_entry-211.0_160.txt","Farmer","char-offset:877","PERSON","","","","","","","","","","",""
"488b678f-dbb8-42d1-bbc6-9b2159f2f97b","Pforzheimer Part 1_entry-211.0_160.txt","1798","char-offset:885","","","","","","","","","AuctionYear","","",""
"9c837b54-e179-481c-8e0d-1cdcc22622e7","Pforzheimer Part 1_entry-211.0_160.txt","6443","char-offset:895","","","","","","","","","Lot","","",""
"775b55fd-66d2-430f-9d37-f7f02c5fdecd","Pforzheimer Part 1_entry-211.0_160.txt","Heber (IV, 1834, Lot 332)","char-offset:901","EVENT","","","","","","","","","","",""
"810926e2-9b92-449e-b511-6a57db3749a2","Pforzheimer Part 1_entry-211.0_160.txt","Heber","char-offset:901","PERSON","","","","","","","","","","",""
"41eadccb-2ed9-44a4-87c5-31f07126ff81","Pforzheimer Part 1_entry-211.0_160.txt","1834","char-offset:912","","","","","","","","","AuctionYear","","",""
"38287263-2207-487c-82c0-5db2f2b34896","Pforzheimer Part 1_entry-211.0_160.txt","332","char-offset:922","","","","","","","","","Lot","","",""
"0cb6435a-0dcb-4d37-8a3d-8cb6b4e39ff3","Pforzheimer Part 1_entry-211.0_160.txt","Britwell (1922, Lot 130)","char-offset:927","EVENT","","","","","","","","","","",""
"ded129e5-216a-43da-892b-b22bde835b23","Pforzheimer Part 1_entry-211.0_160.txt","Britwell","char-offset:927","PERSON","","","","","","","","","","",""
"1218e92d-b443-4ea7-a2cb-dc3dd8e13b3f","Pforzheimer Part 1_entry-211.0_160.txt","1922","char-offset:937","","","","","","","","","AuctionYear","","",""
"3bddf031-eec8-49fe-95fa-8bbe9b6c0536","Pforzheimer Part 1_entry-211.0_160.txt","130","char-offset:947","","","","","","","","","Lot","","",""
"d5717911-fb08-422d-b7d9-f1d8180c016a","Pforzheimer Part 1_entry-211.0_160.txt","Clawson (I, 1926, Lot 115)","char-offset:954","EVENT","","","","","","","","","","",""
"b4347855-c8fb-4d4c-adb4-6f4074fed79a","Pforzheimer Part 1_entry-211.0_160.txt","Clawson","char-offset:954","PERSON","","","","","","","","","","",""
"a9f9712f-697a-41ef-8ed1-f19cdc458b68","Pforzheimer Part 1_entry-211.0_160.txt","1926","char-offset:966","","","","","","","","","AuctionYear","","",""
"928b006e-d389-41b6-b062-8b8b2264b74d","Pforzheimer Part 1_entry-211.0_160.txt","115","char-offset:976","","","","","","","","","Lot","","",""
"34cd5264-9b3a-4af5-93cd-40d4c131c9f1","Pforzheimer Part 1_entry-211.5_161.txt","The Halliwell Phillipps (1889, Lot 248)","char-offset:774","EVENT","","","","","","","","","","",""
"d0df8704-a890-4e45-85e8-4cdf499df3d6","Pforzheimer Part 1_entry-211.5_161.txt","The Halliwell Phillipps","char-offset:774","PERSON","","","","","","","","","","",""
"b34a10de-3d7d-49e0-8258-ed475736c540","Pforzheimer Part 1_entry-211.5_161.txt","1889","char-offset:799","","","","","","","","","AuctionYear","","",""
"b0539382-729a-426b-a39c-6897e74f16ff","Pforzheimer Part 1_entry-211.5_161.txt","248","char-offset:809","","","","","","","","","Lot","","",""
"06f39f96-ebbc-47c1-9d0c-00d5879a4087","Pforzheimer Part 1_entry-211.5_161.txt","Britwell (1921, Lot 26)","char-offset:817","EVENT","","","","","","","","","","",""
"97874dd5-16bb-499e-8939-8d1b2cb546d3","Pforzheimer Part 1_entry-211.5_161.txt","Britwell","char-offset:817","PERSON","","","","","","","","","","",""
"e639c17a-ca09-4c4e-860b-938f3690796e","Pforzheimer Part 1_entry-211.5_161.txt","1921","char-offset:827","","","","","","","","","AuctionYear","","",""
"24bc0f40-a1e0-453e-9038-49fc37eac7fa","Pforzheimer Part 1_entry-211.5_161.txt","26","char-offset:837","","","","","","","","","Lot","","",""
"d124f521-e2be-48ff-9167-5d1d7eae404e","Pforzheimer Part 1_entry-211.5_161.txt","W.A. White (private)","char-offset:843","EVENT","","","","","","","","","","",""
"14f0c178-75ec-48a0-af95-f534dd77d39e","Pforzheimer Part 1_entry-211.5_161.txt","W.A. White","char-offset:843","PERSON","","","","","","","","","","",""
"082411e6-b7db-4fc3-87e8-95102a1439a7","Pforzheimer Part 1_entry-199.0_150.txt","The Britwell (1922, Lot 133)","char-offset:2360","EVENT","","","","","","","","","","",""
"de06b8b2-63b5-49af-9400-3cae07d2e63a","Pforzheimer Part 1_entry-199.0_150.txt","The Britwell","char-offset:2360","PERSON","","","","","","","","","","",""
"496fe3bc-f5a4-40fb-a446-4726ea8a660b","Pforzheimer Part 1_entry-199.0_150.txt","1922","char-offset:2374","","","","","","","","","AuctionYear","","",""
"6f9f2967-750d-4447-b805-0825cf3be671","Pforzheimer Part 1_entry-199.0_150.txt","133","char-offset:2384","","","","","","","","","Lot","","",""
"9c38eec2-9424-495e-b5b3-dc745ec876c9","Pforzheimer Part 1_entry-199.0_150.txt","The Chew","char-offset:2776","EVENT","","","","","","","","","","",""
