"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"ccf7390e-422c-4297-8cbf-010ad06e6580","Pforzheimer Part 3_entry-139.0_911a.txt","911a—m","char-offset:0","","","","","","","","","","Bunch of different ones!
","",""
"251ac517-afe2-4cc5-8066-a361ee913c4d","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:106","PERSON","","","","","","","","","","",""
"a36b269b-8d34-4044-a3c1-2c2bd3ec6418","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:180","PERSON","","","","","","","","","","",""
"fd01850b-b10a-4064-ba71-62d1afd84136","Pforzheimer Part 3_entry-139.0_911a.txt","Sewall","char-offset:256","PERSON","","","","","","","","","","",""
"5d1bc46a-c440-4f7a-a497-f783981d8436","Pforzheimer Part 3_entry-139.0_911a.txt","Thomas  Barret of Lee","char-offset:355","EVENT","","","","","","","","","","",""
"a0f9a3be-c17b-4fa8-9602-bcbf3b070497","Pforzheimer Part 3_entry-139.0_911a.txt","Colin Campbell","char-offset:377","PERSON","","","","","","","","","","",""
"f1d485ab-8acf-4352-a270-28c2ba15984b","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:392","PERSON","","","","","","","","","","",""
"b5eb5982-568b-4867-99c9-362ce5d97206","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:479","PERSON","","","","","","","","","","",""
"37316b25-83c7-45e3-9b0c-3ade0f53c7b0","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:553","PERSON","","","","","","","","","","",""
"62f30ad4-f04b-4d58-bafa-5daa2c8b8dac","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:628","PERSON","","","","","","","","","","",""
"0b617f58-3545-4e4e-b3d2-8500e92b4575","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:704","PERSON","","","","","","","","","","",""
"a2abf02a-cfbe-4636-9398-feaf8e29e178","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:779","PERSON","","","","","","","","","","",""
"31b34d3d-00af-4315-8559-0f8bc812bf4c","Pforzheimer Part 3_entry-139.0_911a.txt","H.J.B.Swete","char-offset:854","PERSON","","","","","","","","","","",""
"73c3d113-8194-4151-a553-759de584058c","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:866","PERSON","","","","","","","","","","",""
"3f38e4a4-dbb3-4a57-b9ec-6d7d83c695d6","Pforzheimer Part 3_entry-139.0_911a.txt","Hoe","char-offset:953","PERSON","","","","","","","","","","",""
"d24080c0-fd64-477a-a150-4c3ebe3c3d1a","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:957","PERSON","","","","","","","","","","",""
"a8e6f3a8-d809-47a3-99b7-2b4232bdecc8","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:1035","PERSON","","","","","","","","","","",""
"1e73e758-020e-4c95-8193-99221b1edd86","Pforzheimer Part 3_entry-139.0_911a.txt","Charles Campbell","char-offset:1110","PERSON","","","","","","","","","","",""
"31f5751d-6c32-4197-aa22-ca11fe07cc37","Pforzheimer Part 3_entry-139.0_911a.txt","M.J.Perry","char-offset:1127","PERSON","","","","","","","","","","",""
"48e036ed-d5d1-4942-83a7-34fa7a497b86","Pforzheimer Part 3_entry-139.0_911a.txt","Hagen","char-offset:1137","PERSON","","","","","","","","","","",""
"211d97de-be92-48d7-a287-845dd852371a","Pforzheimer Part 3_entry-148.0_913.txt","Huth","char-offset:912","PERSON","","","","","","","","","","",""
"bbdf9f56-7a0c-4c44-a71d-8575b89ac8c9","Pforzheimer Part 3_entry-148.0_913.txt","Huth (II, 1912, Lot 1904)","char-offset:912","EVENT","","","","","","","","","","",""
"90aa5f33-271b-4944-b463-d93eec71bf16","Pforzheimer Part 3_entry-148.0_913.txt","1912","char-offset:922","","","","","","","","","AuctionYear","","",""
"1b037ae4-95da-4d68-8cd4-065ea60408c4","Pforzheimer Part 3_entry-148.0_913.txt","1904","char-offset:932","","","","","","","","","Lot","","",""
"ea9d1728-00ec-45fe-a611-35f906be67f6","Pforzheimer Part 3_entry-148.0_913.txt","Jones (1916, Lot 145)","char-offset:959","EVENT","","","","","","","","","","",""
"f2536727-7b99-425f-80f7-fed2fc5b8b36","Pforzheimer Part 3_entry-148.0_913.txt","Jones","char-offset:959","PERSON","","","","","","","","","","",""
"6194de45-e6e3-4f97-93e5-bef13a879598","Pforzheimer Part 3_entry-148.0_913.txt","1916","char-offset:966","","","","","","","","","AuctionYear","","",""
"d9f28363-eb44-46e6-bd15-61d84af1d6c0","Pforzheimer Part 3_entry-148.0_913.txt","145","char-offset:976","","","","","","","","","Lot","","",""
