"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"444a6dad-98d4-4366-9da2-bc3d2de788fe","Pforzheimer Part 1_entry-177.0_131.txt","The Arbury (1920, Lot 52)","char-offset:1118","EVENT","","","","","","","","","","",""
"90097f1b-12c0-4a8c-bf98-5f838e824bd1","Pforzheimer Part 1_entry-177.0_131.txt","The Arbury","char-offset:1118","PERSON","","","","","","","","","","",""
"a856919c-60eb-4d26-9c9b-1a22500bcafc","Pforzheimer Part 1_entry-177.0_131.txt","1920","char-offset:1130","","","","","","","","","AuctionYear","","",""
"5048eedf-7f91-4b1d-bd90-05c9a4592621","Pforzheimer Part 1_entry-177.0_131.txt","52","char-offset:1140","","","","","","","","","Lot","","",""
"73f28bc7-d57e-4a6a-b655-5ddde4df1621","Pforzheimer Part 1_entry-177.0_131.txt","G.D.Smith  (II, 1920, Lot 46)","char-offset:1144","EVENT","","","","","","","","","","",""
"666fe493-1e9c-4576-915a-cad60b5a7e5e","Pforzheimer Part 1_entry-177.0_131.txt","G.D.Smith","char-offset:1144","PERSON","","","","","","","","","","",""
"51d1bd62-9d58-4563-a993-dc039a19ad3b","Pforzheimer Part 1_entry-177.0_131.txt","1920","char-offset:1160","","","","","","","","","AuctionYear","","",""
"1eaaea9b-5727-4568-ae52-ac56f296e8ce","Pforzheimer Part 1_entry-177.0_131.txt","46","char-offset:1170","","","","","","","","","Lot","","",""
"de3d14e6-eb60-4818-8747-12dd00bbd221","Pforzheimer Part 1_entry-177.0_131.txt","Clawson (I, 1926, Lot 110)","char-offset:1176","EVENT","","","","","","","","","","",""
"6d31fa25-e467-458a-89f9-c12f43fee2ae","Pforzheimer Part 1_entry-177.0_131.txt","Clawson","char-offset:1176","PERSON","","","","","","","","","","",""
"ade185b7-29bf-4490-930a-820eca941c0f","Pforzheimer Part 1_entry-177.0_131.txt","1926","char-offset:1188","","","","","","","","","AuctionYear","","",""
"388565b4-0467-4a3f-bb11-2acb6df2560b","Pforzheimer Part 1_entry-177.0_131.txt","110","char-offset:1198","","","","","","","","","Lot","","",""
"949dae21-82b5-4c0d-926b-2cbeb0e365fc","Pforzheimer Part 1_entry-180.0_134.txt","The Huth (III, 1913, Lot 2802)","char-offset:677","EVENT","","","","","","","","","","",""
"37c04382-1266-4b04-8942-a280c0e17b7c","Pforzheimer Part 1_entry-180.0_134.txt","The Huth","char-offset:677","PERSON","","","","","","","","","","",""
"2291aadd-e3be-40aa-adf7-cf09bab5e03a","Pforzheimer Part 1_entry-180.0_134.txt","1913","char-offset:692","","","","","","","","","AuctionYear","","",""
"2c9fcb74-40d0-435d-a8cf-beecdef7eaa0","Pforzheimer Part 1_entry-180.0_134.txt","2802","char-offset:702","","","","","","","","","Lot","","",""
"44388b82-e07d-49cc-b0e8-0dd048a8a7f3","Pforzheimer Part 1_entry-180.0_134.txt","Hunting-  ton (VIII, 1918, Lot 291)","char-offset:710","EVENT","","","","","","","","","","",""
"dee85c60-32f8-490b-ae57-8a7dc373db05","Pforzheimer Part 1_entry-180.0_134.txt","Hunting-  ton","char-offset:710","PERSON","","","","","","","","","","",""
