"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"cc92481c-0959-44f0-a895-2b4d10767177","Pforzheimer Part 1_entry-65.0_45.txt","The Lefferts","char-offset:1043","PERSON","","","","","","","","","","",""
"ec968a84-f0f1-4652-b2c1-4e998bc3f215","Pforzheimer Part 1_entry-65.0_45.txt","The Lefferts (Richmond List, p.27)","char-offset:1043","EVENT","","","","","","","","","","",""
"27164ee2-b801-47ce-84c0-c91374c5692c","Pforzheimer Part 1_entry-65.0_45.txt","Chew","char-offset:1080","EVENT","","","","","","","","","","",""
"63706892-e536-4e3d-8d3a-cfa3f676fb3a","Pforzheimer Part 1_entry-65.0_45.txt","Huntington","char-offset:1085","PERSON","","","","","","","","","","",""
"eb8f8769-df27-427f-8ddd-e80ac6a1bcf3","Pforzheimer Part 1_entry-65.0_45.txt","Huntington (VII, 1918, Lot 14)","char-offset:1085","EVENT","","","","","","","","","","",""
"3c665949-27cf-4176-925e-88a5c0209de4","Pforzheimer Part 1_entry-65.0_45.txt","1918","char-offset:1102","","","","","","","","","AuctionYear","","",""
"7ce89977-7b9b-4d1e-aef1-fd6f9ac1bbc9","Pforzheimer Part 1_entry-65.0_45.txt","14","char-offset:1112","","","","","","","","","Lot","","",""
"e7815d07-9f3a-4d90-b3b0-e7e35e8467ac","Pforzheimer Part 1_entry-65.0_45.txt","Jones (I, 1918, Lot 80)","char-offset:1116","EVENT","","","","","","","","","","",""
"57926d04-8e58-43ec-994c-dd6631890fec","Pforzheimer Part 1_entry-65.0_45.txt","Jones","char-offset:1116","PERSON","","","","","","","","","","",""
"7a7722fe-783e-4211-9dd6-08690d1dd73b","Pforzheimer Part 1_entry-65.0_45.txt","1918","char-offset:1126","","","","","","","","","AuctionYear","","",""
"0b30e56d-fe51-4258-ba46-212ff5bca59a","Pforzheimer Part 1_entry-65.0_45.txt","80","char-offset:1136","","","","","","","","","Lot","","",""
"2be56b9b-6d15-4012-954c-addd76b2d512","Pforzheimer Part 1_entry-65.0_45.txt","Clawson (I, 1926, Lot 31)","char-offset:1141","EVENT","","","","","","","","","","",""
"9381709f-5f82-48e0-bfcc-f6cfd26f6407","Pforzheimer Part 1_entry-65.0_45.txt","Clawson","char-offset:1141","PERSON","","","","","","","","","","",""
"36677a67-44fa-421d-96f3-cd8861407f28","Pforzheimer Part 1_entry-65.0_45.txt","1926","char-offset:1153","","","","","","","","","AuctionYear","","",""
"8297283f-fb53-44f8-8205-6a9d4016fb9f","Pforzheimer Part 1_entry-65.0_45.txt","31","char-offset:1163","","","","","","","","","Lot","","",""
"0dd6fd54-6401-4d1c-93ae-00f3f019c96b","Pforzheimer Part 1_entry-66.0_47.txt","The Mostyn (1919, Lot 112)","char-offset:740","EVENT","","","","","","","","","","",""
