"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"74a4edf4-d328-4987-b52b-559b9a11a8d6","Pforzheimer Part 3_entry-258.0_MS.117.txt","Brxpine and PRoveNANceE: See MS.117.","char-offset:2615","EVENT","","","","","","","","","","",""
"1966e0ec-8244-4a80-938c-2c8f7a5a7e6a","Pforzheimer Part 3_entry-259.0_1022.txt","Percivall Beaumont","char-offset:2071","PERSON","","","","","","","","","","",""
"d6015fb8-8d94-4118-917e-310768c86326","Pforzheimer Part 3_entry-259.0_1022.txt","Richard   Le Gallienne","char-offset:2092","PERSON","","","","","","","","","","",""
"32fc47de-7309-4e52-9b0d-2bda12724024","Pforzheimer Part 3_entry-257.0_1021.txt","Lefferts","char-offset:906","PERSON","","","","","","","","","","",""
"49ce4a92-7b9c-492b-8d76-9e480a3db959","Pforzheimer Part 3_entry-257.0_1021.txt","Lefferts (1902, Lot 1334)","char-offset:906","EVENT","","","","","","","","","","",""
"5fa1994d-7538-4742-9843-5b354eb0a17c","Pforzheimer Part 3_entry-257.0_1021.txt","1902","char-offset:916","","","","","","","","","AuctionYear","","",""
"91aa9eee-694f-4128-b2c2-db92d4adff01","Pforzheimer Part 3_entry-257.0_1021.txt","1334","char-offset:926","","","","","","","","","Lot","","",""
"92c3fc29-1d96-4e27-961d-8d720f648d13","Pforzheimer Part 3_entry-257.0_1021.txt","Hagen","char-offset:950","PERSON","","","","","","","","","","",""
"44676317-9495-4346-9354-546fad048f37","Pforzheimer Part 3_entry-257.0_1021.txt","Hagen  (1918, Lot 1339)","char-offset:950","EVENT","","","","","","","","","","",""
"f8d1930e-9f87-479f-9c71-42aa20aeecc5","Pforzheimer Part 3_entry-257.0_1021.txt","1918","char-offset:958","","","","","","","","","AuctionYear","","",""
"0a36ba10-469c-4a8f-a936-19bc8f36b76f","Pforzheimer Part 3_entry-257.0_1021.txt","1339","char-offset:968","","","","","","","","","Lot","","",""
"a19a4860-3623-45f7-8ebd-8f22c9683b02","Pforzheimer Part 3_entry-262.0_1025.txt","Littledale","char-offset:1652","PERSON","","","","","","","","","","",""
"7a4934c5-721d-4085-92fa-8e077c05ecbf","Pforzheimer Part 3_entry-262.0_1025.txt","Littledale (1820, Lot 827)","char-offset:1652","EVENT","","","","","","","","","","",""
"c28defae-f0f6-4518-b51d-d05305093cad","Pforzheimer Part 3_entry-262.0_1025.txt","1820","char-offset:1664","","","","","","","","","AuctionYear","","",""
"9ac19c67-f9f8-4c61-899d-9603e567fd12","Pforzheimer Part 3_entry-262.0_1025.txt","827","char-offset:1674","","","","","","","","","Lot","","",""
"bd65e7a1-e952-423d-a06e-054cd5e09400","Pforzheimer Part 3_entry-262.0_1025.txt","Holmes","char-offset:1695","PERSON","","","","","","","","","","",""
"52359eb6-edbe-49e0-9682-a965be325ef6","Pforzheimer Part 3_entry-262.0_1025.txt","Holmes   (1841, Lot  1373)","char-offset:1695","EVENT","","","","","","","","","","",""
"7a37ab81-e045-498d-996a-5887ecad2417","Pforzheimer Part 3_entry-262.0_1025.txt","1841","char-offset:1705","","","","","","","","","AuctionYear","","",""
"78881567-e61e-4416-96e5-2ec618c7dfc4","Pforzheimer Part 3_entry-262.0_1025.txt","1373","char-offset:1716","","","","","","","","","Lot","","",""
"fb873449-17e7-4f95-ade4-8f149c04a86d","Pforzheimer Part 3_entry-262.0_1025.txt","Ashburnham     (II, 1897, Lot 2599)","char-offset:1722","EVENT","","","","","","","","","","",""
"744c4d15-0f8c-444b-b188-4e382c598757","Pforzheimer Part 3_entry-262.0_1025.txt","Ashburnham","char-offset:1722","PERSON","","","","","","","","","","",""
"a9771874-fff0-4b3b-a14a-072c546e1883","Pforzheimer Part 3_entry-262.0_1025.txt","Winans","char-offset:1759","EVENT","","","","","","","","","","",""
"52a6097d-f204-4240-873b-9a086dd2451d","Pforzheimer Part 3_entry-264.0_1027.txt","Jones","char-offset:1823","PERSON","","","","","","","","","","",""
"1a70a134-bf00-4428-85a2-9d04c242c32e","Pforzheimer Part 3_entry-264.0_1027.txt","Jones (1918, Lot 506)","char-offset:1823","EVENT","","","","","","","","","","",""
"e2cc147e-42ba-4d4b-b821-c0aa2030ca88","Pforzheimer Part 3_entry-264.0_1027.txt","1918","char-offset:1830","","","","","","","","","AuctionYear","","",""
"584eebb5-d554-4981-9959-e7033f3a1fa0","Pforzheimer Part 3_entry-264.0_1027.txt","506","char-offset:1840","","","","","","","","","Lot","","",""
"2daa30b8-daf1-41fc-8b0b-50ad6f3985cf","Pforzheimer Part 3_entry-263.0_1026.txt","West","char-offset:3211","PERSON","","","","","","","","","","",""
"783d149b-237e-422f-8a11-b42ad4b4240d","Pforzheimer Part 3_entry-263.0_1026.txt","West (1773, Lot 1190)","char-offset:3211","EVENT","","","","","","","","","","",""
"24f5a1eb-234e-4aab-b478-3b38491a14f8","Pforzheimer Part 3_entry-263.0_1026.txt","1773","char-offset:3217","","","","","","","","","AuctionYear","","",""
"f0635d6f-1551-49d5-beab-ea213200c1cf","Pforzheimer Part 3_entry-263.0_1026.txt","1190","char-offset:3227","","","","","","","","","Lot","","",""
"4b445e31-42de-4a5d-99d7-58b972b7e52e","Pforzheimer Part 3_entry-263.0_1026.txt","Ratcliffe (1776, Lot 1214)","char-offset:3235","EVENT","","","","","","","","","","",""
"d55f41a2-85f5-4b3a-a94d-83c8c46135eb","Pforzheimer Part 3_entry-263.0_1026.txt","Ratcliffe","char-offset:3235","PERSON","","","","","","","","","","",""
"4e31ce12-50f6-4549-867f-860ff0679c92","Pforzheimer Part 3_entry-263.0_1026.txt","1776","char-offset:3246","","","","","","","","","AuctionYear","","",""
"0a75f696-c1f1-4cab-9754-827b0329d02b","Pforzheimer Part 3_entry-263.0_1026.txt","1214","char-offset:3256","","","","","","","","","Lot","","",""
"a3b54069-e593-4cf4-ac66-41a26dbd40f1","Pforzheimer Part 3_entry-263.0_1026.txt","Hugh,                grd Earl of Marchmont","char-offset:3264","PERSON","","","","","","","","","","",""
"de7d2231-5f2c-4c26-91f7-9b4bf2d48a67","Pforzheimer Part 3_entry-263.0_1026.txt","Hugh,                grd Earl of Marchmont  copy, and from him","char-offset:3264","EVENT","","","","","","","","","","",""
"2078d122-51e6-41ff-a164-6c69ac78ed33","Pforzheimer Part 3_entry-263.0_1026.txt","Rt. Hon. Sir George Rose","char-offset:3347","PERSON","","","","","","","","","","",""
"327f38e2-6ade-4c5b-a817-a8f8bfeaa7ae","Pforzheimer Part 3_entry-263.0_1026.txt","Marchmont’s  grandson, Hugh  Scott of Harden, later Lord Polwarth.","char-offset:3622","PERSON","","","","","","","","","","",""
"1be05e05-c7eb-43c9-9d7a-5d591654ce85","Pforzheimer Part 3_entry-263.0_1026.txt","Marchmont’s  grandson, Hugh  Scott of Harden, later Lord Polwarth. This book was                sold by his successor (Sotheby's 15 February 1909, Lot 64)","char-offset:3622","EVENT","","","","","","","","","","",""
"69fc179b-ee93-4296-8d28-934b4adfbe20","Pforzheimer Part 3_entry-263.0_1026.txt","1909","char-offset:3763","","","","","","","","","AuctionYear","","",""
"377a5ec7-5d31-4b1c-884f-3b1fdbf0570f","Pforzheimer Part 3_entry-263.0_1026.txt","64","char-offset:3773","","","","","","","","","Lot","","",""
"2137176c-a2e8-4a2a-b49f-0f1d0f0a712d","Pforzheimer Part 3_entry-263.0_1026.txt","Van Antwerp sale                (1922, Lot 5).","char-offset:3795","EVENT","","","","","","","","","","",""
"748cb4d7-ec56-457e-88ec-a127d5e42665","Pforzheimer Part 3_entry-263.0_1026.txt","Van Antwerp","char-offset:3795","PERSON","","","","","","","","","","",""
"12f55981-f122-44a3-b276-bb22ef0116e4","Pforzheimer Part 3_entry-263.0_1026.txt","1922","char-offset:3828","","","","","","","","","AuctionYear","","",""
"26b9312f-03c3-40f9-a258-ddbb413d7328","Pforzheimer Part 3_entry-263.0_1026.txt","5","char-offset:3838","","","","","","","","","Lot","","",""
"43e43b57-cd97-44ae-80c5-2a4ea03855e7","Pforzheimer Part 3_entry-265.0_1028.txt","Hagen                                                                                                        Lot  1662,                 (1918, Lot 1347) copy","char-offset:2225","EVENT","","","","","","","","","","",""
"0a226eba-0d71-46fe-be36-646d04aaa370","Pforzheimer Part 3_entry-265.0_1028.txt","Hagen","char-offset:2225","PERSON","","","","","","","","","","",""
"c89334f8-c169-407a-ac9f-24bf7622b0e9","Pforzheimer Part 3_entry-265.0_1028.txt","1918","char-offset:2364","","","","","","","","","AuctionYear","","",""
"2ef9d3c9-48c0-427b-8298-533708b76672","Pforzheimer Part 3_entry-265.0_1028.txt","1347","char-offset:2374","","","","","","","","","Lot","","",""
"affa0234-af5d-481c-b740-f81c7312aa06","Pforzheimer Part 3_entry-265.0_1028.txt","Sotheby's","char-offset:2422","PERSON","","","","","","","","","","",""
"ee58023b-c656-43db-ba09-a528d7acdf96","Pforzheimer Part 3_entry-265.0_1028.txt","Sotheby's 22 June 1903,","char-offset:2422","EVENT","","","","","","","","","Lot 1662
","",""
"a6d094e5-dd14-4e1a-ae0f-4f3b6064ed47","Pforzheimer Part 3_entry-265.0_1028.txt","1903","char-offset:2440","","","","","","","","","AuctionYear","","",""
"562ea5d3-be37-481b-8872-fc9685c3a928","Pforzheimer Part 3_entry-266.0_1029.txt","Hoe","char-offset:1720","PERSON","","","","","","","","","","",""
"c3d9855e-3114-4146-ab97-ec467c0fb0dd","Pforzheimer Part 3_entry-266.0_1029.txt","Hoe (III, 1912, Lot 3315)","char-offset:1720","EVENT","","","","","","","","","","",""
"c5b2021e-e526-481b-b518-69035615f542","Pforzheimer Part 3_entry-266.0_1029.txt","1912","char-offset:1730","","","","","","","","","AuctionYear","","",""
"6f65cc92-66af-4546-b5f7-53f213810b3e","Pforzheimer Part 3_entry-266.0_1029.txt","3315","char-offset:1740","","","","","","","","","Lot","","",""
"5256fca0-84cc-4c6f-b805-368e7f07e41a","Pforzheimer Part 3_entry-267.0_1030.txt","Huth","char-offset:1345","PERSON","","","","","","","","","","",""
"9f4b1a87-896d-4651-89c5-a355cb075648","Pforzheimer Part 3_entry-267.0_1030.txt","Huth (1X, 1920, Lot                   7847)","char-offset:1345","EVENT","","","","","","","","","","",""
"f305a58a-3b81-4a33-8374-0b6b871efd16","Pforzheimer Part 3_entry-267.0_1030.txt","1920","char-offset:1355","","","","","","","","","AuctionYear","","",""
"6e34e697-f4b5-4c35-bcaa-2b1c3bf64c15","Pforzheimer Part 3_entry-267.0_1030.txt","7847","char-offset:1383","","","","","","","","","Lot","","",""
"1649a03f-bee1-47ea-b2c7-d82b96eac9c8","Pforzheimer Part 3_entry-268.0_1031.txt","Huth (IX, 1920, Lot 7848)","char-offset:261","EVENT","","","","","","","","","","",""
"a5fbb724-9abd-4f44-95d0-db1a07305dab","Pforzheimer Part 3_entry-268.0_1031.txt","Huth","char-offset:261","PERSON","","","","","","","","","","",""
"d9688a93-5074-46ec-b5f6-ad6cd1a421f4","Pforzheimer Part 3_entry-268.0_1031.txt","1920","char-offset:271","","","","","","","","","AuctionYear","","",""
"21807a9c-f12f-40b2-bafb-b683a647ba59","Pforzheimer Part 3_entry-268.0_1031.txt","7848","char-offset:281","","","","","","","","","Lot","","",""
"03c1b794-08f6-469f-9740-6c8d64f4a567","Pforzheimer Part 3_entry-269.0_1032.txt","Forman","char-offset:757","PERSON","","","","","","","","","","",""
"7aec672e-d565-4d7b-8495-97281ce30628","Pforzheimer Part 3_entry-269.0_1032.txt","Forman (I, 1920, Lot 909)","char-offset:757","EVENT","","","","","","","","","","",""
"af54491f-39e9-4fb7-8000-8cee35010311","Pforzheimer Part 3_entry-269.0_1032.txt","1920","char-offset:768","","","","","","","","","AuctionYear","","",""
"15ec0ed3-442a-455b-8186-c032ddcfb829","Pforzheimer Part 3_entry-269.0_1032.txt","909","char-offset:778","","","","","","","","","Lot","","",""
"cff4be08-4963-44c3-8f05-e684fa4952f5","Pforzheimer Part 3_entry-255.0_1019.txt","Lefferts (1902, Lot 1332)","char-offset:1074","EVENT","","","","","","","","","","",""
"8a76e7ae-43fd-40b1-bcf9-0c46344937cd","Pforzheimer Part 3_entry-255.0_1019.txt","Lefferts","char-offset:1074","PERSON","","","","","","","","","","",""
"5ed9e793-1b01-424a-a1d2-968fd0c39bf0","Pforzheimer Part 3_entry-255.0_1019.txt","1902","char-offset:1084","","","","","","","","","AuctionYear","","",""
"69f5c4e3-c70f-447e-b23e-805b5dcfbef7","Pforzheimer Part 3_entry-255.0_1019.txt","1332","char-offset:1094","","","","","","","","","Lot","","",""
"f9011a39-86a2-4802-adc4-bfb726662cff","Pforzheimer Part 3_entry-255.0_1019.txt","Hagen","char-offset:1101","PERSON","","","","","","","","","","",""
"5b407446-b916-46a7-b83d-57752bf3547d","Pforzheimer Part 3_entry-255.0_1019.txt","Hagen (1918,                                Lot 1340)","char-offset:1101","EVENT","","","","","","","","","","",""
"c1b0af02-f7c2-490c-8632-f28299738692","Pforzheimer Part 3_entry-255.0_1019.txt","1918","char-offset:1108","","","","","","","","","AuctionYear","","",""
"4dae4855-4340-4425-9e99-2b54597763ad","Pforzheimer Part 3_entry-255.0_1019.txt","1340","char-offset:1149","","","","","","","","","Lot","","",""
"c06525a5-f3a0-45b3-834b-c58bb99bb5c4","Pforzheimer Part 3_entry-256.0_1020.txt","Lefferts (1902, Lot 1393)","char-offset:1078","EVENT","","","","","","","","","","",""
"b561f6f1-1e2e-4802-9374-f25b4815e0b2","Pforzheimer Part 3_entry-256.0_1020.txt","Lefferts","char-offset:1078","PERSON","","","","","","","","","","",""
"285d6070-18c5-43c2-988c-def28841993f","Pforzheimer Part 3_entry-256.0_1020.txt","1902","char-offset:1088","","","","","","","","","AuctionYear","","",""
"cb361188-4b74-4ef1-b6fa-2638f3d14923","Pforzheimer Part 3_entry-256.0_1020.txt","1393","char-offset:1098","","","","","","","","","Lot","","",""
"b3825b08-a99c-44ef-9639-97bdcb71c0a8","Pforzheimer Part 3_entry-256.0_1020.txt","Hagen","char-offset:1123","PERSON","","","","","","","","","","",""
"a9d01033-8852-404e-884e-e6b1a9f4b74b","Pforzheimer Part 3_entry-256.0_1020.txt","Hagen (1918, Lot 1338)","char-offset:1123","EVENT","","","","","","","","","","",""
"212f3625-0055-4d0c-8371-5b919604dde7","Pforzheimer Part 3_entry-256.0_1020.txt","1918","char-offset:1130","","","","","","","","","AuctionYear","","",""
"b85353cf-e052-47fd-984b-f599bfc3d479","Pforzheimer Part 3_entry-256.0_1020.txt","1338","char-offset:1140","","","","","","","","","Lot","","",""
