"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"28e6ed6d-cfc3-4fbf-ba88-d44b0f3c28b4","Pforzheimer Part 3_entry-125.0_899.txt","Arbury (1920, Lot 297)","char-offset:985","EVENT","","","","","","","","","","",""
"2968173e-015e-4d99-9eae-625bca2ce93f","Pforzheimer Part 3_entry-125.0_899.txt","Arbury","char-offset:985","PERSON","","","","","","","","","","",""
"9d0dc7f6-8345-4c93-adcb-7c2c3409aa66","Pforzheimer Part 3_entry-125.0_899.txt","1920","char-offset:993","","","","","","","","","AuctionYear","","",""
"e99df909-0309-4ae2-b493-240386163d22","Pforzheimer Part 3_entry-125.0_899.txt","297","char-offset:1003","","","","","","","","","Lot","","",""
"49ef7dda-2cd3-467a-8acb-7362daa4d6d7","Pforzheimer Part 3_entry-125.0_899.txt","G.D.Smith","char-offset:1008","PERSON","","","","","","","","","","",""
"7fb4bfd9-2413-4a67-932b-2e334db15371","Pforzheimer Part 3_entry-125.0_899.txt","G.D.Smith                (II, 1920, Lot 304)","char-offset:1008","EVENT","","","","","","","","","","",""
"e969804d-a516-4d1a-99bf-0a52b516f2f3","Pforzheimer Part 3_entry-125.0_899.txt","1920","char-offset:1038","","","","","","","","","AuctionYear","","",""
"32136018-465f-40b2-98a5-9325b190335b","Pforzheimer Part 3_entry-125.0_899.txt","304","char-offset:1048","","","","","","","","","Lot","","",""
"14409a1f-5630-4109-8797-3129da297ed7","Pforzheimer Part 3_entry-117.0_892.txt","Clawson  (II, 1926, Lot 723)","char-offset:1281","EVENT","","","","","","","","","","",""
"5366f74b-bee6-4e13-ab14-2dcdbc209925","Pforzheimer Part 3_entry-117.0_892.txt","Clawson","char-offset:1281","PERSON","","","","","","","","","","",""
"5383e648-231f-4fe5-8ca0-941c0221f8a9","Pforzheimer Part 3_entry-117.0_892.txt","1926","char-offset:1295","","","","","","","","","AuctionYear","","",""
"4769c8ad-c83e-4f77-ba19-49ae497eaf21","Pforzheimer Part 3_entry-117.0_892.txt","723","char-offset:1305","","","","","","","","","Lot","","",""
"e994ea22-9ae9-4862-bebf-3ae6cb93d628","Pforzheimer Part 3_entry-124.0_898.txt","Clawson","char-offset:1321","PERSON","","","","","","","","","","",""
"6d692bdb-c892-4a75-ba67-645784edc1cb","Pforzheimer Part 3_entry-124.0_898.txt","Clawson  (II, 1926, Lot 714","char-offset:1321","EVENT","","","","","","","","","","",""
"5c8ff61d-41fe-4699-8f6e-d48644076d8a","Pforzheimer Part 3_entry-124.0_898.txt","1926","char-offset:1335","","","","","","","","","AuctionYear","","",""
"339cb80f-7a04-4161-a8dd-75c62e72dc70","Pforzheimer Part 3_entry-124.0_898.txt","714","char-offset:1345","","","","","","","","","Lot","","",""
"44ff6439-7639-4318-9e10-d8bbfea955f0","Pforzheimer Part 3_entry-118.0_893.txt","Henkels, 26 June  1919, Lot 136.","char-offset:978","EVENT","","","","","","","","","","",""
"4870717d-4da5-43a5-983a-a15fe3f212d1","Pforzheimer Part 3_entry-118.0_893.txt","Henkels","char-offset:978","PERSON","","","","","","","","","","",""
"0a2b312c-c3c1-411f-9659-7b2901edab60","Pforzheimer Part 3_entry-118.0_893.txt","1919","char-offset:996","","","","","","","","","AuctionYear","","",""
"d20bdbe6-6145-4745-9be0-8c52882a6ee3","Pforzheimer Part 3_entry-118.0_893.txt","136","char-offset:1006","","","","","","","","","Lot","","",""
"2d2345a6-3bc9-440c-961a-c08a3422bacd","Pforzheimer Part 3_entry-113.0_887.txt","Lord Vernon","char-offset:1165","PERSON","","","","","","","","","","",""
"3eed64ce-07f1-4013-982b-2b6d981a1c26","Pforzheimer Part 3_entry-113.0_887.txt","Lord Vernon (1918, Lot 466)","char-offset:1165","EVENT","","","","","","","","","","",""
"8508f95b-e364-4acf-8f5a-0ccbb5d05f1d","Pforzheimer Part 3_entry-113.0_887.txt","1918","char-offset:1178","","","","","","","","","AuctionYear","","",""
"5e2a4b91-d7b1-4e11-8e41-e0796aca0c72","Pforzheimer Part 3_entry-113.0_887.txt","466","char-offset:1188","","","","","","","","","Lot","","",""
"4d5952d1-d7dc-4b63-84b7-2b935c78965a","Pforzheimer Part 3_entry-113.0_887.txt","Clawson","char-offset:1195","PERSON","","","","","","","","","","",""
"604676d1-3169-4d38-99fe-39837ed9929b","Pforzheimer Part 3_entry-113.0_887.txt","Clawson                                  (II, 1926, Lot 719)","char-offset:1195","EVENT","","","","","","","","","","",""
"3a174a0e-df92-4c79-85dd-efbb8efccff0","Pforzheimer Part 3_entry-113.0_887.txt","1926","char-offset:1241","","","","","","","","","AuctionYear","","",""
"4c19e7e1-fde9-4f69-b266-7f8a30758c68","Pforzheimer Part 3_entry-113.0_887.txt","719","char-offset:1251","","","","","","","","","Lot","","",""
"c8f38b3f-3cc3-4af9-aff4-28d8dff2ce00","Pforzheimer Part 3_entry-115.5_890.txt","Steevens","char-offset:846","PERSON","","","","","","","","","","",""
"2ad1cb3d-dd6e-4634-8d00-94afe365937d","Pforzheimer Part 3_entry-115.5_890.txt","Tite","char-offset:866","PERSON","","","","","","","","","","",""
"7d8054e2-2fe7-4690-a5b9-06262d3f4666","Pforzheimer Part 3_entry-115.5_890.txt","Tite (1874,                                  Lot 2760)","char-offset:866","EVENT","","","","","","","","","","",""
"6ecfe0e4-ce84-4fe2-a234-4564c4619fcd","Pforzheimer Part 3_entry-115.5_890.txt","1874","char-offset:872","","","","","","","","","AuctionYear","","",""
"b95d340a-5f96-4488-a193-4c5f7cbaf27e","Pforzheimer Part 3_entry-115.5_890.txt","2760","char-offset:915","","","","","","","","","Lot","","",""
"2cd9761a-0313-4300-8018-1972d8fe1451","Pforzheimer Part 3_entry-115.5_890.txt","Crawford","char-offset:923","PERSON","","","","","","","","","","",""
"61ed924c-d22a-4659-9cd1-95a3579e3e63","Pforzheimer Part 3_entry-115.5_890.txt","Crawford (1876, Lot 1034)","char-offset:923","EVENT","","","","","","","","","","",""
"5a722f0c-11c5-4688-a4f2-d459c06921db","Pforzheimer Part 3_entry-115.5_890.txt","1876","char-offset:933","","","","","","","","","AuctionYear","","",""
"12acfe71-fd64-4dd8-836e-3309f9679434","Pforzheimer Part 3_entry-115.5_890.txt","1034","char-offset:943","","","","","","","","","Lot","","",""
